Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
11/30/1989,1061.759033,109.282997,109.282997,0.0,82.072998,,,75.157997,,,,,18.992001,,,,285.506012,564.163025,907.400024,-343.237,0.0,212.089996,,,,,,212.089996,776.253021,,38.896999,38.896999,,,,150.460007,,,,,,70.40099,,,70.40099,259.757996,243.350998,,,,,224.281998,,,,224.281998,467.632996,727.390991,9.0,214.867004,,,-17.646999,,128.147999,334.368004,0.0,334.368004,1061.758995,
02/28/1990,972.393005,16.677,16.677,0.0,119.842003,,,47.118,,,,,16.722,,,,200.358994,567.768982,918.304016,-350.535004,0.0,204.264999,,,,,,204.264999,772.033981,,91.250999,91.250999,,,,24.459999,,,,,,54.931,,,54.931,170.641998,237.412994,,,,,212.565994,,,,212.565994,449.978989,620.620987,9.0,214.867004,,,-18.396,,146.300999,351.772003,0.0,351.772003,972.39299,
05/31/1990,919.294983,5.922,5.922,0.0,66.749001,,,45.669998,,,,,18.989,,,,137.330002,575.877991,932.893005,-357.015015,0.0,206.087006,,,,,,206.087006,781.964996,,37.881001,37.881001,,,,45.959999,,,,,,52.207996,,,52.207996,136.048996,217.412003,,,,,212.830002,,,,212.830002,430.242004,566.291,9.0,214.867004,,,-20.362,,149.498993,353.003998,0.0,353.003998,919.294998,
08/31/1990,939.715027,1.913,1.913,0.0,50.639,,,79.880997,,,,,18.742001,,,,151.175003,590.757996,952.499023,-361.740997,0.0,197.781998,,,,,,197.781998,788.539994,,47.272999,47.272999,,,,65.265999,,,,,,51.403003,,,51.403003,163.942001,216.186996,,,,,217.380997,,,,217.380997,433.567993,597.509994,9.0,214.867004,,,-20.361,,138.698997,342.205001,0.0,342.205001,939.714995,
11/30/1990,992.242981,0.0,0.0,0.0,76.452003,,,93.453003,,,,,21.693001,,,,191.598007,597.132019,967.525024,-370.393005,0.0,203.513,,,,,,203.513,800.64502,,46.901001,46.901001,,,,98.264999,,,,,,70.018005,,,70.018005,215.184006,215.087006,,,,,219.975006,,,,219.975006,435.062012,650.246017,9.0,214.867004,,,-20.362,,138.491997,341.997002,0.0,341.997002,992.243019,
02/28/1991,1060.516968,42.917999,42.917999,0.0,128.431,,,53.926998,,,,,19.132,,,,244.408005,605.182007,981.343994,-376.161987,0.0,210.927002,,,,,,210.927002,816.109009,,98.221001,98.221001,,,,28.264,,,,,,61.218002,,,61.218002,187.703003,284.149994,,,,,224.378998,,,,224.378998,508.528992,696.231995,9.0,214.867004,,,-20.362,,160.779999,364.285004,0.0,364.285004,1060.516998,
05/31/1991,991.528015,9.253,9.253,0.0,57.521,,,78.075996,,,,,14.736,,,,159.585999,617.81897,999.95697,-382.138,0.0,214.123001,,,,,,214.123001,831.941971,,36.723,36.723,,,,23.263,,,,,,60.914001,,,60.914001,120.900002,284.149994,,,,,224.373001,,,,224.373001,508.522995,629.422997,9.0,214.867004,,,-20.444,,158.682007,362.105011,0.0,362.105011,991.528008,
08/31/1991,1051.897949,5.363,5.363,0.0,55.060001,,,85.956001,,,,,26.823999,,,,173.203003,662.802979,1047.182983,-384.380005,0.0,215.891998,,,,,,215.891998,878.694977,,29.957001,29.957001,,,,94.263,,,,,,55.796005,,,55.796005,180.016006,282.924988,,,,,233.121994,,,,233.121994,516.046982,696.062988,9.0,194.423004,,,0.0,,152.412003,355.835007,0.0,355.835007,1051.897995,
11/30/1991,1111.152954,3.346,3.346,0.0,88.736,,,98.442001,,,,,28.985001,,,,219.509003,667.377991,1059.875,-392.497009,0.0,224.266006,,,,,,224.266006,891.643997,,58.125999,58.125999,,,,83.362999,,,,,,65.098007,,,65.098007,206.587006,316.725006,,,,,233.0,,,,233.0,549.725006,756.312012,9.0,194.423004,,,-0.917,,152.334999,354.841003,0.0,354.841003,1111.153015,
02/29/1992,1152.953979,30.610001,30.610001,0.0,117.607002,,,63.891998,,,,,42.501999,,,,254.610992,674.484985,1095.196045,-420.710999,0.0,223.858002,,,,,,223.858002,898.342987,,94.417999,94.417999,,,,43.362999,,,,,,63.480995,,,63.480995,201.261993,350.786987,,,,,228.585999,,,,228.585999,579.372986,780.634979,9.0,194.423004,,,0.0,,168.895996,372.319,0.0,372.319,1152.953979,
