Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1992,37.68,-20.02,17.66,-10.646,7.014,-5.742,0.0,0.884,2.156,-0.66,1.496,-1.622,0.0,-0.126,-0.42,-0.546,,1.076,,0.0175,-0.0075,66.811996,,,,,
06/30/1992,55.388,-27.509001,27.879,-12.421,15.458,-6.985,0.0,1.006,9.479,-2.94,6.539,0.0,0.0,6.539,-0.63,5.909,,5.909,,0.075,0.075,77.519997,,,,,
09/30/1992,60.158001,-29.153,31.005001,-13.159,17.846001,-6.447,0.0,1.537,12.936001,-4.0,8.936,0.0,0.0,8.936,-0.644,8.292,,8.292001,,0.1075,0.1075,77.519997,,,,,
12/31/1992,45.130001,-23.082001,22.048,-13.144,8.904,-5.943,0.0,1.171,4.132,-1.246,2.886,0.0,0.0,2.886,-0.549,2.337,,2.337,,0.035,0.035,81.127998,,,,,
03/31/1993,45.791,-22.58,23.211,-12.421,10.79,-5.559,0.0,2.146,7.377,-2.966,4.411,0.0,0.0,4.411,0.0,4.411,,4.411,,0.045,0.045,97.872002,,,,,
06/30/1993,63.873001,-30.007,33.866001,-14.323,19.542999,-5.045,0.0,1.997,16.494999,-6.783,9.712,-8.408,0.0,1.304,0.0,1.304,,9.711999,,0.0975,0.0125,98.508003,,,,,
09/30/1993,82.071999,-36.476002,45.595997,-16.066999,29.528999,-4.925,0.0,4.447,29.050999,-11.561,17.49,0.0,0.0,17.49,0.0,17.49,,17.489999,,0.13,0.13,100.208,,,,,
12/31/1993,53.887001,-27.636999,26.250002,-16.657,9.593,-4.705,0.0,2.857,7.745,-5.035,2.71,-4.437,0.0,-1.727,0.0,-1.727,,2.71,0.0275,0.0275,-0.0175,100.463996,0.0275,0.0275,-0.0175,100.463996,
03/31/1994,58.638,-27.132,31.506001,-15.925,15.581,-4.42,0.0,5.648,16.809,-6.891,9.918,0.0,0.0,9.918,0.0,9.918,,9.918,,0.1,0.1,100.874001,,,,,
06/30/1994,75.916,-34.234001,41.681999,-18.284,23.398001,-4.617,0.0,5.12,23.901,-9.799,14.102,0.0,0.0,14.102,0.0,14.102,,14.102001,,0.14,0.14,100.632004,,,,,
09/30/1994,95.017998,-39.990002,55.027996,-18.066,36.962002,-4.809,0.0,-0.627,31.526002,-12.925,18.601,0.0,0.0,18.601,0.0,18.601,,18.601002,,0.185,0.185,101.531998,,,,,
12/31/1994,68.994003,-29.167,39.827003,-19.794001,20.033001,-4.839,0.0,3.213,18.407001,-7.539,10.868,0.0,0.0,10.868,0.0,10.868,,10.868001,0.11,0.11,0.11,100.914002,0.11,0.11,0.11,100.914002,
03/31/1995,74.153,,,,12.062,,,,,,12.062,,,12.062,0.0,12.062,,,0.12,0.12,0.12,102.556,,,,,
06/30/1995,96.329002,,,,20.183001,,,,,,20.183001,0.0,0.0,20.183001,0.0,20.183001,,,0.18,0.18,0.18,112.262002,0.18,0.18,0.18,112.262002,
09/30/1995,129.248993,-44.16,85.088993,-30.256001,54.833,-5.352,0.0,-2.376,47.105,-19.320999,27.784,0.0,-0.665,27.118999,0.0,27.118999,,27.119001,0.245,0.245,0.245,115.758003,,,,,
12/31/1995,126.667999,-33.123001,93.544998,-43.266998,50.278,-6.182,0.0,-11.04,33.056,-13.355,19.701,0.0,0.665,20.365999,0.0,20.365999,,20.366,0.17,0.17,0.17,120.809998,0.17,0.17,0.17,120.809998,
03/31/1996,124.544998,-31.618,92.926998,-41.429001,51.498001,-5.995,0.0,-5.883,39.620001,-16.006001,23.614,0.0,-0.796,22.818001,0.0,22.818001,,22.818001,0.2,0.2,0.2,121.087997,,,0.2,121.087997,
06/30/1996,345.316986,-155.285995,190.030991,-83.941002,106.089996,-5.141,0.0,0.0,100.948996,-41.009998,59.938999,0.0,0.0,59.938999,0.0,59.938999,,59.938998,0.38,0.38,0.38,158.798004,0.38,0.38,0.38,159.404999,
09/30/1996,409.571014,,,-266.686005,142.884995,-1.07,0.0,0.0,141.814995,-56.941002,84.874001,0.0,0.0,84.874001,0.0,84.874001,,84.873993,0.5,0.5,0.5,171.947006,0.5,0.5,0.5,172.313004,
12/31/1996,283.561005,-38.587002,244.974003,-161.606003,83.367996,-11.357,0.0,5.578,77.588996,-31.433001,46.155998,0.0,0.796,46.952,0.0,46.952,,46.951995,0.35,0.33,0.33,147.623001,,,,,
03/31/1997,347.962006,,,-233.673996,114.288002,-14.389,0.0,0.0,99.899002,-40.959,58.939999,0.0,0.0,58.939999,0.0,58.939999,,58.940002,0.41,0.41,0.41,147.214996,0.41,0.41,0.41,147.214996,
06/30/1997,579.619995,,,-357.480011,222.139999,-17.07,0.0,-303.0,-97.930001,-8.519,-106.448997,0.0,0.0,-106.448997,0.0,-106.448997,303.0,196.550999,0.69,-0.67,-0.67,158.354996,0.69,-0.67,-0.67,158.354996,
09/30/1997,649.880005,,,-366.878998,283.001007,-17.239,0.0,0.0,265.762007,-108.359001,157.403,0.0,0.0,157.403,0.0,157.403,,157.403006,0.89,0.89,0.89,179.703003,0.89,0.89,0.89,183.084,
