Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,57.157001,26.471001,12.615,,10.941,,,,10.941,7.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,1.836,29.893999,11.086,,-22.134001,,,,-22.134001,-17.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,50.056999,32.035999,12.581,,-5.127,,,,-5.127,10.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,47.022999,32.009998,13.466,,0.449,,,,0.449,1.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.022999,,,
03/31/1991,69.403999,30.809,17.120001,,15.468,,,,15.468,6.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,28.16,34.353001,16.898001,,-13.93,,,,-13.93,-9.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,63.669998,36.158001,17.16,,-2.657,,,,-2.657,13.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,26.476999,36.830002,19.681999,,-24.996,,,,-24.996,-5.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.476999,,,
03/31/1992,63.902,36.174,22.070999,,-1.517,,,,-1.517,7.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,52.293999,40.443001,22.57,,-0.306,,,,-0.306,-10.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,71.087997,43.216999,23.534,,4.143,,,,4.143,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,50.221001,44.257999,30.226999,,24.330999,,,,24.330999,-48.595001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.221001,,,
03/31/1993,25.139999,44.637001,23.086,,-52.958,,,,-52.958,10.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,29.739,47.907001,23.725,,0.957,,,,0.957,-42.849998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,314.846008,51.580002,13.098,,51.747002,,,,51.747002,198.421005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-162.804993,54.068001,20.521999,,17.129999,,,,17.129999,-262.567993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-162.804993,,,
03/31/1994,278.260986,57.881001,22.846001,,-37.847,,,,-37.847,235.380997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,202.104996,59.081001,14.109,,34.223,,,,34.223,94.692001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,-145.634995,62.844002,13.02,,6.109,,,,6.109,-227.608002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,106.945,64.653,15.792,,39.747002,,,,39.747002,-13.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.945,,,
03/31/1995,97.822998,66.117996,13.273,,-12.45,,,,-12.45,30.882,,,,,,-6.521,,-6.521,,,,,,,,,,,,,,,,,,6.521,,,,,,,,,,,,,,,,,
06/30/1995,41.463001,68.514,11.739,,35.306,,,,35.306,-74.096001,,,,,,-5.312,,-5.312,,,,,,,,,,,,,,,,,,5.312,,,,,,,,,,,,,,,,,
09/30/1995,132.304993,75.189003,22.858,,-6.609,,,,-6.609,40.867001,,,,,,-7.847,,-7.847,,,,,,,,,,,,,,,,,,7.847,,,,,,,,,,,,,,,,,
12/31/1995,188.740997,77.863998,22.704,,9.817,,,,9.817,78.356003,,,,,-13.514,-13.514,,-13.514,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,175.226997,,,
03/31/1996,42.000999,79.139999,22.035999,,-23.347,,,,-23.347,-35.827999,,,,,,-7.673,,-7.673,,,,,,,,,,,,,,,,,,7.673,,,,,,,,,,,,,,,,,
06/30/1996,-86.600998,83.249001,32.122002,,-153.863007,,,,-153.863007,-48.109001,,,,,,-10.258,,-10.258,,,,,,,,,,,,,,,,,,10.258,,,,,,,,,,,,,,,,,
09/30/1996,229.848999,79.055,28.913,,81.764999,,,,81.764999,40.116001,,,,,,-10.732,,-10.732,,,,,,,,,,,,,,,,,,10.732,,,,,,,,,,,,,,,,,
12/31/1996,61.861,93.614998,30.667,,3.361,,,,3.361,-65.781998,,,,,-11.664,-11.664,,-11.664,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,50.197,,,
03/31/1997,277.26001,110.968002,,,,,,,,,,,,,,-7.84,,-7.84,,,,,,,,,,,,,,,,,,7.84,,,,,,,,,,,,,,,,,
06/30/1997,38.25,111.272003,,,,,,,,,,,,,,-16.787001,,-16.787001,,,,,,,,,,,,,,,,,,16.787001,,,,,,,,,,,,,,,,,
09/30/1997,25.336,118.606003,,,,,,,,,,,,,,-17.983,,-17.983,,,,,,,,,,,,,,,,,,17.983,,,,,,,,,,,,,,,,,
12/31/1997,308.338013,120.012001,,,,,,,,,,,,,,-60.726002,,-60.726002,,,,,,,,,,,,,,,,,,60.726002,,,,,,,,,,,,,,,,,
03/31/1998,-260.846985,144.300003,,,,,,,,,,,,,,-18.240999,,-18.240999,,,,,,,,,,,,,,,,,,18.240999,,,,,,,,,,,,,,,,,
06/30/1998,505.46701,53.299999,,,,,,,,,,,,,,-13.158,,-13.158,,,,,,,,,,,,,,,,,,13.158,,,,,,,,,,,,,,,,,
09/30/1998,115.803975,144.073,,,15.61,,,,15.61,,,,,,,-11.108001,7.621,-18.729001,,,,,,,,,,,,,,,,,,11.108001,,,,,,,,,,,,,,,,,
12/31/1998,163.046997,177.796997,,,,,,,,,,,,,,-31.792999,,-31.792999,,,,,,,,,,,,,,,,,,31.792999,,,,,,,,,,,,,,,,,
03/31/1999,644.999023,176.341995,56.111,,175.470993,,,,175.470993,237.074997,,,,,,-31.785999,,-31.785999,,,,,,,,,,,,,,,,,,31.785999,,,,,,,,,,,,,,,8.571,304.122986,
06/30/1999,-411.622,161.556,-22.654,-51.79,-58.053,,,,-58.053,-440.681,,,,,,10.534,10.534,,,,,,,,,,,,,,,,,,,-10.534,,,,,,,,,,,,,,,91.235001,313.95401,
09/30/1999,734.794006,195.447998,,,,,,,,,,,,,,-20.66,,-20.66,,,,,,,,,,,,,,,,,,20.66,,,,,,,,,,,,,,,,,
12/31/1999,-56.179,116.038,65.119,,26.592,,,,26.592,-263.928,,,,,-48.407,-48.407,,-48.407,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-104.586,26.287,258.017,
03/31/2000,-21.751,206.369,27.969,21.352,18.462,,21.12,,-2.658,-295.903,,,,,-2726.426,-21.403,4.34,-25.743,-1990.931,1309.827,,,,-3300.758,,,,-714.092,,,,,,,,0.0,2482.613,-74.169,-511.341,,,,,13.903,13.903,0.0,3052.137,2.083,,-265.564,,,
06/30/2000,508.237,192.087997,56.984001,,89.065002,,,,89.065002,170.100006,,,,,,-22.466,,-22.466,,,,,,,,,,,,,,,,,,22.466,,,,,,,,,,,,,,,15.0,435.596985,
09/30/2000,152.539993,228.026001,41.939999,,-135.001007,,,,-135.001007,17.575001,,,,,,-18.489,,-18.489,,,,,,,,,,,,,,,,,,18.489,,,,,,,,,,,,,,,0.0,450.790985,
12/31/2000,151.974,236.4,52.755,,71.617,,,,71.617,-208.798,,,,,-34.302,-34.302,,-34.302,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,117.672,0.0,435.469,
03/31/2001,-1188.871,299.619,57.956,65.939,-55.314,,22.323,,-77.637,-1557.071,,,,,730.482,-25.49,1.499,-26.989,1089.558,5934.961,,,,-4845.403,,,,-316.61,,,,,,,,-16.976,173.894,-134.866,3551.155,,,,,36.154,36.154,0.0,-3265.128,-13.421,,-284.495,,,
06/30/2001,679.397,128.888,65.006,,-115.72,,,,-115.72,601.223,,,,,1435.505,-34.277,9.889,-44.166,1173.453,3567.56,,,,-2394.107,,,,426.16,,,,,,,,-129.831,-1951.645,-94.113,-1077.397,,,,,26.754,26.754,0.0,-819.659,12.77,,163.257,,,
09/30/2001,2040.422,279.602,-25.346,47.509,129.72,,,,129.72,1608.937,,,,,-1389.05,-30.807,9.012,-39.819,-1593.688,7888.259,,,,-9481.947,,,,235.445,,,,,,,,0.0,-790.536,-115.87,-1164.588,,,,,18.621,33.317,-14.696,469.043,2.258,,-139.164,,,
12/31/2001,-574.948,385.662,169.379,,-865.612,,,,-865.612,-264.606,,,,,-17.026,-17.026,,-17.026,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-591.974,,,
03/31/2002,1585.866,390.154,117.574,,72.14,,,,72.14,1005.998,,,,,-1615.71,-28.44,5.902,-34.342,-1172.081,4434.583,,,,-5606.664,,,,-415.189,,,,,,,,0.0,-656.598,-134.2,-481.0,,,,,-52.688,42.553,-95.241,11.653,-0.363,,-686.442,,,
06/30/2002,639.23,404.262,147.237,,75.975,,,,75.975,11.756,,,,,-3275.923,-24.062,8.689,-32.751,-783.95,6395.379,,,,-7179.329,,,,-2467.911,,,,,,,,0.0,3038.535,-134.197,-911.349,,,,,-138.767,22.028,-160.795,4223.521,-0.673,,401.842,0.0356,0.7813,
09/30/2002,,416.74,-24.659,55.524,-18.883,,,,-18.883,-739.099,,,,,-2214.372,-36.253,2.323,-38.576,-721.381,9708.791,,,,-10430.172,,,,-1456.738,,,,,,,,0.0,2489.491,-133.81,1441.902,,,,,-173.118,29.264,-202.382,1356.935,-2.418,,83.743,,,
