Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1994,1832.128052,,-1718.046021,,114.082031,,-77.358002,,,36.723999,-17.014,,0.0,0.0,17.014,19.709999,0.0,19.709999,0.0,,,19.709999,0.0,19.709999,0.0,,19.709999,19.709999,,137.072245,0.124444,0.124444,,137.072245,0.124444,0.124444,0.124444,
12/31/1994,1999.266968,,-1875.640015,,123.626953,,-78.823997,,,44.803001,-2.376,,4.39,0.0,-2.014,42.427001,-17.485001,24.941999,0.0,,,24.942001,0.0,24.941999,0.0,,24.941999,24.941999,,165.877869,0.151111,0.151111,,165.877869,0.151111,0.151111,0.151111,
03/31/1995,2001.25,,-1863.258057,,137.991943,,-81.660004,,,56.332001,-5.402,,6.443,0.0,-1.041,50.930001,-20.944,29.986,0.0,,,29.986001,0.0,29.986,0.0,,29.986,29.986,,165.948744,0.180741,0.180741,0.180741,165.948744,0.180741,0.180741,0.180741,
06/30/1995,2189.462891,,-1940.613037,,248.849854,,-140.737,,,108.112999,12.455,,8.57,0.0,-21.025,120.567999,-57.672001,62.896,0.0,,,62.895998,0.0,62.896,0.0,,62.896,62.896,,144.011243,0.154074,0.154074,0.154074,144.011243,0.154074,0.154074,0.154074,
09/30/1995,2096.844971,,-1932.79895,,164.046021,,-107.358002,,,56.688,-2.203,,4.623,0.0,-2.42,54.485,-22.569,31.916,0.0,,,31.916,0.0,31.916,0.0,,31.916,31.916,,218.119493,0.145185,0.145185,0.145185,218.119493,0.145185,0.145185,0.145185,
12/31/1995,2188.618896,,-2013.952026,,174.66687,,-107.102997,,,67.564003,-19.252,,4.801,0.0,14.451,48.312003,-21.77,26.542,0.0,,,26.542003,0.0,26.542,0.0,,26.542,26.542,,218.052007,0.118519,0.118519,0.118519,218.052007,0.118519,0.118519,0.118519,
03/31/1996,2352.253906,,-2148.666992,,203.586914,,-122.382004,,,81.205002,-5.828,,8.664,0.0,-2.836,75.377002,-30.686001,44.691002,0.0,,,44.691001,0.0,44.691002,0.0,,44.691002,44.691002,,231.275253,0.192593,0.192593,0.192593,231.275253,0.192593,0.192593,0.192593,
06/30/1996,2608.701904,,-2377.768066,,230.933838,,-142.597,,,88.336998,-54.447999,,8.815,0.0,45.632999,33.888999,-19.403999,14.485,0.0,,,14.485,0.0,14.485,0.0,,14.485,14.485,,231.42375,0.062222,0.062222,0.352593,231.42375,0.062222,0.062222,0.352593,
09/30/1996,3107.179932,,-2338.3479,,768.832031,,-124.155998,,,644.676025,-577.548017,,6.606,0.0,570.942017,67.128009,-27.802,39.326,0.0,,,39.326009,0.0,39.326,0.0,,39.326,39.326,,238.376241,0.174815,0.174815,0.174815,238.376241,0.174815,0.174815,0.174815,
12/31/1996,3440.289062,,-2592.548096,,847.740967,,-127.413002,,,720.328003,-647.583027,,7.368,0.0,640.215027,72.744976,-31.419001,41.326,0.0,,,41.325975,0.0,41.326,0.0,,41.326,41.326,,241.971748,0.168889,0.168889,0.182222,241.971748,0.168889,0.168889,0.182222,
03/31/1997,3449.86792,,-2578.842041,,871.025879,,-131.501999,,,739.523987,-662.877013,,8.414,0.0,654.463013,76.646974,-34.466,42.181,0.0,,,42.180974,0.0,42.181,0.0,,42.181,42.181,,243.4365,0.173333,0.173333,0.262222,248.053505,0.168889,0.168889,0.257778,
06/30/1997,3439.843018,,-2553.345947,,886.497071,,-130.546005,,,755.950989,-656.711,,5.586,0.0,651.125,99.239989,-37.473999,61.765999,0.0,,,61.76599,0.0,61.765999,0.0,,61.765999,61.765999,,248.287495,0.248889,0.248889,0.248889,248.287495,0.248889,0.248889,0.248889,
09/30/1997,3703.563965,,-3425.917969,,277.645996,,-160.322998,,,117.322998,-6.854,,7.243,0.0,-0.389,110.468998,-41.146999,69.321999,0.0,,,69.321999,0.0,69.321999,0.0,,69.321999,69.321999,,297.90675,0.233333,0.233333,0.237778,303.257263,0.226667,0.226667,0.231111,
12/31/1997,4028.337891,,-3729.294922,,299.042969,,-160.337006,,,138.705994,-9.74,,7.211,0.0,2.529,128.965994,-48.526001,80.439003,0.0,,,80.439993,0.0,80.440002,0.0,,80.440002,80.440002,,299.081257,0.266667,0.266667,0.273333,304.73101,0.266667,0.266667,0.273333,
