Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/29/1990,37.301998,11.663,11.663,0.0,10.482,,,4.718,,,,,0.88,,,,,,27.743,7.957,22.181,-14.224,0.0,,,1.602,,,,,1.602,9.559,,6.535,6.535,,,,8.326,,,,3.674,,,,3.674,18.535,18.577999,,,,0.0,,,,,0.0,18.577999,37.112999,41.498001,2.049,,,0.0,,-43.358002,0.188999,0.0,0.188999,37.301998,
03/31/1991,37.717999,12.082,12.082,0.0,11.064,,,4.298,,,,,1.242,,,,,,28.686001,7.459,20.961,-13.502,0.0,,,1.573,,,,,1.573,9.032,,6.186,6.186,,,,7.723,,,,3.508,,,,3.508,17.417,18.388,,,,0.0,,,,,0.0,18.388,35.805,41.513,2.07,,,0.0,,-41.669998,1.913002,0.0,1.913002,37.718003,
06/30/1991,71.306,43.577,43.577,0.0,12.598,,,4.743,,,,,0.86,,,,,,61.778,8.367,22.785999,-14.419,0.0,,,1.161,,,,,1.161,9.528,,7.245,7.245,,,,7.383,,,,5.028,,,,5.028,19.656,18.224001,,,,0.0,,,,,0.0,18.224001,37.880001,1.704,70.148003,,,0.0,,-38.425999,33.426004,0.0,33.426004,71.306005,
09/29/1991,75.679001,41.796,29.586,12.21,16.586,,,6.537,,,,,0.941,,,,,,65.860001,8.597,23.129,-14.532,0.0,,,1.222,,,,,1.222,9.819,,9.548,9.548,,,,7.598,,,,4.776,,,,4.776,21.922001,15.303,,,,0.0,,,,,0.0,15.303,37.225001,1.719,71.139999,,,0.0,,-34.404999,38.454001,0.0,38.454001,75.679002,
12/29/1991,80.322998,44.367001,23.322001,21.045,14.99,,,9.637,,,,,0.955,,,,,,69.948997,9.105,24.378,-15.273,0.0,,,1.269,,,,,1.269,10.374,,9.901,9.901,,,,7.461,,,,5.599,,,,5.599,22.961,14.844,,,,0.0,,,,,0.0,14.844,37.805,1.735,71.265999,,,0.0,,-30.483,42.517999,0.0,42.517999,80.322999,
03/29/1992,75.468002,41.536001,20.079,21.457001,15.114,,,7.444,,,,,1.142,,,,,,65.236,8.986,24.535999,-15.55,0.0,,,1.246,,,,,1.246,10.232,,6.047,6.047,,,,3.672,,,,4.723001,,,,4.723001,14.442,13.672,,,,0.0,,,,,0.0,13.672,28.114,1.75,72.128998,,,0.0,,-26.525,47.353998,0.0,47.353998,75.467999,
06/28/1992,85.751999,46.618999,19.775999,26.843,16.208,,,7.098,,,,,1.679,,,,,,71.603996,9.842,26.596001,-16.754,0.0,,,4.306,,,,,4.306,14.148,,8.94,8.94,,,,3.364,,,,6.216001,,,,6.216001,18.52,12.818,,,,0.0,,,,,0.0,12.818,31.338,1.765,75.667,,,0.0,,-23.018,54.414,0.0,54.414,85.752,
09/27/1992,88.249001,36.136001,12.852,23.284,15.415,,,9.262,,,,,1.565,,,,,,62.377998,10.46,28.117001,-17.657,6.229,,,9.182,,,,,9.182,25.871,,10.079,10.079,,,,3.249,,,,5.627999,,,,5.627999,18.955999,12.333,,,,0.0,,,,,0.0,12.333,31.289,1.78,76.134003,,,0.0,,-20.954,56.960002,0.0,56.960002,88.249002,
12/31/1992,89.540001,34.842998,18.705999,16.136999,14.592,,,9.526,,,,,1.574,,,,,,60.535,11.004,29.312,-18.308001,8.677,,,9.324,,,,,9.324,29.005,,9.964,9.964,,,,2.943,,,,5.287,,,,5.287,18.194,11.632,,,,0.0,,,,,0.0,11.632,29.826,1.795,76.709,,,0.0,,-18.790001,59.713999,0.0,59.713999,89.539999,
04/03/1993,89.765999,34.291,18.215,16.076,13.98,,,9.87,,,,,2.309,,,,,,60.450001,11.561,30.858999,-19.298,8.645,,,9.11,,,,,9.11,29.316,,9.912,9.912,,,,2.631,,,,5.522001,,,,5.522001,18.065001,11.153,,,,0.0,,,,,0.0,11.153,29.218,1.81,76.913002,,,0.0,,-18.174999,60.548003,0.0,60.548003,89.766003,
