Date,Revenue,Sales & Services Revenue,Other Revenue,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1996,4333.0,,,,,-4069.0,,,,264.0,160.0,,113.0,,,-273.0,424.0,-51.0,373.0,89.0,,,284.0,0.0,284.0,0.0,,284.0,284.0,,82.0,3.12,4.1,1.739,82.0,3.08,4.05,1.689,
03/31/1997,4323.0,,,,,-3983.0,,,,340.0,,,,,,,,,146.0,-6.0,,,,0.0,152.0,0.0,,152.0,152.0,,91.080002,1.68,1.62,1.62,92.0,1.64,1.58,1.58,
06/30/1997,4614.0,,,,,-4034.0,,,,580.0,,,,,,,,,297.0,-5.0,,,,0.0,302.0,0.0,,302.0,302.0,,91.0,3.32,3.26,3.26,92.5,3.26,3.2,3.2,
09/30/1997,4706.0,,,,,-4099.0,,,,607.0,,,,,,,,,322.0,-1.0,,,,0.0,323.0,0.0,,323.0,323.0,,88.0,3.66,3.66,3.66,90.5,3.56,3.56,3.56,
12/31/1997,4541.0,,,,,-4161.0,,,,380.0,0.0,0.0,0.0,,0.0,0.0,380.0,0.0,208.0,0.0,,,380.0,0.0,208.0,0.0,,208.0,208.0,,87.0,2.39,2.39,2.39,90.0,2.31,2.31,2.31,
03/31/1998,4242.0,,,,,-3808.0,,,,434.0,-79.0,,79.0,,,,355.0,,226.0,-64.0,,,,,290.0,0.0,,290.0,290.0,,86.5,3.36,2.62,2.62,89.5,3.24,2.52,2.52,
06/30/1998,4506.0,,,,,-3892.0,,,,614.0,-67.0,,67.0,,,,547.0,,351.0,-58.0,,,,,409.0,0.0,,409.0,409.0,,172.0,2.38,2.04,2.04,178.0,2.3,1.97,1.97,
09/30/1998,4601.0,,,,,-3967.0,,,,634.0,-65.0,,65.0,,,,569.0,,373.0,-60.0,,,,,433.0,0.0,,433.0,433.0,,168.481995,2.57,2.1,2.1,174.0,2.49,2.14,2.14,
12/31/1998,4601.0,,,,,-4267.0,,,,334.0,,,,,,,,,182.0,0.0,,,,0.0,182.0,0.0,,182.0,182.0,,162.5,1.12,1.12,1.12,167.0,1.09,1.09,1.09,
03/31/1999,4483.0,,,,,-4325.0,,,,158.0,31.0,34.0,59.0,-25.0,0.0,-65.0,189.0,-79.0,110.0,-64.0,,,174.0,-16.0,158.0,0.0,0.0,158.0,158.0,,159.0,0.99,0.59,0.59,164.0,0.96,0.57,0.57,
06/30/1999,5011.0,,,,,-4501.0,,,,510.0,-51.0,45.0,66.0,-21.0,0.0,6.0,459.0,-180.0,279.0,0.0,,,279.0,-11.0,268.0,0.0,0.0,268.0,268.0,,153.0,1.76,1.76,1.76,158.0,1.7,1.7,1.7,
09/30/1999,5150.0,,,,,-4603.0,,,,547.0,-63.0,54.0,80.0,-26.0,0.0,9.0,484.0,-192.0,292.0,0.0,,,292.0,-13.0,279.0,0.0,0.0,279.0,279.0,,150.0,1.86,1.86,1.86,155.0,1.76,1.76,1.76,
12/31/1999,4487.0,,,,,-4217.0,,,,270.0,-21.0,,69.0,,,-48.0,249.0,-39.0,210.0,-70.0,,,280.0,0.0,280.0,0.0,,280.0,280.0,,148.0,1.89,1.42,0.74,153.0,1.84,1.37,0.69,
03/31/2000,4577.0,,,,,-4365.0,,,,212.0,-55.0,49.0,81.0,-32.0,0.0,6.0,157.0,-68.0,89.0,0.0,,,89.0,43.0,132.0,0.0,0.0,132.0,132.0,,149.0,0.89,0.6,0.6,154.0,0.86,0.57,0.57,
06/30/2000,5011.0,,,,,-4494.0,,,,517.0,5.0,45.0,79.0,-34.0,0.0,-50.0,522.0,-201.0,321.0,0.0,,,321.0,0.0,321.0,0.0,0.0,321.0,321.0,,150.0,2.15,2.15,1.91,164.0,1.96,1.96,1.75,
09/30/2000,5256.0,,,,,-4684.0,,,,572.0,-47.0,41.0,83.0,-42.0,0.0,6.0,525.0,-203.0,322.0,9.0,,,313.0,0.0,313.0,0.0,0.0,313.0,313.0,,150.0,2.08,2.14,2.14,164.0,1.91,1.96,1.96,
12/31/2000,4859.0,,,,,-4779.0,,,,80.0,3.0,-19.0,73.0,-92.0,,16.0,83.0,-36.0,47.0,0.0,,,47.0,0.0,47.0,0.0,0.0,47.0,47.0,,151.0,0.31,0.31,0.36,165.0,0.29,0.29,0.34,
03/31/2001,4760.0,,,,,-4743.0,,,,17.0,-74.0,38.0,78.0,-40.0,0.0,36.0,-57.0,14.0,-43.0,0.0,,,-43.0,0.0,-43.0,0.0,0.0,-43.0,-43.0,,154.0,-0.28,-0.28,-0.28,154.0,-0.28,-0.28,-0.28,
06/30/2001,5583.0,,,,,-5658.0,,,,-75.0,-718.0,70.0,94.0,-24.0,0.0,648.0,-793.0,286.0,-507.0,0.0,,,-507.0,0.0,-507.0,0.0,0.0,-507.0,-507.0,401.94,154.0,-3.29,-3.29,-0.68,154.0,-3.29,-3.29,-0.68,
09/30/2001,4816.0,,,,,-5551.0,,,,-735.0,99.0,69.0,85.0,-16.0,0.0,-168.0,-636.0,222.0,-414.0,0.0,,,-414.0,0.0,-414.0,0.0,0.0,-414.0,-414.0,,154.0,-2.68,-2.68,-3.4,154.0,-2.68,-2.68,-3.4,
12/31/2001,3804.0,,,,,-4850.0,,,,-1046.0,-224.0,,137.0,-30.0,,117.0,-1270.0,472.0,-798.0,0.0,,,-798.0,0.0,-798.0,0.0,0.0,-798.0,-798.0,,154.0,-5.17,-5.17,-4.75,154.0,-5.17,-5.17,-4.75,
03/31/2002,4136.0,,,,,-4865.0,,,,-729.0,-134.0,126.0,144.0,-18.0,0.0,8.0,-863.0,288.0,-575.0,0.0,,,-575.0,0.0,-575.0,0.0,0.0,-575.0,-575.0,27.0,155.0,-3.71,-3.71,-3.53,155.0,-3.71,-3.71,-3.53,
06/30/2002,4479.0,,,,,-5080.0,,,,-601.0,-119.0,124.0,142.0,-18.0,0.0,-5.0,-720.0,225.0,-495.0,0.0,,,-495.0,0.0,-495.0,0.0,0.0,-495.0,-495.0,30.0,155.0,-3.19,-3.19,-3.0,155.0,-3.19,-3.19,-3.0,
09/30/2002,4494.0,,,,,-5107.0,,,,-613.0,-836.0,130.0,148.0,-18.0,0.0,706.0,-1449.0,525.0,-924.0,,,,-924.0,0.0,-924.0,0.0,0.0,-924.0,-924.0,,156.0,-5.92,-5.92,-5.0,156.0,-5.92,-5.92,-5.0,
12/31/2002,4190.0,,,,,-4869.0,,,,-679.0,-149.0,148.0,165.0,-17.0,0.0,1.0,-828.0,299.0,-529.0,0.0,,,-529.0,0.0,-529.0,0.0,0.0,-529.0,-529.0,,156.0,-3.39,-3.39,-3.39,156.0,-3.39,-3.39,-3.39,
03/31/2003,4120.0,,,,,-4989.0,,,,-869.0,-174.0,160.0,173.0,-13.0,0.0,14.0,-1043.0,0.0,-1043.0,0.0,,,-1043.0,0.0,-1043.0,0.0,0.0,-1043.0,-1043.0,,156.0,-6.68,-6.68,-6.68,156.0,-6.68,-6.68,-6.68,
06/30/2003,4324.0,,,,,-4519.0,,,,-195.0,120.0,164.0,172.0,-8.0,0.0,-284.0,-75.0,0.0,-75.0,0.0,,,-75.0,0.0,-75.0,0.0,0.0,-75.0,-75.0,,158.0,-0.47,-0.47,-2.26,158.0,-0.47,-0.47,-2.26,
09/30/2003,4605.0,,,,,-4464.0,,,,141.0,-140.0,161.0,181.0,-20.0,0.0,-21.0,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,159.0,0.0,0.0,-0.15,181.0,0.0,0.0,-0.15,
12/31/2003,4391.0,,,,,-4263.0,,,,128.0,-319.0,,106.0,-14.0,,227.0,-191.0,80.0,-111.0,0.0,,,-111.0,0.0,-111.0,0.0,0.0,-111.0,-111.0,,160.0,-0.7,-0.7,-0.59,160.0,-0.7,-0.7,-0.59,
03/31/2004,4512.0,,,,,-4470.0,,,,42.0,-208.0,180.0,194.0,-14.0,0.0,28.0,-166.0,0.0,-166.0,0.0,,,-166.0,0.0,-166.0,0.0,0.0,-166.0,-166.0,,160.0,-1.03,-1.03,-1.03,160.0,-1.03,-1.03,-1.03,
06/30/2004,4830.0,,,,,-4665.0,,,,165.0,-159.0,183.0,197.0,-14.0,,-24.0,6.0,0.0,6.0,0.0,,,6.0,0.0,6.0,0.0,0.0,6.0,6.0,,160.0,0.04,0.04,-0.14,183.0,0.03,0.03,-0.15,
09/30/2004,4762.0,,,,,-4807.0,,,,-45.0,-169.0,178.0,197.0,-19.0,0.0,-9.0,-214.0,0.0,-214.0,0.0,,,-214.0,0.0,-214.0,0.0,0.0,-214.0,-214.0,,161.0,-1.33,-1.33,-1.44,161.0,-1.33,-1.33,-1.44,
12/31/2004,4541.0,,,,,-4836.0,,,,-295.0,-92.0,,283.0,-19.0,,-172.0,-387.0,0.0,-387.0,0.0,,,-387.0,0.0,-387.0,0.0,0.0,-387.0,-387.0,,161.0,-2.4,-2.4,-2.94,161.0,-2.4,-2.4,-2.94,
03/31/2005,4750.0,,,,,-4727.0,,,,23.0,-185.0,176.0,212.0,-36.0,,9.0,-162.0,0.0,-162.0,0.0,,,-162.0,0.0,-162.0,0.0,0.0,-162.0,-162.0,-69.0,161.0,-1.0,-1.0,-1.43,161.0,-1.0,-1.0,-1.43,
06/30/2005,5309.0,,,,,-5080.0,,,,229.0,-171.0,170.0,199.0,-29.0,,1.0,58.0,0.0,58.0,0.0,,,58.0,0.0,58.0,0.0,0.0,58.0,58.0,,163.0,0.35,0.35,0.35,216.0,0.3,0.3,0.3,
09/30/2005,5485.0,,,,,-5446.0,,,,39.0,-192.0,188.0,228.0,-40.0,,4.0,-153.0,0.0,-153.0,0.0,,,-153.0,0.0,-153.0,0.0,0.0,-153.0,-153.0,58.0,164.0,-0.93,-0.93,-0.58,164.0,-0.93,-0.93,-0.58,
12/31/2005,5168.0,,,,,-5548.0,,,,-380.0,-220.0,,254.0,-45.0,,11.0,-600.0,0.0,-600.0,0.0,,,-600.0,0.0,-600.0,0.0,0.0,-600.0,-600.0,,173.0,-3.46,-3.46,-2.36,173.0,-3.46,-3.46,-2.36,
03/31/2006,5344.0,,,,,-5229.0,,,,115.0,-207.0,201.0,254.0,-53.0,,6.0,-92.0,0.0,-92.0,0.0,,,-92.0,0.0,-92.0,0.0,0.0,-92.0,-92.0,,186.0,-0.49,-0.49,-0.49,186.0,-0.49,-0.49,-0.49,
06/30/2006,5975.0,,,,,-5499.0,,,,476.0,-185.0,185.0,253.0,-68.0,,0.0,291.0,,291.0,,,,,,291.0,,0.0,291.0,291.0,,202.0,1.44,1.44,1.44,262.0,1.14,1.14,1.14,
09/30/2006,5847.0,,,,,-5563.0,,,,284.0,-269.0,172.0,252.0,-80.0,,97.0,15.0,0.0,15.0,0.0,,,15.0,0.0,15.0,0.0,0.0,15.0,15.0,99.0,213.0,0.07,0.07,0.5,237.0,0.06,0.06,0.45,
12/31/2006,5397.0,,,,,-5212.0,,,,185.0,-168.0,,242.0,-78.0,,4.0,17.0,0.0,17.0,0.0,,,17.0,0.0,17.0,0.0,0.0,17.0,17.0,,219.0,0.08,0.08,0.08,247.0,0.07,0.07,0.07,
03/31/2007,5427.0,,,,,-5179.0,,,,248.0,-167.0,155.0,232.0,-77.0,0.0,12.0,81.0,0.0,81.0,0.0,,,81.0,0.0,81.0,0.0,0.0,81.0,81.0,,236.0,0.35,0.35,0.35,298.0,0.3,0.3,0.3,
06/30/2007,5879.0,,,,,-5412.0,,,,467.0,-150.0,140.0,230.0,-90.0,,10.0,317.0,,317.0,,,,,,317.0,,0.0,317.0,317.0,,246.0,1.28,1.28,1.28,299.0,1.08,1.08,1.08,
09/30/2007,5946.0,,,,,-5627.0,,,,319.0,-144.0,134.0,224.0,-90.0,,10.0,175.0,,175.0,,,,,,175.0,,0.0,175.0,175.0,,249.0,0.7,0.7,0.86,300.0,0.61,0.61,0.74,
