Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,FFO Per Share,FFO Per Share Surprise %,EBIT,EBIT Surprise %,EBITDA,Net Income,Net Income Surprise %,Source: Bloomberg
03/31/1994,,,11.252,,11.252,11.252,,,,,,,,
06/30/1994,,,13.208,,13.208,13.208,,,,,,,,
09/30/1994,,,12.417,,12.417,12.417,,,,,,,,
12/31/1994,,,13.1,,13.1,13.1,,,,,,,,
03/31/1995,,,13.756,,13.756,13.756,,,,,,,,
06/30/1995,,,37.866001,,37.866001,37.866001,,,,,,,,
09/30/1995,,,14.644,,14.644,14.644,,,,,,,,
12/31/1995,,,14.0,,14.0,14.0,,,,,,,,
03/31/1996,,,14.601,,14.601,14.601,,,,,,,,
06/30/1996,,,15.591,,15.591,15.591,,,,,,,,
09/30/1996,,,15.028,,15.028,15.028,,,,,,,,
12/31/1996,,,15.421,,15.421,15.421,,,,,,,,
03/31/1997,,,17.118999,,17.118999,17.118999,,,,,,,,
06/30/1997,,,15.394,,15.394,15.394,,,,,,,,
09/30/1997,,,15.553,,15.553,15.553,,,,,,,,
12/31/1997,,,15.476,,15.476,15.476,,,,,,,,
03/31/1998,,,16.297001,,16.297001,16.297001,,,,,,,,
06/30/1998,,,16.546,,16.545999,16.545999,,,,,,,,
09/30/1998,,,22.836,,22.836,22.836,,,,,,,,
12/31/1998,,,22.955999,,22.956,22.956,,,,,,,,
03/31/1999,,,15.269,,15.269,15.269,,,,,,,,
06/30/1999,,,15.566,,15.566,15.566,,,,,,,,
09/30/1999,,,26.063999,,26.064,26.064,,,,,,,,
12/31/1999,,,21.551001,,21.550999,21.550999,,,,,,,,
03/31/2000,,,22.997999,,23.207,23.207,,,,,,,,
06/30/2000,,,30.277,,30.276999,30.276999,,,,,,,,
09/30/2000,,,24.618,,24.683001,24.683001,,,,,,,,
12/31/2000,,,30.381001,,30.380999,30.380999,,,,,,,,
03/31/2001,,,19.799,,19.799,19.799,,,,,,,,
06/30/2001,,,28.674999,,28.675,28.675,,,,,,,,
09/30/2001,,,23.038,,17.848,17.848,,,,,,,,
12/31/2001,,,29.944,,29.943999,29.943999,,,,,,,,
03/31/2002,,,25.025999,,24.184,24.184,,,,,,,,
06/30/2002,,,31.105,,34.13,34.13,,,,,,,,
09/30/2002,,,29.483999,,31.017,31.017,,,,,,,,
12/31/2002,,,31.518999,,23.149001,23.149001,,,,,,,,
03/31/2003,,,28.042,,21.439,21.439,,,,,,,,
06/30/2003,,,22.412001,,43.837,43.837,,,,,,,,
09/30/2003,,,33.007999,,52.244,52.244,,,,,,,,
12/31/2003,,,39.209,,41.435,41.435,,,,,,,,
03/31/2004,,,30.988001,,41.552,41.552,,,,,,,,
06/30/2004,,,38.334999,,36.302,36.302,,,,,,,,
09/30/2004,,,36.639,,29.208,29.208,,,,,,,,
12/31/2004,,,35.653,,40.848,40.848,,,,,,,,
03/31/2005,,,32.316002,,38.175,38.175,,,,,,,,
06/30/2005,,,33.356998,,37.764,37.764,,,,,,,,
09/30/2005,,,39.113998,,39.759,39.759,,9.40919037199124,,,,,,
12/31/2005,,,34.499001,,36.229,36.229,,2.12765957446809,,,,,,
03/31/2006,,,43.556999,12.4563547619048,52.605,52.605,,13.2478632478632,,,,,,
06/30/2006,,,32.888,6.93282519083969,36.284,36.284,,-2.4896265560166,,,,,,
09/30/2006,,,33.214001,-14.3576687116564,71.536,71.536,,2.6694045174538,,,,,,
12/31/2006,,,4.123,12.2125966761094,235.992,235.992,,-17.25768321513,,,,,,
03/31/2007,,66.5,34.527,18.6957336492891,140.005,140.005,,-0.199600798403194,,,,,-48.0796992481203,
