Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,191.628998,4.899,4.899,0.0,59.866001,,,56.062,,,,,9.951,,,,,130.778,50.223999,76.529999,-26.306,6.275,,,4.352,,,,4.352,60.850999,,16.639999,16.639999,,,,23.655001,,,,,,34.709997,,,,34.709997,75.004997,36.094002,,,,,6.217,,,,,6.217,42.311002,117.315999,0.0,23.327999,,,0.0,,50.985001,74.313,0.0,74.313,191.628999,
06/30/1990,196.953995,4.937,4.937,0.0,60.535,,,59.521,,,,,10.74,,,,,135.733002,51.223999,79.830002,-28.606001,5.756,,,4.241,,,,4.241,61.220999,,14.445,14.445,,,,27.829,,,,,,36.064997,,,,36.064997,78.338997,35.952999,,,,,6.104,,,,,6.104,42.056999,120.395996,0.0,23.461,,,0.0,,53.097,76.558001,0.0,76.558001,196.953997,
09/30/1990,200.742004,3.491,3.491,0.0,62.643002,,,62.577999,,,,,11.352,,,,,140.063995,52.120998,83.513,-31.392,3.876,,,4.681,,,,4.681,60.677999,,14.338,14.338,,,,23.153999,,,,,,38.452001,,,,38.452001,75.944,41.460999,,,,,6.151,,,,,6.151,47.611999,123.555999,0.0,23.598,,,-0.22,,53.808001,77.186001,0.0,77.186001,200.742,
12/31/1990,213.177002,2.01,2.01,0.0,70.5,,,63.165001,,,,,11.49,,,,,147.164993,56.425999,91.615997,-35.189999,4.394,,,5.192,,,,5.192,66.011999,,18.646999,18.646999,,,,28.23,,,,,,37.781998,,,,37.781998,84.658997,42.709999,,,,,4.749,,,,,4.749,47.458999,132.117996,0.0,23.598,,,-0.274,,57.734999,81.058998,0.0,81.058998,213.176994,
03/31/1991,222.479004,3.29,3.29,0.0,70.023003,,,65.625999,,,,,14.147,,,,,153.085999,58.603001,94.682999,-36.080002,5.515,,,5.275,,,,5.275,69.393001,,17.386,17.386,,,,31.403999,,,,,,39.196001,,,,39.196001,87.986,44.285,,,,,4.679,,,,,4.679,48.964,136.95,0.0,23.785,,,-0.094,,61.837999,85.528999,0.0,85.528999,222.478999,
06/30/1991,225.203003,2.461,2.461,0.0,66.973,,,66.564003,,,,,12.983,,,,,148.981003,64.663002,102.218002,-37.555,6.089,,,5.47,,,,5.47,76.222002,,19.562,19.562,,,,32.061001,,,,,,37.845001,,,,37.845001,89.468002,45.265999,,,,,4.619,,,,,4.619,49.884999,139.353001,0.0,23.906,,,0.0,,61.944,85.85,0.0,85.85,225.203001,
09/30/1991,238.858994,2.806,2.806,0.0,71.038002,,,70.075996,,,,,12.154,,,,,156.074005,70.825996,111.171997,-40.346001,6.551,,,5.408,,,,5.408,82.784997,,15.142,15.142,,,,33.629002,,,,,,39.546,,,,39.546,88.317001,57.466,,,,,4.67,,,,,4.67,62.136,150.453001,0.0,24.056999,,,0.0,,64.348999,88.405998,0.0,88.405998,238.858999,
12/31/1991,253.141998,4.831,4.831,0.0,76.186996,,,72.100998,,,,,13.67,,,,,166.789001,76.533997,120.863998,-44.330002,4.311,,,5.508,,,,5.508,86.352996,,17.476999,17.476999,,,,31.719,,,,,,42.933998,,,,42.933998,92.129997,64.905998,,,,,5.324,,,,,5.324,70.229998,162.359995,0.0,24.281,,,0.0,,66.500999,90.782,0.0,90.782,253.141995,
03/31/1992,259.816986,5.12,5.12,0.0,76.403999,,,76.641998,,,,,14.641,,,,,172.807007,77.420998,123.274002,-45.853001,4.098,,,5.491,,,,5.491,87.009998,,19.351,19.351,,,,31.993,,,,,,43.076998,,,,43.076998,94.420998,64.986,,,,,5.218,,,,,5.218,70.204,164.624998,0.0,24.485001,,,0.0,,70.707001,95.192001,0.0,95.192001,259.816999,
06/30/1992,295.963013,3.672,3.672,0.0,77.641998,,,83.700996,,,,,42.112,,,,,207.126999,80.382004,130.164001,-49.782001,3.875,,,4.579,,,,4.579,88.836004,,18.606001,18.606001,,,,53.529999,,,,,,54.923998,,,,54.923998,127.059998,54.275002,,,,,9.203,,,,,9.203,63.478002,190.537999,0.0,24.723,,,0.0,,80.702003,105.425003,0.0,105.425003,295.963002,
09/30/1992,274.70401,2.444,2.444,0.0,73.498001,,,89.044998,,,,,18.416,,,,,183.403,82.837997,135.268997,-52.431,3.622,,,4.841,,,,4.841,91.300997,,18.163,18.163,,,,38.956001,,,,,,48.593996,,,,48.593996,105.712997,51.707001,,,,,9.309,,,,,9.309,61.016001,166.728998,0.0,24.936001,,,0.0,,83.039001,107.975002,0.0,107.975002,274.704,
12/31/1992,272.730011,2.686,2.686,0.0,76.153999,,,82.427002,,,,,20.02,,,,,181.287003,82.504997,134.873001,-52.368,3.682,,,5.256,,,,5.256,91.442997,,18.851999,18.851999,,,,36.367001,,,,,,43.186998,,,,43.186998,98.405998,57.909,,,,,9.36,,,,,9.36,67.269,165.674998,0.0,25.143,,,0.0,,81.912003,107.055002,0.0,107.055002,272.73,
03/31/1993,280.751007,3.823,3.823,0.0,78.126999,,,85.989998,,,,,19.978001,,,,,187.917999,83.471001,137.802994,-54.332001,3.814,,,5.548,,,,5.548,92.833,,18.211,18.211,,,,34.293999,,,,,,44.823004,,,,44.823004,97.328003,62.456001,,,,,10.273,,,,,10.273,72.729001,170.057004,0.0,25.349001,,,0.0,,85.345001,110.694002,0.0,110.694002,280.751006,
06/30/1993,283.596008,3.872,3.872,0.0,79.563004,,,85.498001,,,,,21.007,,,,,189.940002,83.843002,,,0.0,,,9.813,,,,9.813,93.656002,,15.235,15.235,,,,68.750999,,,,,,43.489999,,,,43.489999,127.475998,35.216,,,,,9.778,,,,,9.778,44.993999,172.469997,0.0,25.558001,,,0.0,,85.568001,111.126001,0.0,111.126001,283.595999,
