Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1991,61.691002,24.375,1.094,23.281,0.0,,,0.0,,,,,0.665,,,25.040001,2.152,3.37,-1.218,34.458,,0.041,,,,0.041,36.651,,0.439,0.439,,0.0,,,,,0.395,,0.395,0.834,0.0,,,,0.0,,,,,,0.0,0.0,0.834,0.0,71.442001,,,0.0,,-10.585,60.857001,0.0,60.857001,61.691001,
03/31/1992,58.998001,27.280001,2.236,25.044001,0.0,,,0.0,,,,,0.874,,,28.153999,2.504,,,28.299,,0.041,,,,0.041,30.844,,0.491,0.491,,0.0,,,,,0.504,,0.504,0.995,0.0,,,,0.0,,,,,,0.0,0.0,0.995,0.0,71.467003,,,0.0,,-13.464,58.003003,0.0,58.003003,58.998003,
06/30/1992,59.438999,45.254001,0.721,44.533001,0.0,,,0.0,,,,,0.652,,,45.905998,3.498,,,10.009,,0.026,,,,0.026,13.533,,0.086,0.086,,0.0,,,,,0.607,,0.607,0.693,0.0,,,,0.0,,,,,,0.0,0.0,0.693,0.0,71.482002,,,0.0,,-12.736,58.746002,0.0,58.746002,59.439002,
09/30/1992,58.465,36.224999,1.264,34.960999,2.65,,,0.0,,,,,0.849,,,39.723999,4.192,,,10.009,,4.54,,,,4.54,18.741,,0.125,0.125,,0.0,,,,,0.645,,0.645,0.77,0.0,,,,0.0,,,,,,0.0,0.0,0.77,0.0,72.084999,,,0.0,,-14.39,57.694999,0.0,57.694999,58.464999,
12/31/1992,71.060997,33.839001,2.215,31.624001,2.312,,,0.0,,,,,1.134,,,37.285,18.702,21.143999,-2.442,10.008,,5.066,,,,5.066,33.776,,1.486,1.486,,0.165,,,,,0.667,,0.667,2.318,12.01,,,,0.0,,,,,,0.0,12.01,14.328,0.0,74.0,,,0.0,,-17.267,56.733,0.0,56.733,71.061,
03/31/1993,64.018997,29.484,0.106,29.378,2.442,,,0.0,,,,,1.242,,,33.167999,19.056999,22.382999,-3.326,7.008,,4.786,,,,4.786,30.850999,,0.442,0.442,,0.66,,,,,1.12,,1.12,2.222,12.065,,,,0.0,,,,,,0.0,12.065,14.286999,0.0,72.786003,,,0.0,,-23.054001,49.732002,0.0,49.732002,64.019002,
06/30/1993,83.804001,32.994001,1.193,31.801001,0.0,,,0.0,,,,,6.179,,,39.173,19.424999,23.729,-4.304,20.209999,,4.996,,,,4.996,44.630998,,0.689,0.689,,0.0,,,,,1.336,,1.336,2.025,11.735,,,,0.0,,,,,,0.0,11.735,13.76,0.0,94.880997,,,0.0,,-24.837,70.043997,0.0,70.043997,83.803997,
09/30/1993,81.896004,32.872,1.925,30.947001,0.0,,,0.0,,,,,6.263,,,39.134998,20.48,25.827,-5.347,17.160999,,5.12,,,,5.12,42.760999,,0.704,0.704,,0.0,,,,,1.249,,1.249,1.953,11.57,,,,0.0,,,,,,0.0,11.57,13.523,0.0,98.252998,,,0.0,,-29.879999,68.372999,0.0,68.372999,81.895999,
12/31/1993,78.108002,49.437998,4.56,44.877998,0.0,,,0.0,,,,,2.255,,,51.693001,21.511,27.993,-6.482,0.0,,4.904,,,,4.904,26.415,,1.298,1.298,,0.0,,,,,2.135,,2.135,3.433,11.57,,,,0.0,,,,,,0.0,11.57,15.003,0.0,99.135002,,,0.0,,-36.029999,63.105003,0.0,63.105003,78.108003,
03/31/1994,140.304001,109.707001,2.932,106.775002,0.0,,,0.0,,,,,4.686,,,114.392998,20.997,28.681999,-7.685,0.0,,4.914,,,,4.914,25.911,,1.366,1.366,,11.57,,,,,3.419,,3.419,16.355,3.0,,,,0.0,,,,,,0.0,3.0,19.355,0.0,168.645996,,,0.0,,-47.696999,120.948997,0.0,120.948997,140.303997,
06/30/1994,165.173996,129.395997,2.766,126.629997,0.0,,,0.0,,,,,6.467,,,135.863007,24.035999,32.991001,-8.955,0.0,,5.275,,,,5.275,29.310999,,4.699,4.699,,14.07,,,,,5.271001,,5.271001,24.040001,12.028,,,,0.0,,,,,,0.0,12.028,36.068001,0.0,183.462997,,,0.0,,-54.356998,129.105999,0.0,129.105999,165.174,
09/30/1994,159.257996,121.780998,4.028,117.752998,0.0,,,0.0,,,,,6.312,,,128.093002,25.757999,36.105999,-10.348,0.0,,5.407,,,,5.407,31.164999,,0.909,0.909,,14.321,,,,,5.749,,5.749,20.979,16.176001,,,,0.0,,,,,,0.0,16.176001,37.155001,0.0,184.007996,,,0.0,,-61.904999,122.102997,0.0,122.102997,159.257998,
12/31/1994,140.173004,104.633,11.063,93.57,0.0,,,0.0,,,,,8.067,,,112.699997,16.691,24.591999,-7.901,9.825,,0.957,,,,0.957,27.473,,2.22,2.22,,2.903,,,,,5.711,,5.711,10.834,16.087999,,,,0.484,,,,,,0.484,16.571999,27.405999,0.0,184.445999,,,0.0,,-71.679001,112.766998,0.0,112.766998,140.172997,
03/31/1995,151.205994,80.820999,12.486,68.334999,0.0,,,0.0,,,,,10.423,,,91.244003,28.115999,37.198002,-9.082,28.427999,,3.418,,,,3.418,59.961999,,0.801,0.801,,3.723,,,,,6.872,,6.872,11.396,38.555,,,,0.724,,,,,,0.724,39.279,50.675,0.0,184.791,,,0.0,,-84.260002,100.530998,0.0,100.530998,151.205998,
06/30/1995,141.957001,61.597002,18.002001,43.595001,0.0,,,0.0,,,,,12.495,,,74.092003,29.219999,36.800999,-7.581,35.213001,,3.432,,,,3.432,67.865,,0.774,0.774,,3.843,,,,,5.907,,5.907,10.524,33.070999,,,,1.21,,,,,,1.21,34.280999,44.804999,0.0,185.393997,,,0.0,,-88.241997,97.152,0.0,97.152,141.957,
09/30/1995,221.371994,71.553,14.874,56.679001,0.0,,,0.0,,,,,7.582,,,79.135002,29.146,37.823002,-8.677,110.283997,,2.807,,,,2.807,142.236996,,2.735,2.735,,4.035,,,,,8.535001,,8.535001,15.305,22.504999,,,,0.552,,,,,,0.552,23.056999,38.361999,0.0,275.873993,,,0.0,,-92.863998,183.009995,0.0,183.009995,221.371994,
12/31/1995,221.330002,178.066999,6.565,171.501999,0.0,,,0.0,,,,,10.415,,,188.481995,30.002001,39.653999,-9.652,0.0,,2.846,,,,2.846,32.848001,,4.379,4.379,,3.907,,,,,10.116,,10.116,18.402,21.667999,,,,1.055,,,,,,1.055,22.722999,41.124999,0.0,284.886993,,,0.0,,-104.681999,180.204994,0.0,180.204994,221.329993,
03/31/1996,209.328995,167.587994,5.826,161.761993,0.057,,,0.0,,,,,9.353,,,176.998001,29.447001,40.056999,-10.61,0.0,,2.884,,,,2.884,32.331001,,2.711,2.711,,3.931,,,,,10.695999,,10.695999,17.337999,20.674,,,,1.199,,,,,,1.199,21.873,39.210999,0.0,289.738007,,,0.0,,-119.620003,170.118004,0.0,170.118004,209.329003,
06/30/1996,195.130005,155.199998,6.127,149.072998,0.0,,,0.0,,,,,7.96,,,163.160004,29.049,40.618999,-11.57,0.0,,2.921,,,,2.921,31.97,,1.86,1.86,,3.952,,,,,11.838999,,11.838999,17.650999,20.077,,,,1.419,,,,,,1.419,21.496,39.146999,0.0,292.502991,,,0.0,,-136.520004,155.982986,0.0,155.982986,195.129985,
09/30/1996,180.363998,144.696994,8.006,136.690994,0.0,,,0.0,,,,,5.807,,,150.503998,28.591,41.132,-12.541,0.0,,1.269,,,,1.269,29.86,,2.058,2.058,,3.983,,,,,12.795,,12.795,18.836,19.163,,,,1.62,,,,,,1.62,20.783,39.619001,0.0,293.825989,,,0.0,,-153.080994,140.744995,0.0,140.744995,180.363996,
12/31/1996,177.891006,146.848002,5.671,141.177002,0.0,,,0.0,,,,,7.696,,,154.544006,22.086,30.938,-8.852,0.0,,1.261,,,,1.261,23.347,,1.638,1.638,,5.164,,,,,14.785999,,14.785999,21.587999,16.974001,,,,2.003,,,,,,2.003,18.977001,40.565,0.0,297.114014,,,-1.778,,-158.009994,137.32602,0.0,137.32602,177.89102,
03/31/1997,162.683,119.194001,3.016,116.178001,8.192,,,0.0,,,,,11.844,,,139.229996,22.044001,31.537001,-9.493,0.0,,1.409,,,,1.409,23.453001,,2.868,2.868,,1.499,,,,,14.445,,14.445,18.812,16.861,,,,2.221,,,,,,2.221,19.082,37.894,0.0,299.929993,,,-1.97,,-173.171006,124.788987,0.0,124.788987,162.682987,
06/30/1997,180.298,122.568001,11.64,110.928001,0.0,,,0.0,,,,,32.550999,,,155.119003,21.85,31.981001,-10.131,0.0,,3.329,,,,3.329,25.179,,4.428,4.428,,1.625,,,,,17.432001,,17.432001,23.485001,46.759998,,,,2.399,,,,,,2.399,49.158998,72.643999,0.0,299.822998,,,0.0,,-192.169006,107.653992,0.0,107.653992,180.297991,
09/30/1997,164.97,101.998,15.003,86.995,,,,,,,,,37.989,,,139.987,22.01,,,,,2.973,,,,2.973,24.983,,1.561,1.561,,1.73,,,,,16.76,,16.76,20.051,41.626,,,,2.363,,,,,,2.363,43.989,64.04,,305.258,,,0.0,-204.328,0.0,100.93,,100.93,164.97,
12/31/1997,151.207993,119.470997,10.271,109.199997,0.0,,,0.0,,,,,7.68,,,127.151001,21.853001,32.952,-11.099,0.0,,2.204,,,,2.204,24.057001,,2.724,2.724,,1.734,,,,,16.075001,,16.075001,20.533001,27.587,,,,2.75,,,,,,2.75,30.337,50.870001,0.0,319.027008,,,-0.259,,-218.429995,100.338013,0.0,100.338013,151.208014,
03/31/1998,134.76,84.405,12.58,71.825,,,,,,,,,26.525,,,110.93,21.757,33.377,-11.62,,,2.073,,,,2.073,23.83,,2.978,2.978,,1.448,,,,,13.628,,13.628,18.054,17.972,,,,2.972,,,,,,2.972,20.944,38.998,,328.807,,,,-233.045,0.0,95.762,,95.762,134.76,
06/30/1998,121.224,76.539,19.745,56.794,,,,,,,,,21.832,,,98.371,21.334,33.456,-12.122,,,1.519,,,,1.519,22.853,,2.029,2.029,,1.596,,,,,13.968,,13.968,17.593,15.99,,,,3.151,,,,,,3.151,19.141,36.734,0.0,330.15,,,,-245.66,0.0,84.49,0.0,84.49,121.224,
09/30/1998,108.9,57.924,3.717,54.207,,,,,,,,,28.286,,,86.21,21.163,33.792,-12.629,,,1.527,,,,1.527,22.69,,2.331,2.331,,1.605,,,,,14.862,,14.862,18.798,15.408,,,,3.227,,,,,,3.227,18.635,37.433,,330.996,,,,-259.529,0.0,71.467,,71.467,108.9,
12/31/1998,94.672997,67.345998,3.975,63.370998,0.0,,,0.0,,,,,5.248,,,72.594002,20.504999,33.944,-13.439,0.0,,1.574,,,,1.574,22.078999,,3.558,3.558,,1.624,,,,,13.298,,13.298,18.48,15.096,,,,3.495,,,,,,3.495,18.591,37.070999,0.0,331.960999,,,-0.487,,-273.872009,57.60199,0.0,57.60199,94.672989,
03/31/1999,108.407,59.515,5.118,54.397,1.351,1.351,,0.195,,0.125,0.07,,23.772,,,84.833,20.169,34.075,-13.906,,,3.405,,,,3.405,23.574,,2.677,2.677,,1.64,,,,,17.094,,17.094,21.411,38.503,,,,3.701,,,,,,3.701,42.204,63.615,,338.526,,,,-293.734,0.0,44.792,,44.792,108.407,
06/30/1999,117.354,85.555,15.189,70.366,3.794,3.794,,3.68,3.266,0.274,0.14,,1.311,,,94.34,19.745,34.121,-14.376,,,3.269,,,,3.269,23.014,,6.384,6.384,,1.677,,,,,18.318,,18.318,26.379,38.685,,,,3.851,,,,,,3.851,42.536,68.915,0.0,353.674,,,,-305.235,0.0,48.439,,48.439,117.354,
09/30/1999,245.866,213.348,33.483,179.865,3.432,3.432,,3.724,2.353,1.214,0.157,,2.339,,,222.843,19.881,34.71,-14.829,,,3.142,,,,3.142,23.023,,3.166,3.166,,1.844,,,,,12.814,,12.814,17.824,39.188,,,,4.003,,,,,,4.003,43.191,61.015,0.025,504.58,,,,-319.754,0.0,184.851,,184.851,245.866,
12/31/1999,234.053,201.562,13.152,188.41,5.578,5.578,,4.258,1.57,1.616,1.072,0.0,0.988,,,212.386,20.001,35.193,-15.192,0.0,,1.666,0.0,,,1.666,21.667,,6.221,6.221,,31.906,,,,,19.328,,19.328,57.455,14.034,,,,4.207,,,,,,4.207,18.241,75.696,0.025,506.028,,,-1.29,-347.135,0.729,158.357,0.0,158.357,234.053,
03/31/2000,196.399,155.102,14.281,140.821,5.908,5.908,,11.747,4.694,4.428,2.625,,1.48,,,174.237,20.478,36.087,-15.609,,,1.684,,,,1.684,22.162,,2.969,2.969,,1.879,,,,,15.372,,15.372,20.22,13.519,,,,4.207,,,,,,4.207,17.726,37.946,0.025,518.539,,,-1.323,-358.972,0.184,158.453,,158.453,196.399,
06/30/2000,203.687,150.387,29.01,121.377,11.017,11.017,,14.465,5.489,3.278,5.698,,1.026,,,176.895,24.339,40.369,-16.03,,,2.453,,,,2.453,26.792,,7.365,7.365,,1.977,,,,,19.988,,19.988,29.33,13.486,,,,0.198,,,,,,0.198,13.684,43.014,0.025,529.378,,,-1.48,-368.066,0.816,160.673,,160.673,203.687,
09/30/2000,188.436,127.34,16.3,111.04,13.767,13.767,,16.843,5.327,4.431,7.085,,2.754,,,160.704,26.038,42.512,-16.474,,,1.694,,,,1.694,27.732,,3.227,3.227,,2.043,,,,,18.97,,18.97,24.24,13.514,,,,0.178,,,,,,0.178,13.692,37.932,0.025,532.251,,,-1.48,-382.121,1.829,150.504,,150.504,188.436,
12/31/2000,308.435,97.384,36.571,60.813,21.905,,,20.161,6.401,5.325,8.435,0.0,1.579,,,141.029,29.73,48.635,-18.905,0.0,,137.676,135.794,,,1.882,167.406,,3.59,3.59,,42.95,,,,,34.227,,34.227,80.767,55.138,52.796,2.342,2.342,7.337,,,,,,7.337,62.475,143.242,0.025,683.429,,,-4.119,,-514.142,165.193,0.0,165.193,308.435,
03/31/2001,312.701,94.126,56.18,37.946,23.058,23.058,,26.731,13.762,4.84,8.129,,3.183,,,147.098,30.776,,,,,134.827,132.933,,,1.894,165.603,,3.829,3.829,,43.722,,,,,32.761,,32.761,80.312,55.029,,,,8.232,,,,,,8.232,63.261,143.573,0.025,698.277,,,-4.119,-527.351,2.296,169.128,,169.128,312.701,
06/30/2001,665.945,420.791,120.632,300.159,30.101,30.101,,31.492,14.663,6.922,9.907,,4.341,,,486.725,33.529,,,,,145.691,130.073,,,15.618,179.22,,2.939,2.939,,6.084,,,,,36.311,,36.311,45.334,441.713,,,,7.067,,,,,,7.067,448.78,494.114,0.002,709.056,,,-5.869,-533.653,2.295,171.831,,171.831,665.945,
09/30/2001,688.263,444.384,42.167,402.217,29.873,29.873,,30.096,15.719,6.15,8.227,,5.6,,,509.953,35.66,,,,,142.65,127.609,,,15.041,178.31,,5.01,5.01,,5.702,,,,,35.789,,35.789,46.501,440.482,,,,5.598,,,,,,5.598,446.08,492.581,0.0,711.366,,,-6.093,-512.146,2.555,195.682,,195.682,688.263,
12/31/2001,1389.087,603.884,548.727,55.157,75.192,75.192,,47.513,19.666,7.632,20.215,,7.872,,,734.461,64.706,85.759,-21.053,,,589.92,547.18,248.911,298.269,42.74,654.626,,24.536,24.536,,32.2,,,,,50.194,,50.194,106.93,866.589,,,,16.837,,,,,,16.837,883.426,990.356,,982.672,,,-9.523,-576.691,2.273,398.731,,398.731,1389.087,
03/31/2002,1370.552,594.051,456.023,138.028,78.333,78.333,,44.765,24.494,3.412,16.859,,9.253,,,726.402,66.561,,,,,577.589,541.828,244.357,297.471,35.761,644.15,,15.523,15.523,,21.359,,,,,45.966,,45.966,82.848,872.112,,,,17.07,,,,,,17.07,889.182,972.03,,986.174,,,-9.603,-579.562,1.513,398.522,,398.522,1370.552,
06/30/2002,1407.315,594.7,391.786,202.914,83.211,83.211,,49.173,25.664,5.369,18.14,,11.574,,,738.658,70.872,,,,,597.785,559.549,248.565,310.984,38.236,668.657,,30.781,30.781,,20.646,,,,,40.672,,40.672,92.099,871.422,,,,16.965,,,,,,16.965,888.387,980.486,0.0,988.29,,,-9.803,-565.133,13.475,426.829,,426.829,1407.315,
09/30/2002,1491.884,636.627,491.265,145.362,70.543,70.543,,49.479,24.52,6.754,18.205,,9.686,,,766.335,82.957,,,,,642.592,605.96,300.921,305.039,36.632,725.549,,24.847,24.847,,18.544,,,,,57.118,,57.118,100.509,871.201,,,,69.323,,,,,,69.323,940.524,1041.033,,990.065,,,-9.814,-545.157,15.757,450.851,,450.851,1491.884,
12/31/2002,1689.09,582.688,486.097,96.591,83.13,83.13,,54.299,28.628,2.448,23.223,,65.863,,,785.98,90.066,123.189,-33.123,,,813.044,650.488,298.769,351.719,162.556,903.11,,23.089,23.089,,15.402,,,,,81.156,,81.156,119.647,860.897,,,,65.961,,,,,,65.961,926.858,1046.505,,1034.691,,,-11.989,-405.163,25.046,642.585,,642.585,1689.09,
