Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2004,52905,5195,5195,0,5504,5504,,1913,124.0,48.0,127.0,1614.0,961,,,13573,4481,,,10940,,,23911,19613,8239,11374,,4298,39332,,4410,4410.0,,319,319,0.0,0.0,,2604,,,2604,7333,10860,10860,0.0,0.0,8001,,,,8001,18861,26194,0.0,24369,,,0.0,-1217,0.0,23152,3559,26711,52905,
03/31/2005,55583,5993,5993,0,5016,5016,,1745,124.0,56.0,135.0,1430.0,3028,,,15782,4440,,,740,,,34621,22542,11159,11383,,12079,39801,,4331,4331.0,,918,918,0.0,0.0,,2485,,,2485,7734,10013,10013,0.0,0.0,7864,,,,7864,17877,25611,0.0,30596,,,0.0,-822,0.0,29774,198,29972,55583,
09/30/2005,54860,6450,6450,0,4697,4697,,1742,134.0,54.0,145.0,1409.0,421,,,13310,4452,,,730,,,36368,22669,11723,10946,10352.0,3347,41550,,4735,4735.0,,924,924,0.0,0.0,,2304,,,2304,7963,10100,10100,0.0,0.0,8063,,,,8063,18163,26126,0.0,29621,,,0.0,-1091,0.0,28530,204,28734,54860,
12/31/2005,55441,5243,5243,0,5433,5433,,1917,147.0,42.0,136.0,1592.0,385,,,12978,4454,,,708,,,37301,23356,12167,11189,10414.0,3531,42463,,3956,3956.0,,944,944,0.0,0.0,,2532,,,2532,7432,11260,11260,0.0,0.0,7926,,,,7926,19186,26618,0.0,28890,,,0.0,-291,0.0,28599,224,28823,55441,
03/31/2006,55265,5324,5324,0,4893,4893,,1817,137.0,44.0,131.0,1505.0,368,,,12402,4505,,,703,,,37655,23428,12148,11280,10393.0,3834,42863,,3966,3966.0,,1275,1275,0.0,0.0,,1404,,,1404,6645,11368,11368,0.0,0.0,8496,,,,8496,19864,26509,0.0,28211,,,0.0,303,0.0,28514,242,28756,55265,
06/30/2006,56649,5783,5783,0,5150,5150,,1840,0.0,0.0,0.0,1840.0,350,,,13123,4755,8784.0,-4029.0,593,,,38178,23994,12548,11446,,14184,43526,,4047,4047.0,,42,42,0.0,0.0,,2284,,,2284,6373,11385,11385,0.0,0.0,8736,,,,8736,20121,26494,0.0,28185,,,0.0,1689,0.0,29874,281,30155,56649,
09/30/2006,57586,6292,6292,0,5269,5269,,1903,0.0,0.0,0.0,1903.0,399,,,13863,4869,,,0,,,38854,24017,12603,11414,10845.0,3992,43723,,4385,4385.0,,1090,1090,0.0,0.0,,1475,,,1475,6950,11394,11394,0.0,0.0,8272,,,,8272,19666,26616,0.0,28194,,,,2501,0.0,30695,275,30970,57586,
12/31/2006,59173,5438,5438,0,6339,6339,,2241,0.0,0.0,0.0,2241.0,396,,,14414,5128,,,492,,,39139,24327,12829,11498,11255.0,3557,44759,,4480,4480.0,,1268,1268,0.0,0.0,,1422,,,1422,7170,11431,11431,0.0,0.0,8389,,,,8389,19820,26990,0.0,28322,,,0.0,3572,0.0,31894,289,32183,59173,
03/31/2007,61614,7246,7246,0,6047,6047,,2264,0.0,0.0,0.0,2264.0,404,,,15961,5280,,,485,,,39888,24887,13361,11526,11407.0,3594,45653,,4683,4683.0,,362,362,0.0,0.0,,2776,,,2776,7821,12112,12112,0.0,0.0,9030,,,,9030,21142,28963,0.0,27813,,,0.0,4425,0.0,32238,413,32651,61614,
06/30/2007,62343,7654,7654,0,5842,5842,,2039,0.0,0.0,0.0,2039.0,371,,,15906,5617,10455.0,-4838.0,437,,,40383,25522,13819,11703,11413.0,3448,46437,,4545,4545.0,,355,355,0.0,0.0,,2594,,,2594,7494,12147,12147,0.0,0.0,9218,,,,9218,21365,28859,0.0,27364,,,0.0,5558,0.0,32922,562,33484,62343,
09/30/2007,64492,8118,8118,0,6480,6480,,2422,0.0,0.0,0.0,2422.0,534,,,17554,5839,,,0,,,41099,26037,14192,11845,10977.0,4085,46938,,5355,5355.0,,385,385,0.0,0.0,,3079,,,3079,8819,12148,12148,0.0,0.0,9196,,,,9196,21344,30163,0.0,27284,,,0.0,6357,0.0,33641,688,34329,64492,
12/31/2007,68916,3495,3495,0,7489,7489,,2719,0.0,0.0,0.0,2719.0,625,,,14328,6585,,,0,,,48003,32292,18294,13998,10959.0,4752,54588,,5567,5567.0,,836,836,0.0,0.0,,3175,,,3175,9578,13213,13213,0.0,0.0,10334,,,,10334,23547,33125,0.0,27431,,,0.0,7321,0.0,34752,1039,35791,68916,
03/31/2008,61920,3244,3244,0,7592,7592,,2437,0.0,0.0,0.0,2437.0,533,,,13806,6726,,,0,,,41388,32641,18380,14261,3988.0,4759,48114,,6187,6187.0,,289,289,0.0,0.0,,3544,,,3544,10020,13208,13208,0.0,0.0,10210,,,,10210,23418,33438,0.0,17315,,,0.0,10121,0.0,27436,1046,28482,61920,
06/30/2008,62308,4662,4662,0,6985,6985,,2255,0.0,0.0,0.0,2255.0,460,,,14362,7021,12981.0,-5960.0,464,,,40461,33080,18620,14460,,7381,47946,,5695,5695.0,,281,281,0.0,0.0,,3206,,,3206,9182,13230,13230,0.0,0.0,10279,,,,10279,23509,32691,0.0,17240,,,0.0,11383,0.0,28623,994,29617,62308,
09/30/2008,61191,5500,5500,0,6804,6804,,2420,,,,,576,,576.0,15300,6552,,,3097,2667.0,430.0,36242,31938,18160,13778,,4304,45891,,5928,,5928.0,290,290,,,,3251,,7.0,2298,9469,13199,13199,,,9687,,,5207.0,4473,22886,32355,,17227,26.0,17201.0,,10593,,27820,1016,28836,61191,
