Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Inventories,Other Current Assets,Total Current Assets,Net Fixed Assets,Gross Fixed Assets,Accumulated Depreciation,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,Short-Term Borrowings,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,10.109,0,82.051003,20.396999,4.138,116.695,36.426998,,,4.871,41.297998,157.992996,,5.893,1.122,32.500999,39.515999,0.0,0.0,0.0,39.515999,0.0,0,109.261002,9.216,118.477001,157.993,
06/30/1990,,8.762,0,87.705002,19.316999,4.845,120.628998,38.415001,,,4.839,43.254001,163.882996,,6.184,1.151,32.212002,39.547001,0.0,0.0,0.0,39.547001,0.0,0,108.841003,15.495,124.336003,163.883004,
09/30/1990,,10.814,0,89.998001,20.973,5.28,127.065002,39.929001,,,2.555,42.484001,169.548996,,7.406,0.0,32.682999,40.089001,0.0,0.0,0.0,40.089001,0.0,0,109.078003,20.382,129.460003,169.549004,
12/31/1990,,23.818001,0,83.144997,22.712999,2.601,132.276993,43.098999,122.911003,-79.811996,6.197,49.295999,181.572998,,16.812,0.0,28.488001,45.299999,0.0,1.77,1.77,47.069999,0.0,0,109.120003,25.382999,134.503002,181.573001,
03/31/1991,,20.563,0,72.674004,31.559999,1.671,126.468002,42.188,,,5.453,47.641,174.108994,,11.017,0.0,23.739,34.756001,0.0,1.77,1.77,36.526,0.0,0,109.332001,28.250999,137.583,174.109001,
06/30/1991,,19.475,0,85.210999,33.015999,3.909,141.610992,43.222,,,7.528,50.75,192.360992,,16.646999,0.0,31.816999,48.464001,0.0,1.77,1.77,50.234001,0.0,0,109.332001,32.794998,142.126999,192.361,
09/30/1991,,10.766,0,103.662003,29.587,2.878,146.893005,45.702,,,8.837,54.539,201.432007,,20.834,0.0,30.118,50.952,0.0,1.77,1.77,52.722,0.0,0,109.672997,39.036999,148.709995,201.431995,
12/31/1991,,12.066,0,247.852005,67.263,10.494,337.674988,86.045998,170.145004,-84.098999,136.445999,222.491997,560.166992,,40.393002,21.4,117.564003,179.356995,50.583,58.032001,108.615002,287.971996,57.5,0,167.623001,47.071999,272.195,560.166996,
03/29/1992,,13.989,0,239.953003,78.188004,18.794001,350.924011,87.502998,,,136.108002,223.611,574.534973,,41.793999,31.701,116.835999,190.330994,50.583,58.629002,109.212002,299.542995,57.5,0,167.712006,49.779999,274.992004,574.535,
06/28/1992,,39.444,0,256.760986,72.496002,16.281,384.981995,87.664001,,,135.522995,223.186996,608.169006,,40.346001,19.441,115.573997,175.360992,68.498001,56.5,124.998001,300.358994,0.0,0,250.638,57.172001,307.810001,608.168995,
