Date,Net Premium Earned (Non-Life & Life),Capital Gains (Losses),Total Investment Income,Other Operating Income,Revenue,Insurance Claims & Charges,Underwriting Costs,Other Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/2000,1991.0,-59.0,548.0,91.0,2571.0,-1496.0,-646.0,0.0,429.0,,0.0,429.0,-110.0,319.0,0.0,-49.0,270.0,0,0,270.0,0.0,0,270.0,0.4,0.35,0.35,769.0,0.4,0.35,0.35,769.0,
06/30/2000,2041.0,5.0,554.0,106.0,2706.0,-1569.0,-682.0,0.0,455.0,,0.0,455.0,-117.0,338.0,0.0,-11.0,327.0,0,0,327.0,0.0,0,327.0,0.43,0.43,0.43,769.0,0.43,0.43,0.43,769.0,
09/30/2000,2194.0,36.0,530.0,104.0,2864.0,-1702.0,-652.0,0.0,510.0,,0.0,510.0,-139.0,371.0,0.0,0.0,371.0,0,0,371.0,0.0,0,371.0,0.45,0.48,0.48,769.0,0.45,0.48,0.48,769.0,
12/31/2000,2238.0,65.0,528.0,98.0,2929.0,-1706.0,-753.0,0.0,470.0,,0.0,470.0,-126.0,344.0,0.0,0.0,344.0,0,0,344.0,0.0,0,344.0,0.39,0.45,0.45,769.0,0.39,0.45,0.45,769.0,
03/31/2001,2232.0,193.0,528.0,105.0,3058.0,-1625.0,-699.0,0.0,734.0,-66.0,0.0,668.0,-194.0,474.0,4.0,0.0,478.0,0,0,478.0,0.0,0,474.0,0.45,0.61,0.62,769.0,0.45,0.61,0.62,769.0,
06/30/2001,2291.0,50.0,518.0,124.0,2983.0,-1757.0,-702.0,0.0,524.0,-52.0,-2.0,470.0,-125.0,345.0,-1.0,0.0,344.0,0,0,344.0,2.0,0,347.0,0.41,0.45,0.45,769.0,0.41,0.45,0.45,769.0,
09/30/2001,2314.0,96.0,488.0,114.0,3012.0,-2429.0,-690.0,0.0,-107.0,-46.0,0.0,-153.0,93.0,-60.0,0.0,0.0,-60.0,0,0,-60.0,0.0,0,-60.0,-0.16,-0.08,-0.08,769.0,-0.16,-0.08,-0.08,769.0,
12/31/2001,2574.0,-16.0,500.0,120.0,3178.0,-1954.0,-777.294006,0.0,446.705994,-41.0,-1.706,403.999994,-101.0,303.0,0.0,0.0,303.0,0,0,303.0,1.8,0,304.799994,0.41,0.39,0.39,769.0,0.41,0.39,0.39,769.0,
03/31/2002,2584.600098,28.799999,487.799988,131.5,3232.699951,-1986.099976,-756.5,0.0,490.100006,-35.799999,0.0,454.300007,-109.599998,344.700012,-242.600006,0.0,102.099998,0,0,102.099998,0.0,0,344.700008,0.41,0.43,0.13,794.700012,0.41,0.43,0.13,794.700012,
06/30/2002,2756.699951,-36.0,464.799988,134.300003,3319.800049,-2094.300049,-750.5,0.0,475.0,-39.799999,0.0,435.200001,-103.199997,332.0,0.0,0.0,332.0,0,0,332.0,0.0,0,332.000004,0.36,0.33,0.33,1000.0,0.36,0.33,0.33,1000.0,
09/30/2002,2875.300049,-51.299999,440.700012,299.200012,3563.899902,-2370.0,-750.5,-63.400002,380.0,-40.400002,0.0,339.599998,-6.0,333.600006,0.0,-1.3,332.299988,0,0,332.299988,0.0,0,332.299999,0.36,0.33,0.33,1000.0,0.36,0.33,0.33,1002.0,
12/31/2002,2939.399902,205.199997,487.0,521.5,4153.100098,-4688.399902,-911.200012,0.0,-1446.5,-40.599998,-1.6,-1488.699998,695.099976,-793.599976,0.0,0.2,-793.400024,0,0,-793.400024,1.6,0,-791.800023,-0.92,-0.79,-0.79,1000.400024,-0.92,-0.79,-0.79,1005.299988,
03/31/2003,2978.600098,6.5,455.899994,162.0,3603.0,-2287.899902,-774.400024,-81.699997,459.0,-51.700001,0.0,407.299999,-89.800003,317.5,0.0,22.5,340.0,0,0,340.0,0.0,0,339.999996,0.34,0.34,0.34,1002.5,0.34,0.34,0.34,1007.599976,
06/30/2003,3100.399902,16.1,455.899994,176.300003,3748.699951,-2211.0,-750.0,-146.699997,641.0,-40.299999,0.0,600.700001,-155.100006,445.600006,0.0,-4.4,441.200012,0,0,441.200012,0.0,0,441.199995,0.43,0.44,0.44,1002.299988,0.43,0.44,0.44,1007.700012,
09/30/2003,3149.199951,-23.299999,457.899994,161.699997,3745.5,-2236.5,-828.200012,-82.0,598.799988,-38.099998,0.0,560.699989,-131.600006,429.100006,0.0,-3.0,426.100006,0,0,426.100006,0.0,0,426.099983,0.44,0.43,0.43,1002.099976,0.44,0.42,0.42,1007.599976,
12/31/2003,3317.199951,38.700001,499.100006,187.0,4042.0,-2383.0,-875.700012,-86.300003,697.0,-36.299999,0.0,660.700001,-160.899994,499.799988,0.0,-11.1,488.700012,0,0,488.700012,0.0,0,488.700007,0.46,0.49,0.49,1001.0,0.46,0.49,0.49,1006.5,
