Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Revenue from Water,Other Revenue,Intracompany Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,759.663025,648.78302,,,,107.248001,,0.0,3.632,,-270.477997,202.639999,202.639999,,67.837997,,,489.185028,-360.880005,67.539001,86.512001,67.097,139.731995,128.304993,-47.367,,,1.094,,44.368999,46.070999,-1.702,,4.092,80.937993,-32.844002,48.094002,0.0,,,48.093991,0.0,48.094002,-3.117,,44.977002,44.977002,,137.214996,0.328,0.328,0.378,137.214996,0.328,0.328,0.378,
06/30/1997,791.820984,752.223022,,,,36.646,,0.0,2.952,,-223.875,199.757004,199.757004,,24.118,,,567.945984,-378.368988,84.367996,86.449997,65.434998,142.115997,189.576996,-49.672,,,0.88,,45.625,47.349998,-1.725,,4.927,139.904996,-57.084999,82.82,0.0,,,82.819997,0.0,82.82,-3.134,,79.686,79.686,,137.214996,0.581,0.581,0.611,137.214996,0.581,0.581,0.611,
09/30/1997,1043.136963,1015.945007,,,,24.004999,,0.0,3.187,,-250.852997,235.899994,235.899994,,14.953,,,792.283966,-385.38501,67.888,85.904999,79.373001,152.218994,406.898987,-50.526001,,,1.421,,45.825001,47.841,-2.016,,6.122,356.372986,-137.806,218.567001,0.0,,,218.566986,0.0,218.567001,-3.144,,215.423001,215.423001,,137.214996,1.57,1.57,1.57,137.214996,1.57,1.57,1.57,
12/31/1997,731.921997,647.226013,,,,81.916,,0.0,2.78,,-251.917999,198.147995,198.147995,,53.77,,,480.003998,-388.532013,90.445999,87.133003,59.806,151.147003,91.472,-35.441002,,,1.849,,42.087002,44.105999,-2.019,,-4.797,56.030998,-6.444,49.587002,51.82,,,-2.233001,0.0,-2.233,-3.137,,-5.37,-5.37,,137.214996,-0.039,0.339,0.209,137.214996,-0.039,0.339,0.209,
03/31/1998,700.809998,606.099976,,,,92.337997,,0.0,2.372,,-217.108994,164.904999,164.904999,,52.203999,,,483.701004,-363.358002,65.002998,86.853996,64.746002,146.755005,120.343002,-47.317001,,,1.063,,45.234001,47.494999,-2.261,,3.146,73.026001,-29.910999,43.115002,0.0,,,43.115002,0.0,43.115002,-3.188,,39.927002,39.927002,,137.214996,0.291,0.291,0.331,137.214996,0.291,0.291,0.331,
06/30/1998,821.776978,780.807983,,,,39.277,,0.0,1.692,,-230.264008,207.179001,207.179001,,23.084999,,,591.51297,-404.557007,92.424004,86.060997,70.934998,155.136002,186.955994,-41.440002,,,1.204,,41.004002,42.731998,-1.728,,1.64,145.515992,-58.798,86.718002,0.0,,,86.717992,0.0,86.718002,-3.086,,83.632002,83.632002,,137.214996,0.609,0.609,0.879,137.214996,0.609,0.609,0.879,
09/30/1998,1117.118042,1090.06897,,,,25.718,,0.0,1.331,,-261.07901,248.085999,248.085999,,12.993,,,856.039032,-418.806,66.977997,86.160004,78.214996,187.453003,437.233002,-43.855001,,,1.148,,44.512001,46.070999,-1.559,,0.491,393.378001,-153.580994,239.796997,0.0,,,239.797007,0.0,239.796997,-3.14,,236.656997,236.656997,,137.214996,1.73,1.73,1.84,137.214996,1.73,1.73,1.84,
12/31/1998,678.502991,617.234009,,,,59.348,,0.0,1.921,,-190.516998,159.953003,159.953003,,30.563999,,,487.985992,-393.623993,87.605003,89.328003,58.877998,157.813004,94.362,-39.550001,,,1.586,,43.804001,45.282001,-1.478,,-2.668,54.811999,-25.382999,29.429001,0.0,,,29.428999,0.0,29.429001,-3.148,,26.281001,26.281001,,137.214996,0.192,0.192,0.192,137.214996,0.192,0.192,0.192,
03/31/1999,735.901978,636.330017,,,,97.449997,,0.0,2.122,,-240.044998,184.994995,184.994995,,55.049999,,,495.856979,-360.940002,72.309998,89.473999,59.916,139.240005,134.917007,-42.156002,,,2.662,,42.553001,44.415001,-1.862,,2.265,92.761006,-35.23,57.530998,0.0,,,57.531006,0.0,57.530998,-3.172,,54.358998,54.358998,,137.214996,0.4,0.4,0.4,137.214996,0.4,0.4,0.4,
06/30/1999,859.883972,823.768982,,,,34.474998,,0.0,1.64,,-256.182007,237.873001,237.873001,,18.309,,,603.701965,-411.408997,98.829002,87.167999,61.193001,164.218994,192.292999,-40.871001,,,2.226,,41.428001,43.632999,-2.205,,1.669,151.421998,-61.780998,89.640999,0.0,,,89.641,0.0,89.640999,-3.122,,86.518999,86.518999,,137.214996,0.63,0.63,0.63,137.214996,0.63,0.63,0.63,
