Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106,,,0.106,0.106,,4.462,0.025,0.025,,4.462,0.025,0.025,0.025,
06/30/1990,6.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.746,,,0.746,0.746,,9.904,0.075,0.075,,9.904,0.075,0.075,0.075,
09/30/1990,12.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.629,,,0.629,0.629,,18.408001,0.035,0.035,,18.408001,0.035,0.035,0.035,
12/31/1990,82.246002,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.395,,,-1.395,-1.395,,18.336,-0.076134,-0.075,,18.336,-0.076134,-0.075,-0.075,
03/31/1991,21.34,,,,-15.055,,6.285,,-5.673,,,,,0.612,-0.508,,0.842,,,-0.334,0.104,-0.042,0.062,-0.808,,,0.87,0.0,0.87,0.0,,0.87,0.87,,29.094,0.03,0.03,0.03,29.094,0.03,0.03,0.03,
06/30/1991,25.417,,,,-17.059,,8.358,,-5.19,,,,,3.168,-1.948,,0.923,,,1.025,1.22,-0.488,0.732,2.619,,,-1.887,0.0,-1.887,0.0,,-1.887,-1.887,,32.236,-0.07,0.01,,32.236,-0.07,0.01,0.01,
09/30/1991,29.509001,,,,-19.254,,10.255001,,-5.173,,,,,5.082,-0.367,,0.683,,,-0.316,4.715,-1.992,2.723,-0.185,,,2.908,0.0,2.908,0.0,,2.908,2.908,,58.925999,0.06,0.055,,58.925999,0.06,0.055,0.055,
12/31/1991,28.85,,,,-20.427,,8.423,,-5.112,,,,,3.311,-0.361,,0.71,,0.0,-0.349,2.95,-1.151,1.799,-0.324,,,2.123,0.0,2.123,0.0,,2.123,2.123,,47.029999,0.04,0.035,,47.029999,0.04,0.035,0.035,
03/31/1992,25.436001,,,,-17.854,,7.582001,,-5.63,,,,,1.952,-2.225,,0.569,,,1.656,-0.273,0.101,-0.172,20.227,,,-20.399,0.0,-20.399,0.0,,-20.399,-20.399,,49.424,-0.415,-0.005,,49.424,-0.415,-0.005,-0.005,
06/30/1992,28.184999,,,,-19.684,,8.500999,,-5.392,,,,,3.109,0.693,,0.47,,,-1.163,3.802,-1.331,2.471,0.0,,,2.471,0.0,2.471,0.0,,2.471,2.471,,51.549999,0.05,0.05,,51.549999,0.05,0.05,0.05,
