Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
04/01/1990,198,124,88,51,,,51,-65,,,,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,
07/01/1990,289,-240,90,-99,,,-99,538,,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,,,
10/01/1990,36,68,86,-125,,,-125,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,
12/31/1990,125,-530,106,-47,,,-47,596,,,,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,
04/01/1991,63,57,75,51,,,51,-120,,,,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,
07/01/1991,361,211,32,-145,,,-145,263,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.0,,,
09/30/1991,131,71,66,-340,,,-340,334,,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,
12/31/1991,54,166,-33,359,,,359,-438,,,,-438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,
03/30/1992,149,435,17,-241,,,-241,-62,,,,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,
06/29/1992,173,86,14,-92,,,-92,165,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,,,
09/28/1992,154,120,11,97,,,97,-74,,,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,,,
12/31/1992,31,174,15,-34,,,-34,-124,,,,-124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,
04/03/1993,-107,687,13,-778,,,-778,-29,,,,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107.0,,,
06/30/1993,-10,61,15,-152,,,-152,66,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,,,
09/30/1993,-49,73,9,-56,,,-56,-75,,,,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.0,,,
12/31/1993,18,64,19,-97,,,-97,32,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,
03/31/1994,-45,55,9,19,,,19,-128,,,,-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45.0,,,
06/30/1994,-164,71,20,34,,,34,-289,,,,-289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-164.0,,,
09/30/1994,-219,54,30,-35,,,-35,-373,,,,-373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-219.0,,,
12/31/1994,567,181,0,-2,,,-2,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.0,,,
03/31/1995,172,60,8,13,,,13,91,,,,91,,-5.0,-5.0,,,,-5.0,,,,,,,,,,0.0,,,,,,,,,,,,167.0,,,
06/30/1995,-157,82,9,-16,,,-16,-232,,,,-232,,-9.0,-9.0,,,,-9.0,,,,,,,,,,0.0,,,,,,,,,,,,-166.0,,,
09/30/1995,110,91,9,-9,,,-9,19,,,,19,,-8.0,-8.0,,,,-8.0,,,,,,,,,,0.0,,,,,,,,,,,,102.0,,,
12/31/1995,105,88,12,7,,,7,-2,,,,-2,,-10.0,-10.0,,,,-10.0,,,,,,,,,,0.0,,,,,,,,,,,,95.0,,,
03/31/1996,77,65,13,-69,,,-69,68,,,,68,,,-10.0,,,,-10.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,
06/30/1996,623,67,16,-14,,,-14,554,,,,554,,,-29.0,,,,-29.0,,,,,,,,,,29.0,,,,,,,,,,,,,,,
09/29/1996,-148,68,20,-29,,,-29,-207,,,,-207,,,-10.0,,,,-10.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,
12/31/1996,484,70,18,-14,,,-14,410,,,,410,,-26.0,-26.0,,,,-26.0,,,,,,,,,,0.0,,,,,,,,,,,,458.0,,,
03/30/1997,12,71,21,-40,,,-40,-40,,,,-40,,-413.0,-10.0,0.0,,,-10.0,,,0.0,0.0,0.0,,,,,-403.0,-50.0,-26.0,-3.0,,,,-26.0,0.0,-26.0,5.0,,-451.0,,,
06/29/1997,44,80,22,11,,,11,-69,,,,-69,,140.0,-27.0,0.0,,,-27.0,,,0.0,0.0,0.0,,,,,167.0,-44.0,-25.0,-5.0,,,,-34.0,0.0,-34.0,20.0,,140.0,,,
09/28/1997,-121,82,21,0,,,0,-224,,,,-224,,145.0,-6.0,7.0,,,-13.0,,,0.0,0.0,0.0,,,,,151.0,-27.0,-26.0,-4.0,,,,28.0,28.0,0.0,-25.0,,-3.0,,,
12/31/1997,622,83,27,-22,,,-22,534,,,,534,,-680.0,-6.0,27.0,,,-33.0,,,0.0,0.0,0.0,,,,,-674.0,192.0,-25.0,215.0,,,,2.0,2.0,0.0,0.0,,134.0,,,
03/29/1998,16,122,31,-53,,,-53,-84,,,,-84,,-81.0,-45.0,0.0,,,-45.0,,,0.0,0.0,0.0,,,,,-36.0,-27.0,-26.0,-3.0,,,,0.0,0.0,0.0,2.0,,-92.0,7.0,1.0,
06/28/1998,37,148,30,-59,,,-59,-82,,,,-82,,-7.0,-5.0,15.0,,,-20.0,,,0.0,0.0,0.0,,,,,-2.0,-136.0,-27.0,-115.0,,,,10.0,10.0,0.0,-4.0,,-106.0,,,
