Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,13.449,27.208,1.85,-21.358,21.149,,,,,
06/30/1990,,14.84,29.790001,1.899,13.703,60.231998,,,,,
09/30/1990,,19.177999,33.056999,1.924,-38.367001,15.792,,,,,
12/31/1990,,21.187,34.050999,1.976,59.175999,116.389999,,,116.389999,,
03/31/1991,,15.895,39.797001,2.001,48.070999,105.764,,,,,
06/30/1991,,21.405001,43.910999,2.054,-109.692001,-42.321999,,,,,
09/30/1991,,27.353001,50.888,2.075,13.92,94.236,,,,,
12/31/1991,,29.028,54.618999,2.137,50.279999,136.063995,,,136.063995,,
03/31/1992,,25.679001,59.694,2.164,-61.93,25.607,,,,,
06/30/1992,,29.969,65.093002,2.221,-70.239998,27.042999,,,,,
09/30/1992,,41.277,68.697998,0.87,36.501999,147.347,,,,,
12/31/1992,,51.345001,113.344002,20.422001,65.678001,250.787994,,,250.787994,,
03/31/1993,,44.686001,89.496002,0.488,-70.720001,63.950001,,,,,
06/30/1993,,47.966,96.577003,4.228,-38.875,109.896004,,,,,
09/30/1993,,69.698997,130.938004,-17.781,-67.956001,114.900002,,,,,
12/31/1993,,87.092003,105.449997,-13.988,89.487999,268.041992,,,,,
03/31/1994,,72.593002,157.403,-53.481998,-144.662994,31.851,,,,,
06/30/1994,,63.000999,77.601997,25.796,-55.777,110.622002,,,,,
