Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,816.0,355.299988,596.599976,13.8,,13.8,-149.699997,,,-149.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,681.700012,362.799988,598.900024,0.1,,0.1,-280.100006,,,-280.100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,794.099976,358.399994,589.900024,-188.699997,,-188.699997,34.5,,,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,1243.300049,236.0,591.799988,233.0,,233.0,182.5,,,182.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243.300049,,,
03/31/1991,774.200012,-1209.400024,560.599976,1658.0,,1658.0,-235.0,,,-235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,840.900024,306.700012,582.599976,121.300003,,121.300003,-169.699997,,,-169.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,978.599976,331.5,580.599976,17.9,,17.9,48.599998,,,48.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,1124.900024,228.800003,615.0,-173.899994,,-173.899994,455.0,,,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.900024,,,
03/31/1992,834.599976,358.5,591.599976,115.900002,,115.900002,-231.399994,,,-231.399994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,824.200012,278.200012,615.299988,148.600006,,148.600006,-217.899994,,,-217.899994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,1192.300049,386.600006,613.299988,104.199997,,104.199997,88.199997,,,88.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,1078.599976,297.399994,597.200012,-77.200004,,-77.200004,261.200012,,,261.200012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.599976,,,
03/31/1993,1062.0,414.200012,600.099976,-64.199997,,-64.199997,111.900002,,,111.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,798.400024,362.600006,638.099976,4.0,,4.0,-206.300003,,,-206.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,1164.400024,378.5,657.099976,12.3,,12.3,116.5,,,116.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,1209.199951,248.100006,649.799988,129.199997,,129.199997,182.100006,,,182.100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.199951,,,
03/31/1994,670.299988,389.200012,648.599976,-15.9,,-15.9,-351.600006,,,-351.600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,862.299988,415.399994,649.099976,-41.400002,,-41.400002,-160.800003,,,-160.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,1012.200012,-1874.300049,674.700012,2177.399902,,2177.399902,34.400002,,,34.400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,1207.800049,314.899994,679.700012,-29.6,,-29.6,242.800003,,,242.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207.800049,,,
03/31/1995,1037.099976,414.5,667.700012,30.299999,,30.299999,-75.400002,,,-75.400002,,,-808.900024,,,,-808.900024,,,,,,,,,,808.900024,,,,,,,,,,,,,,,
06/30/1995,800.599976,447.100006,681.700012,6.0,,6.0,-334.200012,,,-334.200012,,,-713.700012,,,,-713.700012,,,,,,,,,,713.700012,,,,,,,,,,,,,,,
09/30/1995,1078.5,604.799988,642.5,-189.199997,,-189.199997,20.4,,,20.4,,,-606.700012,,,,-606.700012,,,,,,,,,,606.700012,,,,,,,,,,,,,,,
12/31/1995,1064.800049,391.899994,635.200012,-60.799999,,-60.799999,98.5,,,98.5,,,-497.899994,,,,-497.899994,,,,,,,,,,497.899994,,,,,,,,,,,,,,,
03/31/1996,1170.0,963.099976,628.900024,-523.700012,,-523.700012,101.699997,,,101.699997,,,-459.399994,0.0,,,-459.399994,,,,,,,,,,459.399994,,,,,,,,,,,,,,,
06/30/1996,714.200012,829.799988,638.799988,-410.100006,,-410.100006,-344.299988,,,-344.299988,,,-513.200012,0.0,,,-513.200012,,,,,,,,,,513.200012,,,,,,,,,,,,,,,
09/30/1996,4215.5,871.799988,2760.100098,803.799988,,803.799988,-220.199997,,,-220.199997,,,-3171.2,5.8,,,-3177.0,,,,,,,,,,3171.2,,,,,,,,,,,,,,,
12/31/1996,2681.100098,737.299988,1351.199951,437.899994,,437.899994,154.699997,,,154.699997,,,-2235.500097,9.6,,,-2245.100098,,,,,,,,,,2235.500097,,,,,,,,,,,,,,,
03/31/1997,1963.5,698.200012,1371.300049,158.699997,,158.699997,-264.700012,,,-264.700012,,-1693.900024,-1447.699951,0.5,,,-1448.199951,,,0.0,0.0,0.0,,,,,-246.200073,-261.300064,-574.900024,702.999977,,,,-39.200005,126.900002,-166.100006,-350.200012,,8.3,,,
06/30/1997,1852.599976,896.799988,1363.800049,60.200001,,60.200001,-468.200012,,,-468.200012,,-1432.900024,-1601.899975,24.700001,,,-1626.599976,,,0.0,0.0,0.0,,,,,168.99995,-491.500023,-583.700012,125.099983,,,,-40.899994,183.600006,-224.5,8.0,,-71.800003,,,
09/30/1997,4057.800049,-80.099998,3102.699951,850.5,,850.5,184.699997,,,184.699997,,-3641.699951,-3666.599951,1.1,,,-3667.699951,,,-7.4,7.5,-14.9,,,,,32.3,-301.100006,-1129.199951,1124.599945,,,,-28.399994,377.399994,-405.799988,-268.100006,,115.0,,,
