Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1993,32.534,21.179001,21.179001,0.0,4.03,,,0.0,,,,,5.277,,,,,30.486,0.252,,,0.0,,1.796,,,,1.796,2.048,,0.14,0.14,,,,0.0,,,,15.999999,,,15.999999,16.139999,0.0,,,,4.355,,4.355,4.355,20.494999,0.0,2.548,,,0.0,,9.491,12.039,0.0,12.039,32.534,
06/30/1993,35.727001,23.547001,23.547001,0.0,4.464,,,0.0,,,,,5.488,,,,,33.499001,0.327,,,0.0,,1.901,,,,1.901,2.228,,0.106,0.106,,,,0.0,,,,16.97,,,16.97,17.076,0.0,,,,4.571,,4.571,4.571,21.647,0.0,2.628,,,0.0,,11.452,14.08,0.0,14.08,35.727,
09/30/1993,39.632999,26.268,26.268,0.0,5.207,,,0.0,,,,,5.71,,,,,37.185001,0.467,,,0.0,,1.981,,,,1.981,2.448,,0.109,0.109,,,,0.0,,,,18.829999,,,18.829999,18.938999,0.0,,,,4.749,,4.749,4.749,23.687999,0.0,2.629,,,0.0,,13.316,15.945,0.0,15.945,39.632999,
12/31/1993,39.074001,27.695,10.695,17.0,6.455,,,0.0,,,,,3.108,,,,,37.257999,0.549,0.777,-0.228,0.0,,1.267,,,,1.267,1.816,,0.078,0.078,,,,0.0,,,,15.618,,,15.618,15.696,0.0,,,,5.015,,5.015,5.015,20.711,0.0,3.181,,,0.0,,15.182,18.363,0.0,18.363,39.074,
03/31/1994,41.263,20.319,8.88,11.439,10.13,,,0.0,,,,,3.42,,,,,33.868999,1.001,,,0.0,,6.393,,,,6.393,7.394,,0.682,0.682,,,,0.0,,,,18.801999,,,18.801999,19.483999,0.0,,,,5.637,,5.637,5.637,25.120999,0.0,3.417,,,0.0,,12.725,16.142,0.0,16.142,41.263,
06/30/1994,44.594002,18.998,11.367,7.631,10.119,,,0.0,,,,,4.069,,,,,33.186001,1.017,,,0.0,,10.391,,,,10.391,11.408,,0.924,0.924,,,,0.0,,,,22.524999,,,22.524999,23.448999,0.0,,,,6.376,,6.376,6.376,29.824999,0.0,3.42,,,0.0,,11.349,14.769,0.0,14.769,44.593999,
09/30/1994,48.476002,21.812001,17.766001,4.046,11.606,,,0.0,,,,,3.883,,,,,37.300999,1.102,,,0.0,,10.073,,,,10.073,11.175,,0.421,0.421,,,,0.0,,,,22.815,,,22.815,23.236,0.0,,,,7.545,,7.545,7.545,30.781,0.0,3.903,,,0.0,,13.792,17.695,0.0,17.695,48.476,
12/31/1994,73.757004,35.490999,20.448999,15.042,16.558001,,,0.0,,,,,7.728,,,,,59.777,3.255,5.21,-1.955,0.0,,10.725,,,,10.725,13.98,,0.96,0.96,,,,0.0,,,,27.223001,,,27.223001,28.183001,0.0,,,,8.663,,8.663,8.663,36.846001,0.0,19.643,,,0.0,,17.268,36.911,0.0,36.911,73.757001,
03/31/1995,66.112999,36.144,26.372,9.772,12.512,,,0.0,,,,,6.054,,,,,54.709999,1.279,,,0.0,,10.124,,,,10.124,11.403,,0.522,0.522,,,,0.0,,,,27.452001,,,27.452001,27.974001,0.0,,,,9.942,,9.942,9.942,37.916001,0.0,8.472,,,0.0,,19.725,28.197001,0.0,28.197001,66.113002,
06/30/1995,74.742996,39.778,29.66,10.118,14.426,,,0.0,,,,,8.596,,,,,62.799999,1.304,,,0.0,,10.639,,,,10.639,11.943,,0.0,0.0,,,,0.0,,,,30.472,,,30.472,30.472,0.0,,,,10.973,,10.973,10.973,41.445,0.0,9.912,,,0.0,,23.386,33.297999,0.0,33.297999,74.742999,
09/30/1995,94.803001,58.146999,34.432999,23.714001,14.282,,,0.0,,,,,7.867,,,,,80.295998,3.366,,,0.0,,11.141,,,,11.141,14.507,,2.417,2.417,,,,0.0,,,,35.406002,,,35.406002,37.823002,0.0,,,,7.436,,7.436,7.436,45.259002,0.0,24.655001,,,0.0,,24.889,49.544001,0.0,49.544001,94.803002,
12/31/1995,104.019997,55.357001,30.299,25.058001,20.892,,,0.0,,,,,14.436,,,,,90.684998,3.399,6.818,-3.419,0.0,,9.936,,,,9.936,13.335,,2.214,2.214,,,,0.0,,,,33.639001,,,33.639001,35.853001,0.0,,,,4.625,,4.625,4.625,40.478001,0.0,31.35,,,0.0,,32.192001,63.542001,0.0,63.542001,104.020002,
03/31/1996,112.096001,68.158001,43.5,24.658001,20.476,,,0.0,,,,,9.257,,,,,97.890999,4.047,,,0.0,,10.158,,,,10.158,14.205,,4.656,4.656,,,,0.0,,,,32.640001,,,32.640001,37.296001,0.0,,,,2.73,,2.73,2.73,40.026001,0.0,38.816002,,,0.0,,33.254002,72.070004,0.0,72.070004,112.096005,
06/30/1996,128.367996,90.616001,49.499001,41.117001,17.044001,,,0.0,,,,,5.459,,,,,113.119003,5.09,,,0.0,,10.159,,,,10.159,15.249001,,3.735,3.735,,,,0.0,,,,32.892998,,,32.892998,36.627998,0.0,,,,2.119,,2.119,2.119,38.746998,0.0,46.967999,,,0.0,,42.653,89.620998,0.0,89.620998,128.367997,
09/30/1996,158.641998,113.842003,68.246002,45.596001,19.355,,,0.0,,,,,10.348,,,,,143.544998,6.063,,,0.0,,9.034,,,,9.034,15.097001,,3.951,3.951,,,,0.0,,,,32.561001,,,32.561001,36.512001,0.0,,,,2.792,,2.792,2.792,39.304001,0.0,63.533001,,,0.0,,55.805,119.338001,0.0,119.338001,158.642002,
12/31/1996,457.756012,259.170006,125.140999,134.029007,77.390999,,,0.0,,,,,31.42,,,,,367.980988,28.363001,64.973,-36.610001,46.483002,,14.929,,,,14.929,89.775002,,33.551998,33.551998,,,,0.0,,,,87.757999,,,87.757999,121.309998,0.0,,,,7.523,,7.523,7.523,128.832997,0.0,139.929001,,,0.0,,188.994003,328.923004,0.0,328.923004,457.756001,
03/31/1997,242.063004,144.794998,95.337997,49.457001,36.344002,,,0.0,,,,,13.468,,,,,194.606995,10.653,,,27.211,,9.592,,,,9.592,47.456,,9.837,9.837,,,,0.0,,,,39.566999,,,39.566999,49.403999,0.0,,,,4.169,,4.169,4.169,53.572999,0.0,97.704002,,,0.0,,90.786003,188.490005,0.0,188.490005,242.063005,
06/30/1997,292.03299,158.34,117.830002,40.509998,60.161999,,,0.0,,,,,10.208,,,,,228.710007,14.626,,,37.674,,11.023,,,,11.023,63.323,,10.434,10.434,,,,0.0,,,,43.782,,,43.782,54.216,0.0,,,,5.42,,5.42,5.42,59.636,0.0,118.065002,,,0.0,,114.332001,232.397003,0.0,232.397003,292.033003,
09/30/1997,342.493011,169.550995,134.563995,34.987,63.271,,,0.0,,,,,12.636,,,,,245.457993,17.532,27.643,-10.111,68.193001,,11.31,,,,11.31,97.035001,,9.455,9.455,,,,0.0,,,,52.855001,,,52.855001,62.310001,0.0,,,,6.129,,6.129,6.129,68.439002,0.0,134.595993,,,0.0,,139.457993,274.053986,0.0,274.053986,342.492987,
12/31/1997,805.349976,308.611008,157.031006,151.580002,156.197006,,,0.0,,,,,72.971001,,,,,537.778992,48.327999,126.07,-77.741997,109.183998,,110.058998,112.893997,,,-2.834999,267.570995,,26.444,26.444,,,,0.31,,,,263.213987,,,263.213987,289.967987,2.353,,,,20.528,,20.528,22.881,312.848987,0.0,332.690002,,,0.0,,159.811005,492.501007,0.0,492.501007,805.349994,
03/31/1998,1063.436035,627.457001,190.983002,436.473999,139.623993,,,0.0,,,,,74.555,,,,,841.635986,37.241001,54.479,-17.238001,155.001007,,29.558001,,,,29.558001,221.800009,,22.681999,22.681999,,,,0.0,,,,206.793999,,,206.793999,229.475998,354.662994,,,,14.512,,14.512,369.174994,598.650992,0.0,254.470993,,,0.0,,210.313995,464.784988,0.0,464.784988,1063.435981,
