Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,4740.0,442.0,407.0,35.0,916.0,,,859.0,,,,,63.0,,,,,,2280.0,2229.0,3784.0,-1555.0,0.0,,,231.0,,,,,231.0,2460.0,,386.0,386.0,,,,25.0,,,,,,828.0,,,,828.0,1239.0,615.0,,,,,410.0,,,410.0,1025.0,2264.0,521.0,566.0,,,-5.0,,1394.0,2476.0,0.0,2476.0,4740.0,
06/30/1990,4842.0,326.0,311.0,15.0,974.0,,,893.0,,,,,58.0,,,,,,2251.0,2339.0,3941.0,-1602.0,0.0,,,252.0,,,,,252.0,2591.0,,431.0,431.0,,,,44.0,,,,,,846.0,,,,846.0,1321.0,627.0,,,,,432.0,,,432.0,1059.0,2380.0,521.0,566.0,,,-5.0,,1380.0,2462.0,0.0,2462.0,4842.0,
09/30/1990,4976.0,172.0,159.0,13.0,1167.0,,,896.0,,,,,61.0,,,,,,2296.0,2428.0,4089.0,-1661.0,0.0,,,252.0,,,,,252.0,2680.0,,427.0,427.0,,,,127.0,,,,,,864.0,,,,864.0,1418.0,657.0,,,,,463.0,,,463.0,1120.0,2538.0,521.0,572.0,,,-5.0,,1350.0,2438.0,0.0,2438.0,4976.0,
12/31/1990,5048.0,412.0,403.0,9.0,944.0,,,887.0,,,,,62.0,,,,,,2305.0,2480.0,4217.0,-1737.0,0.0,,,263.0,,,,,263.0,2743.0,,490.0,490.0,,,,35.0,,,,,,954.0,,,,954.0,1479.0,715.0,,,,,496.0,,,496.0,1211.0,2690.0,521.0,573.0,,,-5.0,,1269.0,2358.0,0.0,2358.0,5048.0,
03/31/1991,5058.0,433.0,424.0,9.0,888.0,,,912.0,,,,,70.0,,,,,,2303.0,2497.0,4296.0,-1799.0,0.0,,,258.0,,,,,258.0,2755.0,,431.0,431.0,,,,38.0,,,,,,947.0,,,,947.0,1416.0,852.0,,,,,505.0,,,505.0,1357.0,2773.0,521.0,577.0,,,-4.0,,1191.0,2285.0,0.0,2285.0,5058.0,
06/30/1991,5004.0,331.0,327.0,4.0,946.0,,,874.0,,,,,71.0,,,,,,2222.0,2484.0,4352.0,-1868.0,0.0,,,298.0,,,,,298.0,2782.0,,383.0,383.0,,,,49.0,,,,,,1021.0,,,,1021.0,1453.0,1014.0,,,,,578.0,,,578.0,1592.0,3045.0,371.0,578.0,,,-4.0,,1014.0,1959.0,0.0,1959.0,5004.0,
09/30/1991,5088.0,416.0,266.0,150.0,1033.0,,,859.0,,,,,73.0,,,,,,2381.0,2427.0,4364.0,-1937.0,0.0,,,280.0,,,,,280.0,2707.0,,364.0,364.0,,,,104.0,,,,,,998.0,,,,998.0,1466.0,868.0,,,,,611.0,,,611.0,1479.0,2945.0,440.0,827.0,,,-4.0,,880.0,2143.0,0.0,2143.0,5088.0,
12/31/1991,5009.0,601.0,452.0,149.0,905.0,,,815.0,,,,,60.0,,,,,,2381.0,2354.0,4361.0,-2007.0,0.0,,,274.0,,,,,274.0,2628.0,,444.0,444.0,,,,30.0,,,,,,1094.0,,,,1094.0,1568.0,896.0,,,,,590.0,,,590.0,1486.0,3054.0,365.0,828.0,,,-4.0,,766.0,1955.0,0.0,1955.0,5009.0,
03/31/1992,4699.0,336.0,215.0,121.0,907.0,,,830.0,,,,,62.0,,,,,,2135.0,2282.0,4372.0,-2090.0,0.0,,,282.0,,,,,282.0,2564.0,,359.0,359.0,,,,41.0,,,,,,1046.0,,,,1046.0,1446.0,776.0,,,,,573.0,,,573.0,1349.0,2795.0,294.0,834.0,,,-4.0,,780.0,1904.0,0.0,1904.0,4699.0,
06/30/1992,5039.0,508.0,241.0,267.0,1140.0,,,812.0,,,,,66.0,,,,,,2526.0,2198.0,4386.0,-2188.0,0.0,,,315.0,,,,,315.0,2513.0,,436.0,436.0,,,,41.0,,,,,,1084.0,,,,1084.0,1561.0,932.0,,,,,591.0,,,591.0,1523.0,3084.0,294.0,837.0,,,-4.0,,828.0,1955.0,0.0,1955.0,5039.0,
