Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Oth Claims & Losses (NL & L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Amort Def Acq Cost (NL),Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2004,3021,1722.0,,,,1036.0,263.0,,,-1744.0,39.0,1309.0,396.0,,-853.0,,,,,,,,,424.0,-47.0,,377,-117.0,260,-12.0,,,272.0,0.0,272,0.0,0.0,272,272.0,,,,,,,,,,
06/30/2004,2917,1708.0,195.0,1513.0,0.0,1009.0,200.0,,,-1650.0,27.0,1269.0,354.0,,-781.0,,,,,,,,,486.0,-47.0,,439,-171.0,268,0.0,,,268.0,0.0,268,0.0,0.0,268,268.0,,489.5,0.55,0.55,0.57,490.9,0.55,0.55,0.57,
09/30/2004,2470,1523.0,197.0,1326.0,0.0,788.0,159.0,,,-1362.0,46.0,988.0,328.0,,-641.0,,,,,,,,,467.0,-60.0,,407,-136.0,271,0.0,,,271.0,0.0,271,0.0,0.0,271,271.0,,489.6,0.55,0.55,0.55,490.4,0.55,0.55,0.55,
12/31/2004,2649,1606.0,,,,841.0,202.0,,,-1480.0,53.0,1073.0,354.0,,-691.0,,,,,,,,,478.0,-63.0,0.0,415,-69.0,346,0.0,,,346.0,0.0,346,0.0,0.0,346,346.0,,489.6,0.71,0.71,0.52,490.2,0.7,0.7,0.52,
03/31/2005,2611,1605.0,,,,845.0,161.0,,,-1415.0,21.0,1054.0,340.0,,-640.0,,,,,,,,,556.0,-72.0,,484,-162.0,322,,,,322.0,,322,,,322,322.0,,488.8,0.66,0.66,0.67,494.3,0.65,0.65,0.66,
06/30/2005,2610,1614.0,,,,842.0,154.0,,,-1398.0,39.0,1012.0,347.0,,-731.0,,,,,,,,,481.0,-69.0,0.0,412,-127.0,285,0.0,,,285.0,0.0,285,0.0,0.0,285,285.0,,470.4,0.61,0.61,0.61,477.4,0.6,0.6,0.6,
09/30/2005,2628,1547.0,218.0,1329.0,0.0,895.0,186.0,,,-1390.0,36.0,990.0,364.0,,-723.0,,,,,,,,,515.0,-72.0,0.0,443,-136.0,307,0.0,,,307.0,0.0,307,0.0,0.0,307,307.0,,470.7,0.65,0.65,0.66,481.1,0.64,0.64,0.65,
12/31/2005,2655,1531.0,,,,952.0,172.0,,,-1427.0,66.0,987.0,374.0,,-689.0,,,,,,,,,539.0,-80.0,0.0,459,-152.0,307,0.0,,,307.0,0.0,307,0.0,0.0,307,307.0,,470.9,0.65,0.65,0.64,482.6,0.64,0.64,0.62,
03/31/2006,2442,1371.0,538.0,833.0,0.0,890.0,181.0,,,-1287.0,94.0,821.0,372.0,,-600.0,,,,,,,,,555.0,-82.0,0.0,473,-151.0,322,-12.0,,,334.0,0.0,334,0.0,0.0,334,334.0,15.0,467.0,0.72,0.69,0.72,479.5,0.7,0.67,0.7,
06/30/2006,2571,1480.0,589.0,891.0,0.0,891.0,200.0,,,-1356.0,104.0,874.0,378.0,,-680.0,,,,,,,,,535.0,-88.0,0.0,447,-141.0,306,-11.0,,,317.0,0.0,317,0.0,0.0,317,317.0,22.0,455.8,0.7,0.67,0.72,468.3,0.68,0.66,0.7,
09/30/2006,2615,1505.0,572.0,933.0,0.0,926.0,184.0,,,-1443.0,125.0,936.0,382.0,,-653.0,,,,,,,,,519.0,-87.0,0.0,432,-138.0,294,-10.0,,,304.0,0.0,304,0.0,0.0,304,304.0,3.0,453.8,0.67,0.64,0.65,467.2,0.65,0.63,0.63,
12/31/2006,2657,1446.0,582.0,864.0,0.0,1011.0,200.0,,,-1438.0,157.0,893.0,388.0,,-611.0,,,,,,,,,608.0,-107.0,0.0,501,-140.0,361,-12.0,,,373.0,0.0,373,0.0,0.0,373,373.0,-6.0,447.4,0.83,0.81,0.79,460.7,0.81,0.78,0.77,
03/31/2007,2710,1511.0,630.0,881.0,0.0,965.0,234.0,,,-1452.0,159.0,908.0,385.0,,-702.0,,,,,,,,,556.0,-107.0,0.0,449,-135.0,314,-10.0,,,324.0,0.0,324,0.0,0.0,324,324.0,26.0,441.0,0.74,0.71,0.77,455.0,0.71,0.69,0.75,
06/30/2007,2765,1549.0,657.0,892.0,0.0,973.0,243.0,,,-1481.0,172.0,918.0,391.0,,-702.0,,,,,,,,,582.0,-124.0,0.0,458,-137.0,321,-58.0,,,379.0,0.0,379,0.0,0.0,379,379.0,30.0,439.4,0.86,0.73,0.8,449.0,0.84,0.72,0.78,
09/30/2007,2875,1600.0,731.0,869.0,0.0,1026.0,249.0,,,-1559.0,249.0,919.0,391.0,,-742.0,,,,,,,,,574.0,-124.0,0.0,450,-111.0,339,0.0,,,339.0,0.0,339,0.0,0.0,339,339.0,29.0,441.1,0.77,0.77,0.83,445.6,0.76,0.76,0.83,
12/31/2007,2775,1670.0,794.0,876.0,0.0,839.0,266.0,,,-1640.0,326.0,929.0,385.0,,-760.0,,,,,,,,,375.0,-126.0,0.0,249,-69.0,180,2.0,,,178.0,0.0,178,0.0,0.0,178,178.0,134.0,437.4,0.41,0.41,0.72,441.1,0.4,0.41,0.71,
03/31/2008,2753,1717.0,792.0,925.0,0.0,776.0,260.0,,,-1746.0,422.0,979.0,345.0,,-731.0,,,,,,,,,276.0,-112.0,0.0,164,-48.0,116,0.0,,,116.0,0.0,116,0.0,0.0,116,116.0,128.0,433.6,0.27,0.27,0.56,436.8,0.27,0.27,0.56,
06/30/2008,2398,1709.0,818.0,891.0,0.0,435.0,254.0,,,-1706.0,455.0,931.0,320.0,,-760.0,,,,,,,,,-68.0,-110.0,0.0,-178,69.0,-109,0.0,,,-109.0,0.0,-109,0.0,0.0,-109,-109.0,321.0,432.9,-0.25,-0.25,0.49,432.9,-0.25,-0.25,0.49,
09/30/2008,2168,1735.0,772.0,963.0,0.0,102.0,331.0,,,-1816.0,448.0,1049.0,319.0,,-723.0,,,,,,,,,-371.0,-125.0,0.0,-496,238.0,-258,0.0,,,-258.0,0.0,-258,0.0,0.0,-258,-258.0,478.0,433.1,-0.6,-0.6,0.51,433.1,-0.6,-0.6,0.51,
12/31/2008,2629,1616.0,715.0,901.0,0.0,708.0,305.0,,,-1831.0,542.0,980.0,309.0,,-1107.0,,,,,,,,,-309.0,-123.0,0.0,-432,111.0,-321,0.0,,,-321.0,0.0,-321,0.0,0.0,-321,-321.0,114.0,433.1,-0.74,-0.74,-0.48,433.1,-0.74,-0.74,-0.48,
03/31/2009,1734,1502.0,666.0,836.0,0.0,-59.0,291.0,291.0,0.0,-1783.0,595.0,913.0,275.0,0.0,-688.0,306.0,227.0,79.0,382.0,214.0,168.0,0.0,,-737.0,-96.0,0.0,-833,364.0,-469,0.0,0.0,0.0,-469.0,0.0,-469,0.0,0.0,-469,-952.0,-483.0,433.2,-1.08,-1.08,-2.197599,433.2,-1.08,-1.08,-2.197599,
