Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1989,2300.699951,214.899994,214.899994,,578.299988,,,604.900024,,,,,19.0,,,,,1417.099976,433.700012,689.5,-255.800003,0.0,,449.899994,,,,,,449.899994,883.600006,,582.200012,582.200012,,,,216.100006,,,,,,194.499969,,,,194.499969,992.799988,536.299988,,,,,51.900002,,,51.900002,588.199989,1580.999977,132.0,314.700012,,,-117.900002,,368.700005,697.500015,22.200001,719.700016,2300.699993,
09/30/1989,2347.899902,207.600006,207.600006,,559.799988,,,665.599976,,,,,21.299999,,,,,1454.300049,437.700012,702.200012,-264.5,0.0,,455.899994,,,,,,455.899994,893.600006,,635.200012,635.200012,,,,244.399994,,,,,,177.899994,,,,177.899994,1057.5,521.900024,,,,,50.400002,,,50.400002,572.300026,1629.800026,131.699997,311.0,,,-127.599998,,380.700005,695.800003,22.299999,718.100002,2347.900028,
12/31/1989,2407.899902,215.300003,215.300003,,597.299988,,,694.700012,,,,,17.9,,,,,1525.199951,441.700012,716.700012,-275.0,0.0,,441.0,,,,,,441.0,882.700012,,652.900024,652.900024,,,,290.5,,,,,,187.799927,,,,187.799927,1131.199951,506.399994,,,,,49.5,,,49.5,555.899994,1687.099945,131.600006,309.5,,,-140.5,,396.5,697.100006,23.700001,720.800007,2407.899952,
03/31/1990,2323.100098,156.5,156.5,,617.0,,,618.0,,,,,11.5,,,,,1403.0,443.200012,721.900024,-278.700012,0.0,,476.899994,,,,,,476.899994,920.100006,,605.700012,605.700012,,,,331.299988,,,,,,196.699951,,,,196.699951,1133.699951,426.700012,,,,,53.799999,,,53.799999,480.500011,1614.199962,131.5,306.600006,,,-153.399994,,399.399994,684.100006,24.799999,708.900005,2323.099967,
06/30/1990,2267.399902,91.0,91.0,,564.299988,,,615.700012,,,,,23.9,,,,,1294.900024,453.399994,743.400024,-290.0,0.0,,519.099976,,,,,,519.099976,972.499969,,610.400024,610.400024,,,,299.5,,,,,,212.699951,,,,212.699951,1122.599976,425.399994,,,,,52.799999,,,52.799999,478.199993,1600.799969,131.399994,304.799988,,,-194.600006,,408.200012,649.799988,16.799999,666.599987,2267.399956,
09/30/1990,2408.699951,167.399994,167.399994,,568.099976,,,666.200012,,,,,23.200001,,,,,1424.900024,455.100006,755.099976,-300.0,0.0,,528.700012,,,,,,528.700012,983.800018,,707.099976,707.099976,,,,364.0,,,,,,192.700073,,,,192.700073,1263.800049,421.700012,,,,,52.599998,,,52.599998,474.300011,1738.10006,131.0,304.299988,,,-199.899994,,418.599991,653.999985,16.6,670.599985,2408.700045,
12/30/1990,2421.199951,34.099998,34.099998,,585.5,,,796.599976,,,,,23.4,,,,,1439.599976,456.899994,767.200012,-310.299988,0.0,,524.700012,,,,,,524.700012,981.600006,,691.099976,691.099976,,,,378.0,,,,,,199.700073,,,,199.700073,1268.800049,415.0,,,,,52.5,,,52.5,467.5,1736.300049,130.800003,303.899994,,,-197.800003,,431.699997,668.599991,16.299999,684.89999,2421.200039,
03/31/1991,2460.899902,146.399994,146.399994,,614.0,,,695.400024,,,,,13.6,,,,,1469.400024,458.399994,775.900024,-317.5,0.0,,533.099976,,,,,,533.099976,991.49997,,675.299988,675.299988,,,,319.5,,,,,,163.600036,,,,163.600036,1158.400024,534.299988,,,,,76.599998,,,76.599998,610.899986,1769.30001,130.600006,300.299988,,,-192.600006,,437.300003,675.599991,16.0,691.599991,2460.900001,
06/30/1991,2678.800049,220.199997,220.199997,,691.799988,,,767.700012,,,,,19.5,,,,,1699.199951,474.399994,817.799988,-343.399994,0.0,,505.200012,,,,,,505.200012,979.600006,,818.0,818.0,,,,343.700012,,,,,,221.100037,,,,221.100037,1382.800049,533.200012,,,,,56.700001,,,56.700001,589.900013,1972.700062,130.0,298.299988,,,-187.0,,448.0,689.299988,16.799999,706.099987,2678.800049,
09/30/1991,2722.300049,251.699997,251.699997,,686.799988,,,796.900024,,,,,16.700001,,,,,1752.099976,473.0,828.400024,-355.399994,0.0,,497.200012,,,,,,497.200012,970.200012,,878.799988,878.799988,,,,321.899994,,,,,,213.800018,,,,213.800018,1414.5,531.0,,,,,55.900002,,,55.900002,586.900002,2001.400002,129.800003,297.399994,,,-182.199997,,459.199997,704.199997,16.700001,720.899998,2722.299999,
