Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,433.294006,70.293999,,,,,,,
06/30/1990,466.355988,86.495003,,,,,,,
09/30/1990,269.68399,80.757004,,,,,,,
12/31/1990,631.265991,28.754,,,,,,,
03/31/1991,448.200012,7.9,,,,,,,
06/30/1991,-2.9,55.099998,,,,,,,
09/30/1991,447.0,64.599998,,,,,,,
12/31/1991,382.700012,-77.5,,,,,,,
03/31/1992,338.600006,83.599998,,,,,,,
06/30/1992,381.600006,60.299999,,,,,,,
09/30/1992,224.100006,87.400002,,,,,,,
12/31/1992,787.900024,11.9,,,,,787.900024,,
03/31/1993,496.200012,91.800003,,,,,,,
07/01/1993,280.600006,123.900002,,,,,,,
09/30/1993,251.0,138.899994,,,,,,,
12/31/1993,71.699997,22.799999,,,,,71.699997,,
03/31/1994,426.200012,103.0,,,,,,,
06/30/1994,280.700012,105.699997,,,,,,,
09/30/1994,443.399994,104.900002,,,,,,,
12/31/1994,223.600006,113.599998,,,,,223.600006,,
03/31/1995,313.899994,96.300003,71.400002,146.199997,,,,,
06/30/1995,414.700012,117.800003,78.400002,218.5,,,,,
09/30/1995,266.5,147.0,74.0,45.5,,,,,
12/31/1995,237.899994,109.400002,82.699997,45.799999,,,237.899994,,
03/31/1996,484.600006,115.300003,78.599998,290.700012,,,,,
06/30/1996,384.899994,105.900002,76.099998,202.899994,,,,,
09/30/1996,382.200012,113.900002,82.5,185.800003,,,,,
12/31/1996,386.700012,121.199997,88.699997,176.800003,,,386.700012,,
03/31/1997,345.399994,81.0,84.199997,180.199997,,,,,
06/30/1997,916.900024,387.899994,82.699997,446.299988,,,,,
09/30/1997,-73.900002,150.0,86.199997,-310.100006,,,,,
12/31/1997,215.100006,174.899994,88.900002,-48.700001,,,,,
03/31/1998,333.799988,153.699997,83.400002,96.699997,,,,,
06/30/1998,636.099976,152.399994,87.099998,396.600006,,,,,
09/30/1998,544.799988,124.099998,90.099998,330.600006,,,,,
12/31/1998,366.100098,276.800018,94.299995,-4.999985,,,,,
03/31/1999,-19.200001,169.399994,92.199997,-280.799988,,,,,
