Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
11/30/1989,44.667999,-26.150999,18.517,-66.504997,-47.987999,-5.476,0.0,-0.461,-53.924999,22.114,-31.811001,0.0,0.028,-31.783001,0,-31.783001,-31.782998,,-0.113333,-0.113333,281.466002,-0.113333,-0.113333,-0.113333,281.466002,
02/28/1990,131.093002,-73.978996,57.114006,-81.5,-24.386,-8.186,0.0,0.354,-32.218,11.913,-20.305,0.0,0.294,-20.011,0,-20.011,-20.010999,,-0.071111,-0.071111,280.458006,-0.071111,-0.071111,-0.071111,280.458006,
05/31/1990,670.710022,-283.763,386.947021,-144.723007,242.223999,-7.111,0.0,7.22,242.332999,-97.290001,145.042999,0.0,-0.256,144.787003,0,144.787003,144.786998,,0.516667,0.516667,280.070995,0.516667,0.516667,0.516667,280.070995,
08/31/1990,117.982002,-59.532001,58.450001,-93.281998,-34.832001,,0.0,1.337,-33.495001,13.306,-20.188999,0.0,-0.152,-20.341,0,-20.341,-20.341001,,-0.073333,-0.073333,279.197991,-0.073333,-0.073333,-0.073333,279.197991,
11/30/1990,48.144001,-27.076,21.068001,-78.638,-57.57,-6.293,0.0,2.123,-61.74,24.077999,-37.661999,0.0,0.122,-37.540001,0,-37.540001,-37.540001,,-0.136667,-0.136667,275.075993,-0.136667,-0.136667,-0.136667,275.075993,
02/28/1991,138.306,-58.660999,79.645,-90.143997,-10.499,-5.999,0.0,-1.236,-17.734,6.896,-10.838,0.0,0.072,-10.766,0,-10.766,-10.766,,-0.04,-0.04,271.620003,-0.04,-0.04,-0.04,271.620003,
05/31/1991,729.052002,-296.903015,432.148987,-157.789001,274.359985,-5.159,0.0,-4.108,265.092986,-103.352997,161.740005,0.0,-0.622,161.117996,0,161.117996,161.117989,,0.592222,0.592222,272.006996,0.592222,0.592222,0.592222,272.006996,
08/31/1991,209.399994,-106.556,102.843994,-120.679001,-17.834999,-4.869,-10.075,16.743999,-16.035,8.257,-7.778,0.0,-0.857,-8.635,0,-8.635,-8.635,,-0.033333,-0.033333,271.989009,-0.033333,-0.033333,-0.033333,271.989009,
11/30/1991,54.471001,-31.202,23.269001,-76.764,-53.494999,-5.339,0.0,3.916,-54.917999,21.143999,-33.773998,0.0,0.447,-33.327,0,-33.327,-33.327,,-0.122222,-0.122222,271.935001,-0.122222,-0.122222,-0.122222,271.935001,
02/29/1992,178.813004,-82.597,96.216003,-102.299004,-6.083,-5.042,0.0,0.968,-10.157,3.91,-6.247,0.0,0.045,-6.202,0,-6.202,-6.202,,-0.023333,-0.023333,272.168993,-0.023333,-0.023333,-0.023333,272.168993,
05/31/1992,824.041992,-324.497009,499.544983,-178.781006,320.764008,-2.438,-2.216,3.188,319.298007,-120.388,198.910004,0.0,-1.122,197.787994,0,197.787994,197.788007,,0.725556,0.725556,272.745003,0.725556,0.725556,0.725556,272.745003,
08/31/1992,204.479004,-91.151001,113.328003,-131.557999,-18.23,-3.69,3.423,4.351,-14.146,8.754,-5.392,0.0,-0.707,-6.099,0,-6.099,-6.099,,-1.18,-1.18,180.868503,-1.18,-1.18,-1.18,180.868503,
11/30/1992,68.357002,-35.431,32.926003,-90.75,-57.824001,-4.186,-4.236,3.475,-62.771001,23.497,-39.273998,-16.969001,0.467,-55.776001,0,-55.776001,-38.807002,,-0.143333,-0.206667,270.822006,-0.143333,-0.143333,-0.206667,270.822006,
02/28/1993,156.649994,-79.412003,77.237991,-104.573997,-27.336,-5.231,0.01,4.944,-27.613001,10.849,-16.764,0.0,1.56,-15.204,0,-15.204,-15.204001,,-0.056667,-0.056667,271.046997,-0.056667,-0.056667,-0.056667,271.046997,
05/31/1993,930.916016,-331.450989,599.465027,-231.016998,368.447998,-4.699,0.151,3.872,367.771998,-139.477997,228.294006,0.0,0.332,228.626007,0,228.626007,228.626001,,0.843333,0.843333,271.110008,0.843333,0.843333,0.843333,271.110008,
08/31/1993,187.514008,-91.685997,95.828011,-100.347,-4.519,-3.636,-0.918,-48.738998,-57.811998,19.334,-38.478001,0.0,1.316,-37.161999,0,-37.161999,-37.161998,,-0.133333,-0.14,268.404006,-0.133333,-0.133333,-0.14,268.404006,
11/30/1993,66.667999,-38.734001,27.933998,-98.110001,-70.176003,-3.216,-2.34,3.579,-72.153003,28.162001,-43.991001,0.0,0.141,-43.849998,0,-43.849998,-43.850002,,-0.163333,-0.163333,268.206001,-0.163333,-0.163333,-0.163333,268.206001,
02/28/1994,250.037994,-110.686996,139.350998,-108.459999,30.891001,-6.077,0.05,3.734,28.598001,-11.611,16.987,0.0,-0.834,16.153,0,16.153,16.153001,,0.06,0.06,268.110008,0.06,0.06,0.06,268.110008,
05/31/1994,1038.501953,-393.269012,645.232941,-227.481995,417.751007,-2.261,-0.636,5.228,420.082007,-159.632004,260.450012,0.0,0.123,260.572998,0,260.572998,260.573004,,0.98,0.98,265.416,0.98,0.98,0.98,265.416,
08/31/1994,123.483002,-63.348999,60.134003,-136.901993,-76.767998,0.301,-2.514,51.096001,-27.884997,8.884,-19.000999,0.0,-1.211,-20.212,0,-20.212,-20.211997,,-0.076667,-0.076667,262.110009,-0.076667,-0.076667,-0.076667,262.110009,
11/30/1994,69.0,-40.0,29.0,-106.0,-77.0,-3.0,-2.0,4.0,-78.0,30.0,-48.0,0.0,0.0,-48.0,0,-48.0,-48.0,,-0.19,-0.19,255.0,-0.19,-0.19,-0.19,255.0,
02/28/1995,277.0,-142.0,135.0,-124.0,11.0,-4.0,6.0,5.0,18.0,-7.0,11.0,0.0,-2.0,9.0,0,9.0,9.0,,0.036667,0.036667,255.0,0.036667,0.036667,0.036667,255.0,
05/31/1995,1049.0,-384.0,665.0,-236.0,429.0,-1.0,2.0,5.0,435.0,-162.0,273.0,0.0,-1.0,272.0,0,272.0,272.0,,1.076667,1.076667,252.0,1.076667,1.076667,1.076667,252.0,
08/31/1995,137.0,-76.0,61.0,-144.0,-83.0,-5.0,-5.0,9.0,-84.0,33.0,-51.0,0.0,1.0,-50.0,0,-50.0,-50.0,,-0.196667,-0.196667,252.0,-0.196667,-0.196667,-0.196667,252.0,
11/30/1995,92.0,-53.0,39.0,-115.0,-76.0,-4.0,-3.0,4.0,-79.0,30.0,-49.0,0.0,0.0,-49.0,0,-49.0,-49.0,-0.196667,-0.196667,-0.196667,250.200005,-0.196667,-0.196667,-0.196667,250.200005,
02/29/1996,281.0,-143.0,138.0,-133.0,5.0,-3.0,2.0,5.0,9.0,-3.0,6.0,0.0,-2.0,4.0,0,4.0,4.0,0.016667,0.016667,0.016667,252.0,0.016667,0.016667,0.016667,252.0,
05/31/1996,1168.0,-442.0,726.0,-248.0,478.0,-3.0,0.0,7.0,482.0,-178.0,304.0,0.0,-1.0,303.0,0,303.0,303.0,1.213333,1.213333,1.213333,249.0,1.213333,1.213333,1.213333,249.0,
08/31/1996,180.0,-89.0,91.0,-151.0,-60.0,-1.0,-3.0,6.0,-58.0,24.0,-34.0,0.0,-1.0,-35.0,0,-35.0,-35.0,-0.14,-0.14,-0.14,249.0,-0.14,-0.14,-0.14,249.0,
11/30/1996,90.0,-50.0,40.0,-111.0,-71.0,-2.0,-2.0,4.0,-71.0,27.0,-44.0,0.0,-1.0,-45.0,0,-45.0,-45.0,-0.183333,-0.183333,-0.183333,247.200005,-0.183333,-0.183333,-0.183333,247.200005,
02/28/1997,264.0,-137.0,127.0,-133.0,-6.0,-2.0,3.0,5.0,0.0,-1.0,-1.0,0.0,-1.0,-2.0,0,-2.0,-2.0,-0.006667,-0.006667,-0.006667,246.900009,-0.006667,-0.006667,-0.006667,246.900009,
05/31/1997,1288.0,-513.0,775.0,-260.0,515.0,-2.0,-1.0,7.0,519.0,-187.0,332.0,0.0,0.0,332.0,0,332.0,332.0,1.346667,1.346667,1.346667,246.599991,1.346667,1.346667,1.346667,246.599991,
08/31/1997,142.0,-71.0,71.0,-146.0,-75.0,-2.0,-4.0,6.0,-75.0,34.0,-41.0,0.0,-1.0,-42.0,0,-42.0,-42.0,-0.17,-0.17,-0.17,246.599991,-0.17,-0.17,-0.17,246.599991,
11/30/1997,79.0,-51.0,28.0,-117.0,-89.0,-2.0,-5.0,18.0,-78.0,27.0,-51.0,0.0,0.0,-51.0,-4,-55.0,-55.0,-0.243333,-0.243333,-0.243333,225.900009,-0.243333,-0.243333,-0.243333,225.900009,
02/28/1998,302.0,-147.0,155.0,-148.0,7.0,-3.0,-3.0,7.0,8.0,-2.0,6.0,0.0,-2.0,4.0,-5,-1.0,-1.0,-0.006667,-0.006667,-0.006667,214.799995,-0.006667,-0.006667,-0.006667,214.799995,
05/31/1998,1317.0,-517.0,800.0,-270.0,530.0,-4.0,22.0,11.0,559.0,-191.0,368.0,0.0,-2.0,366.0,0,366.0,366.0,1.5,1.5,1.5,244.0,1.5,1.5,1.5,245.100006,
