Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
02/28/1991,36.354,74.339996,0.0,-29.444,-8.542,,,,,,,,,,,,,,,,,
05/31/1991,45.980999,61.688999,0.0,-0.512,-15.196,,,,,,,,,,,,,,,,,
08/31/1991,133.539993,54.251999,0.0,62.060001,17.228001,,,,,,,,,,,,,,,,,
11/30/1991,136.490997,76.684998,0.0,46.067001,13.739,,,,,,,,,,,,,,,,,
02/29/1992,128.871994,72.126999,0.0,50.384998,6.36,,,,,,,,,,,,,,,,,
05/31/1992,32.717999,60.650002,0.0,-25.927999,-2.004,,,,,,,,,,,,,,,,,
08/31/1992,132.639999,81.863998,0.0,43.783001,6.993,,,,,,,,,,,,,,,,,
11/30/1992,134.610001,71.483002,0.0,54.560001,8.567,,,,,,,,,,,,,,,,134.610001,
02/28/1993,113.228996,90.512001,0.0,10.382,12.335,,,,,,,,,,,,,,,,,
05/31/1993,74.894997,100.974998,0.0,-38.688,12.608,,,,,,,,,,,,,,,,,
08/31/1993,122.343002,99.156998,0.0,7.903,15.283,,,,,,,,,,,,,,,,,
11/30/1993,123.943001,88.571999,0.0,109.737999,-74.366997,,,,,,,,,,,,,,,,123.943001,
02/28/1994,150.080002,79.574997,0.0,112.952003,-42.446999,,,,,,,,,,,,,,,,,
05/31/1994,137.498993,18.909,0.0,120.612999,-2.023,,,,,,,,,,,,,,,,,
08/31/1994,127.176003,48.993,0.0,109.820999,-31.638,,,,,,,,,,,,,,,,,
11/30/1994,126.632004,-3.523,0.0,136.501007,-6.346,,,,,,,,,,,,,,,,126.632004,
02/28/1995,94.925003,56.882,0.0,24.111,13.932,,,,,,,,,,,,,,,,,
05/31/1995,114.275002,94.530998,0.0,9.469,10.275,,,,,,,,,,,,,,,,,
08/31/1995,180.074005,92.903,0.0,154.464996,-67.293999,,,,,,,,,,,,,,,,,
11/30/1995,133.891006,88.482002,0.0,105.774002,-60.365002,,,,,,,,,,,,,,,,133.891006,
02/29/1996,109.113998,207.089005,0.0,-25.573999,-72.401001,,,,,,,,,,,,,,,,,
05/31/1996,-10.571,88.986,0.0,87.634003,-187.190994,,,,,,,,,,,,,,,,,
08/31/1996,137.177002,64.544998,0.0,-69.236,141.867996,,,,,,,,,,,,,,,,,
11/30/1996,197.748993,133.692993,,52.695999,11.36,,,,,,,,,,,,,,,,197.748993,
02/28/1997,129.287994,108.117996,,-15.786,36.956001,,,,,,,,,,,,,,,,,
05/31/1997,70.911003,211.580002,,-126.542,-14.127,,,,,,,,,,,,,,,,,
08/31/1997,148.298996,206.559998,,-119.987999,61.727001,,,,,,,,,,,,,,,,,
11/30/1997,79.744003,150.703003,,-70.959,,,,,,,,,,,,,,,,,79.744003,
02/28/1998,98.269997,155.410004,,-57.139999,,,,,,,,,,,,,,,,,98.269997,
05/31/1998,62.325001,170.561996,,-108.237,,,,,,,,,,,,,,,,,62.325001,
08/31/1998,232.501,167.189,,-123.67,,,,,,,,,,,,,,,,,,
11/30/1998,166.84,163.169,,77.935,,,,,,,,,,,,,,,,,,
02/28/1999,111.857002,209.811996,12.321,0.0,35.494999,-129.335007,,0.0,-3699.075928,3660.941895,-91.200996,-90.190002,-49.405998,,0.0,0.0,12.677,-48.584999,,-4.876,-107.667999,
05/31/1999,193.109,62.708,14.59,41.629,74.182,162.159,,,-4747.652,5191.55,-281.739,-73.503,-50.172,,234.079,-201.737,,-56.929,,1.256,281.765,
09/30/1999,416.706,137.402,16.497,216.787,5.009,-58.35,,0.0,-5013.993,5019.56,-63.917,-349.505,-112.2,,94.621,-331.924,2.27,,,-2.272,8.851,
12/31/1999,-66.192,60.588,13.39,-258.33,118.16,128.598,,0.0,-3539.443,2944.281,723.76,-2.233,-0.881,,0.0,-7.811,5.306,,,1.153,60.173,
03/31/2000,-1.369,223.759003,16.948,-195.080994,-46.994999,266.372009,,-9.108,-6201.181152,6575.115234,-98.454002,21.544001,-57.063999,,250.300003,-250.300003,5.187,-165.889008,237.044006,2.266,286.546997,
06/30/2000,-130.128998,142.483994,15.758,-41.452,-246.919006,201.533997,,-9.417,-6280.024902,6528.368164,-37.391998,-41.554001,-56.293999,,50.299999,,15.715,-66.792999,16.329,-0.811,29.851,
09/30/2000,176.158997,139.460999,8.703,18.280001,9.715,-198.466995,,-10.982,-6590.77002,6405.939941,-2.655,79.663002,-55.955002,,,-10.996,13.767,,132.945007,-0.098,57.355,
12/31/2000,86.292,366.891,44.996,-23.097,67.779,387.408,,0.0,,23791.423,-218.31,348.88,,0.0,211.0,,272.578,,372.033,8.986,-121.549,
03/31/2001,200.559006,218.929001,16.466,-111.294998,76.459,-205.492004,,-5.749,-8125.634766,7995.125,-69.233002,11.75,-58.09,,50.0,,14.606,-13.632,20.0,-1.134,6.817,
06/30/2001,234.003006,128.606003,17.48,67.698997,20.218,-235.934998,,-8.85,-6932.505859,6723.748047,-18.327,741.627014,-58.854,,841.5,-50.0,14.034,-2.431,-3.301,0.679,739.695007,
09/30/2001,104.023003,-840.031982,17.735001,459.484009,466.835999,226.011002,,-2.973,-7115.951172,7502.791016,-157.856003,122.497002,-58.368999,,244.376007,0.0,6.929,-101.07,30.666,-0.035,452.531006,
12/31/2001,899.017,-83.638,17.24,-322.314,1287.729,-2255.669,,-4.326,-10650.317,8600.665,-201.691,1091.001,-62.315,,36.657,0.0,857.342,0.0,259.299,0.018,-265.651,
03/31/2002,-43.32,89.493,3.362,-127.853,-8.322,36.839,,-1.17,-13059.556,13362.853,-265.288,209.033,-63.967,,596.814,-350.0,30.187,,-3.973,-0.028,202.552,
