Date,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,0.1,23.2,23.3,,,0.004984,1.156242,1.161226,0.001967,0.456405,0.458373,
06/30/2008,2.2,17.1,19.3,,,0.105723,0.82176,0.927483,0.042211,0.328095,0.370306,
09/30/2008,2.3,16.3,18.6,,,0.107567,0.762323,0.869891,0.042975,0.304565,0.34754,
12/31/2008,,12.4,12.4,5.7,5.7,,0.567454,0.567454,,0.227975,0.227975,
03/31/2009,,9.8,9.8,8.6,8.6,,0.449541,0.449541,,0.180862,0.180862,
06/30/2009,,,,4.8,4.8,,,,,,,
09/30/2009,0.2,,0.2,5.8,5.8,0.00868,,0.00868,0.003699,,0.003699,
12/31/2009,,,,4.9,4.9,,,,,,,
03/31/2010,0.6,,0.6,3.9,3.9,0.025384,,0.025384,0.010813,,0.010813,
06/30/2010,,,,4.5,4.5,,,,,,,
09/30/2010,0.2,,0.2,1.1,1.1,0.007486,,0.007486,0.003553,,0.003553,
12/31/2010,,,,0.4,0.4,,,,,,,
09/30/2018,11.5,,,2648.0,,0.225898,,,0.122222,,,
12/31/2018,0.3,,,2.0,,0.005845,,,0.003168,,,
09/30/2019,0.0,,,28.3,,0.0,,,0.0,,,
12/31/2019,2.5,,,0.0,,0.052677,,,0.025545,,,
03/31/2020,6.0,,,3430.5,,0.125997,,,0.06144,,,
06/30/2020,17.0,,,4356.7,,0.358272,,,0.165239,,,
