Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2009,8349,626,626,0,852,852,0,426,130,31,310,-45,486,22.0,0.0,9.0,114.0,21,2390,395,866.0,-471.0,919,919,4645,3758,2879,879,,48,5959,,407,100,0.0,0.0,307,130,0,1.0,1.0,129,225,0.0,0.0,554.0,0,762,1159,1157,2.0,2.0,977,0.0,309,2136,2898,0,,,,0,5506,-55,5451,0,5451,8349,
09/30/2009,7570,797,797,0,933,933,0,486,149,40,344,-47,122,,,,0.0,94,2338,418,894.0,-476.0,927,927,3887,3783,2902,881,,104,5232,,652,220,,,432,2,0,,,2,8,,,,0,662,1391,1391,,,882,,882,2273,2935,0,4666.0,2.0,4664.0,0,8,-39,4635,0,4635,7570,
12/31/2009,7720,970,970,0,927,927,0,462,142,39,331,-50,123,,,,0.0,123,2482,434,927.0,-493.0,931,931,3873,3770,2901,869,,103,5238,,707,202,,,505,6,0,1.0,1.0,5,0,,,,0,713,1386,1383,3.0,3.0,885,,885,2271,2984,0,4683.0,2.0,4681.0,0,78,-25,4736,0,4736,7720,
03/31/2010,7772,1094,1094,0,899,899,0,449,142,38,318,-49,129,,,,0.0,128,2571,420,927.0,-507.0,928,928,3853,3757,2901,856,,96,5201,,717,207,,,510,6,0,0.0,0.0,6,0,,,,0,723,1386,1383,3.0,3.0,949,,949,2335,3058,0,4698.0,2.0,4696.0,0,69,-53,4714,0,4714,7772,
06/30/2010,7943,985,985,0,782,782,0,343,121,32,241,-51,398,17.0,0.0,8.0,2.0,43,2508,441,930.0,-489.0,946,946,4048,3902,2957,945,,79,5435,,598,163,0.0,0.0,435,4,0,1.0,1.0,3,151,0.0,0.0,671.0,0,753,1386,1384,2.0,2.0,1100,0.0,427,2486,3239,0,4668.0,2.0,4666.0,0,121,-85,4704,0,4704,7943,
09/30/2010,7947,1003,1003,0,836,836,0,456,137,34,338,-53,230,38.0,,,,190,2525,460,995.0,-535.0,939,939,4023,3925,2995,930,,98,5422,,561,186,,,375,4,0,,,4,84,,,668.0,0,649,1386,1386,,,1116,,448,2502,3151,0,4682.0,2.0,4680.0,-3,159,-42,4796,0,4796,7947,
12/31/2010,8110,1087,1087,0,909,909,0,447,145,34,325,-57,254,36.0,,,,216,2697,459,1005.0,-546.0,939,939,4015,3910,2995,915,,105,5413,,611,181,,,430,4,0,,,4,83,,,668.0,0,698,1387,1387,,,1134,,466,2521,3219,0,4700.0,2.0,4698.0,-3,235,-41,4891,0,4891,8110,
03/31/2011,8194,1180,1180,0,838,838,0,369,139,32,247,-49,463,14.0,,,0.0,222,2850,461,990.0,-529.0,940,940,3943,3841,2944,897,,102,5344,,526,164,,,362,1,0,,,1,158,,,670.0,0,685,1387,1387,,,1146,,476,2533,3218,0,4717.0,2.0,4715.0,-3,280,-18,4976,0,4976,8194,
06/30/2011,8185,1370,1370,0,928,928,0,360,126,25,249,-40,210,27.0,0.0,7.0,,60,2868,449,952.0,-503.0,920,920,3948,3751,2933,818,,82,5317,,533,197,0.0,0.0,336,1,0,1.0,1.0,0,85,0.0,0.0,631.0,0,619,1387,1386,1.0,1.0,1109,0.0,478,2496,3115,0,4714.0,2.0,4712.0,-3,370,-11,5070,0,5070,8185,
09/30/2011,8264,1186,1186,0,909,909,0,448,159,24,310,-45,232,40.0,,,,191,2775,460,,,961,961,4068,3978,3034,944,,90,5489,,486,189,,,297,251,0,,,251,91,,,669.0,0,828,1151,1151,,,1156,,487,2307,3135,0,4742.0,2.0,4740.0,-5,432,-40,5129,0,5129,8264,
12/31/2011,8363,1347,1347,0,899,899,0,444,164,22,304,-46,215,33.0,,,,180,2905,448,,,966,966,4044,3952,3031,921,,92,5458,,486,163,,,323,251,0,,,251,100,,3.0,661.0,0,837,1151,1151,,,1157,,493,2308,3145,0,4758.0,2.0,4756.0,-5,527,-62,5218,0,5218,8363,
03/31/2012,8410,1440,1440,0,884,884,0,417,144,27,287,-41,293,27.0,23.0,,,189,3034,429,,,987,987,3960,3851,3017,834,,86,5376,,475,182,,,293,251,0,,,251,112,,0.0,661.0,0,838,1151,1151,,,1170,,509,2321,3159,0,4774.0,2.0,4772.0,-55,558,-26,5251,0,5251,8410,
06/30/2012,8488,1648,1648,0,815,815,0,390,145,20,263,-38,265,25.0,0.0,4.0,0.0,84,3118,431,1000.0,-569.0,978,978,3961,3870,3039,831,,87,5370,,598,176,0.0,0.0,422,251,0,1.0,1.0,250,84,0.0,17.0,644.0,0,933,1151,1151,0.0,0.0,1173,0.0,512,2324,3257,0,4761.0,2.0,4759.0,-105,663,-88,5231,0,5231,8488,
09/30/2012,8253,1461,1461,0,779,779,0,410,145,20,286,-41,235,37.0,,,,197,2885,422,,,992,992,3954,3863,3044,819,,91,5368,,493,181,,,312,2,0,,,2,70,,19.0,654.0,0,565,1151,1151,,,1195,,522,2346,2911,0,4767.0,2.0,4765.0,-105,747,-67,5342,0,5342,8253,
12/31/2012,8412,1558,1558,0,816,816,0,401,151,21,272,-43,238,30.0,,,,208,3013,423,,,989,989,3987,3892,3081,811,,95,5399,,497,179,,,318,2,0,,,2,96,,0.0,647.0,0,595,1151,1151,,,1193,,546,2344,2939,0,4781.0,2.0,4779.0,-105,855,-58,5473,0,5473,8412,
03/31/2013,8728,1905,1905,0,787,787,0,398,145,24,270,-41,244,31.0,12.0,,,213,3334,417,,,993,993,3984,3887,3082,805,,85,5394,,535,184,,,351,2,0,,,2,63,,0.0,646.0,0,600,1445,1445,,,1189,,543,2634,3234,0,4832.0,2.0,4830.0,-217,939,-60,5494,0,5494,8728,
06/30/2013,8553,1798,1798,0,780,780,0,384,141,23,264,-44,171,30.0,34.0,8.0,,64,3133,409,1071.0,-662.0,1001,1001,4010,3874,3081,793,0.0,94,5420,,539,147,0.0,0.0,392,2,0,0.0,0.0,2,51,0.0,0.0,638.0,0,592,1444,1444,0.0,0.0,1131,0.0,493,2575,3167,0,4888.0,2.0,4886.0,-505,1048,-45,5386,0,5386,8553,
09/30/2013,8492,1773,1773,0,742,742,0,404,152,28,270,-46,249,34.0,,,,174,3168,406,,,973,973,3945,3859,3083,776,,86,5324,,463,123,,,340,452,0,,,452,58,,,645.0,0,973,999,999,,,1118,,473,2117,3090,0,4926.0,2.0,4924.0,-626,1126,-24,5402,0,5402,8492,
12/31/2013,8631,1309,1309,0,777,777,0,433,168,27,289,-51,310,32.0,,,,226,2829,446,,,966,966,4390,4322,3256,1066,,68,5802,,561,148,,,413,456,0,,,456,55,,,710.0,0,1072,999,999,,,1202,,492,2201,3273,0,4962.0,2.0,4960.0,-812,1223,-15,5358,0,5358,8631,
03/31/2014,8663,1269,1269,0,754,754,0,460,169,31,312,-52,256,33.0,,,,196,2739,442,,,981,981,4501,4350,3307,1043,95.0,56,5924,,547,199,,,348,457,0,,,457,70,,,728.0,0,1074,999,999,,,1189,,461,2188,3262,0,5017.0,2.0,5015.0,-915,1325,-26,5401,0,5401,8663,
06/30/2014,9655,2303,2303,0,864,864,0,441,206,26,261,-52,113,29.0,0.0,21.0,,68,3721,448,1155.0,-707.0,970,970,4516,4327,3311,1016,99.0,69,5934,,646,206,0.0,0.0,440,454,0,0.0,0.0,454,95,0.0,0.0,607.0,0,1195,1990,1990,0.0,0.0,1080,0.0,473,3070,4265,0,5050.0,2.0,5048.0,-1082,1465,-43,5390,0,5390,9655,
09/30/2014,9007,1736,1736,0,731,731,0,495,199,30,318,-52,144,37.0,,,,107,3106,437,,,961,961,4503,4312,3315,997,102.0,89,5901,,527,178,,,349,3,0,,,3,96,,,610.0,0,626,1988,1988,,,1062,,452,3050,3676,0,5072.0,2.0,5070.0,-1185,1541,-97,5331,0,5331,9007,
12/31/2014,9198,1846,1846,0,745,745,0,503,221,26,307,-51,181,34.0,,,,147,3275,435,,,1009,1009,4479,4284,3312,972,104.0,91,5923,,589,177,,,412,4,0,,,4,100,,,610.0,0,693,1988,1988,,,1010,,400,2998,3691,0,5113.0,2.0,5111.0,-1185,1714,-135,5507,0,5507,9198,
