Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,5941.414062,83.417,83.417,0.0,648.268005,,,497.69101,,,,,239.712997,,,,1469.088989,3676.785889,5597.270996,-1920.484985,0.0,,,795.539001,,,,,795.539001,4472.32489,,412.450989,412.450989,,,,605.403015,,,,,,566.821045,,,566.821045,1584.675049,2173.570068,,,,,721.015991,,,,,721.015991,2894.58606,4479.261108,98.260002,460.591003,,,,,903.302002,1462.153008,0.0,1462.153008,5941.414116,
06/30/1990,5912.599121,81.606003,81.606003,0.0,621.93103,,,501.325012,,,,,226.845001,,,,1431.707031,3686.014893,5700.619141,-2014.604004,0.0,,,794.877014,,,,,794.877014,4480.891907,,391.453003,391.453003,,,,321.291992,,,,,,583.917969,,,583.917969,1296.662964,2410.175049,,,,,733.508972,,,,,733.508972,3143.684021,4440.346985,98.025002,452.106995,,,,,922.119995,1472.251991,0.0,1472.251991,5912.598976,
09/30/1990,5622.574219,115.985001,115.985001,0.0,465.673004,,,514.684021,,,,,215.972,,,,1312.313965,3540.583008,5635.765137,-2095.181885,0.0,,,769.677002,,,,,769.677002,4310.26001,,364.071014,364.071014,,,,314.734985,,,,,,610.112946,,,610.112946,1288.918945,2150.231934,,,,,721.820984,,,,,721.820984,2872.052917,4160.971863,98.025002,424.364014,,,,,939.213013,1461.602028,0.0,1461.602028,5622.573891,
12/31/1990,5501.604004,100.919998,100.919998,0.0,453.246002,,,656.848999,,,,,71.223,,,,1282.238037,3311.371094,5378.074219,-2066.702881,0.0,,,907.994995,,,,,907.994995,4219.366089,,326.987,326.987,,,,526.89801,,,,,,589.69104,,,589.69104,1443.57605,1923.31897,,,,,706.263,,,,,706.263,2629.58197,4073.15802,98.025002,429.470001,,,-56.634998,,957.585987,1428.445992,0.0,1428.445992,5501.604012,
03/31/1991,5425.163086,131.304993,131.304993,0.0,391.653992,,,523.757996,,,,,226.977005,,,,1273.69397,3255.5,5375.131836,-2119.63208,0.0,,,895.968994,,,,,895.968994,4151.468994,,345.468994,345.468994,,,,322.011993,,,,,,547.23703,,,547.23703,1214.718018,2090.985107,,,,,710.231018,,,,,710.231018,2801.216125,4015.934143,98.025002,429.470001,,,,,881.734009,1409.229012,0.0,1409.229012,5425.163155,
06/30/1991,5271.22998,84.893997,84.893997,0.0,412.46701,,,497.35199,,,,,214.272995,,,,1208.985962,3178.016113,5347.474121,-2169.458008,0.0,,,884.228027,,,,,884.228027,4062.244141,,328.498993,328.498993,,,,257.200012,,,,,,607.533051,,,607.533051,1193.232056,1945.52002,,,,,716.655029,,,,,716.655029,2662.175049,3855.407104,98.025002,429.509003,,,,,888.289001,1415.823006,0.0,1415.823006,5271.23011,
09/30/1991,5171.225098,88.693001,88.693001,0.0,460.640991,,,509.67099,,,,,197.300003,,,,1256.305054,3036.806885,5285.317871,-2248.510986,0.0,,,878.112976,,,,,878.112976,3914.919861,,336.351013,336.351013,,,,250.475998,,,,,,610.421036,,,610.421036,1197.248047,1815.310059,,,,,728.116028,,,,,728.116028,2543.426086,3740.674133,98.025002,429.510986,,,,,903.015015,1430.551003,0.0,1430.551003,5171.225136,
12/31/1991,5080.092773,72.128998,72.128998,0.0,531.840027,,,638.499023,,,,,76.911003,,,,1319.379028,2986.056885,5308.420898,-2322.364014,0.0,,,774.656982,,,,,774.656982,3760.713867,,354.678009,354.678009,,,,254.065994,,,,,,575.895035,,,575.895035,1184.639038,1777.463013,,,,,730.336975,,,,,730.336975,2507.799988,3692.439026,98.025002,430.03299,,,-56.634998,,916.231006,1387.654,0.0,1387.654,5080.093026,
03/31/1992,5092.650879,76.942001,76.942001,0.0,458.181,,,531.708008,,,,,209.610001,,,,1276.44104,3098.25,5443.995117,-2345.745117,0.0,,,717.960022,,,,,717.960022,3816.210022,,416.415009,416.415009,,,,230.953003,,,,,,587.860992,,,587.860992,1235.229004,1740.03894,,,,,729.164001,,,,,729.164001,2469.202942,3704.431946,98.025002,431.862,,,,,858.33197,1388.218971,0.0,1388.218971,5092.650917,
06/30/1992,5043.458008,93.209,93.209,0.0,418.539001,,,518.203003,,,,,236.085007,,,,1266.036011,3080.9729,5500.962891,-2419.98999,0.0,,,696.448975,,,,,696.448975,3777.421875,,343.471985,343.471985,,,,245.320007,,,,,,615.765991,,,615.765991,1204.557983,1672.043945,,,,,744.622009,,,,,744.622009,2416.665955,3621.223938,98.025002,439.277008,,,,,884.932007,1422.234016,0.0,1422.234016,5043.457954,
