Date,P/Book,Average,High,Low,P/Sales,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
03/31/1988,,,,,,,,,,11.875,,
06/30/1988,,,,,,,,,,16.625,,
09/30/1988,,,,,,,,,,23.0,,
12/31/1988,,,,,,,,,,23.25,,
06/30/1994,3.699835,1641.415956,1641.415956,1641.415956,,,5.374969,,23.037779,13.875,1907.205538,
09/30/1994,4.514343,1965.524346,2432.629549,1599.340958,,,6.404546,,28.204369,17.375,2354.387894,
12/31/1994,6.172479,1914.538367,2287.945547,1697.387924,4.238669,14.477368,4.821189,11.316236,21.691858,13.0,1810.857964,
03/31/1995,3.107823,1819.784998,1994.757927,1534.857948,4.264129,13.525883,4.643872,11.087525,21.698368,12.625,1746.262923,
06/30/1995,2.957299,1759.977304,1910.512916,1614.862929,4.328896,11.816797,4.637845,11.289635,22.325796,12.125,1706.360535,
09/30/1995,3.031529,1791.918508,1903.993917,1689.941034,4.607763,15.036679,4.984379,12.439952,24.877662,12.625,1794.226696,
12/31/1995,2.871866,1680.457442,1827.088947,1448.243034,4.547345,15.172653,5.017663,13.265363,27.440081,12.125,1758.058515,
03/31/1996,3.745914,2198.280216,2530.091083,1889.277183,6.025884,21.676818,6.666893,18.563009,40.713618,16.0,2326.539028,
06/30/1996,3.311501,2189.057891,2441.57353,1948.568521,5.384414,16.438606,6.219963,18.236199,43.184717,14.125,2144.941765,
09/30/1996,2.911245,2015.29431,2243.514532,1914.844526,4.916451,15.85212,5.982022,18.571783,47.143454,12.5,1999.401039,
12/31/1996,3.548178,2076.326301,2525.265053,1818.635284,5.889617,30.99833,7.098393,21.274227,50.561228,15.375,2436.090542,
