Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,297.0,143.0,766.0,513.0,253.0,-623.0,154.0,-3.0,,,,154.0,3.0,-84.0,213.0,-55.0,0.0,55.0,158.0,0.0,0.0,158,-47.0,,111,0.0,,,111.0,0.0,111,0.0,,111,111,,719.887894,0.154167,0.154167,,719.887894,0.154167,0.154167,0.154167,
06/30/1990,312.0,146.0,846.0,498.0,348.0,-700.0,166.0,0.0,,,,163.0,3.0,-87.0,225.0,-57.0,0.0,57.0,168.0,0.0,0.0,168,-50.0,,118,0.0,,,118.0,0.0,118,0.0,,118,118,,720.078003,0.164167,0.164167,,720.078003,0.164167,0.164167,0.164167,
09/30/1990,332.0,160.0,833.0,512.0,321.0,-673.0,172.0,0.0,,,,165.0,7.0,-87.0,245.0,-66.0,0.0,66.0,179.0,0.0,0.0,179,-56.0,,123,0.0,,,123.0,0.0,123,0.0,,123,123,,720.195007,0.170833,0.170833,,720.195007,0.170833,0.170833,0.170833,
12/31/1990,363.0,170.0,866.0,530.0,336.0,-696.0,193.0,0.0,,,,172.0,21.0,-192.0,171.0,-89.0,0.0,89.0,82.0,0.0,0.0,82,-20.0,,62,0.0,,,62.0,0.0,62,0.0,,62,62,,720.359985,0.085833,0.085833,,720.359985,0.085833,0.085833,0.085833,
03/31/1991,350.0,155.0,861.0,560.0,301.0,-706.0,195.0,0.0,,,,186.0,9.0,-97.0,253.0,-73.0,0.0,73.0,180.0,0.0,0.0,180,-53.0,,127,0.0,,,127.0,0.0,127,0.0,,127,127,,720.240005,0.176667,0.176667,,720.240005,0.176667,0.176667,0.176667,
06/30/1991,367.0,169.0,846.0,583.0,263.0,-677.0,198.0,0.0,,,,189.0,9.0,-99.0,268.0,-77.0,0.0,77.0,191.0,0.0,0.0,191,-58.0,,133,0.0,,,133.0,0.0,133,0.0,,133,133,,720.480011,0.184167,0.184167,,720.480011,0.184167,0.184167,0.184167,
09/30/1991,397.0,184.0,857.0,586.0,271.0,-673.0,213.0,0.0,,,,204.0,9.0,-104.0,293.0,-77.0,0.0,77.0,216.0,0.0,0.0,216,-67.0,,149,0.0,,,149.0,0.0,149,0.0,,149,149,,720.480011,0.206667,0.206667,,720.480011,0.206667,0.206667,0.206667,
12/31/1991,404.0,175.0,863.0,603.0,260.0,-688.0,229.0,0.0,,,,213.0,16.0,-107.0,297.0,-84.0,0.0,84.0,213.0,0.0,0.0,213,-67.0,,146,0.0,,,146.0,0.0,146,0.0,,146,146,,720.240005,0.203333,0.203333,,720.240005,0.203333,0.203333,0.203333,
03/31/1992,394.0,162.0,853.0,623.0,230.0,-691.0,232.0,0.0,,,,218.0,14.0,-104.0,290.0,-85.0,0.0,85.0,205.0,0.0,0.0,205,-64.0,,141,0.0,,,141.0,0.0,141,0.0,,141,141,,720.359985,0.195,0.195,,720.359985,0.195,0.195,0.195,
06/30/1992,443.0,198.0,873.0,652.0,221.0,-675.0,245.0,0.0,,,,226.0,19.0,-108.0,335.0,-92.0,0.0,92.0,243.0,0.0,0.0,243,-78.0,,165,0.0,,,165.0,0.0,165,-8.0,,157,157,,720.200012,0.22,0.22,,720.200012,0.22,0.22,0.22,
