Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/03/1992,215.184006,,,-133.257004,,81.927002,,-59.056,,,,,,22.871,-18.477,,18.594,,,-0.117,4.394,0.0,,,,4.394,0.0,,,4.394,0.0,4.394,0.0,,4.394,4.394,,71.428001,0.06,0.06,,71.428001,0.06,0.06,0.06,
07/03/1992,255.404007,,,-160.330002,,95.074005,,-59.742001,,,,,,35.332001,-17.612001,,21.603001,,,-3.991,17.72,0.0,,,,17.719999,0.0,,,17.72,0.0,17.719999,0.0,,17.719999,17.719999,,71.428001,0.25,0.25,,71.428001,0.25,0.25,0.25,
10/02/1992,286.786987,,,-173.570999,,113.215988,,-62.094002,,,,,,51.122002,-20.471001,,21.193001,,,-0.722,30.651001,0.0,,,,30.650999,0.0,,,30.651001,0.0,30.650999,0.0,,30.650999,30.650999,,71.428001,0.43,0.43,,71.428001,0.43,0.43,0.43,
01/01/1993,255.440002,,,-168.531998,,86.908005,,-57.889,,,,,,29.018999,-21.177001,,20.849001,,,0.328,7.841998,0.0,,,,7.842,0.0,,,7.841998,0.0,7.842,0.0,,7.842,7.842,,87.5,0.09,0.09,,87.5,0.09,0.09,0.09,
04/02/1993,270.407013,,,-165.828003,,104.57901,,-65.674004,,,,,,38.904999,-18.740999,,18.719999,,,0.021,20.163999,,,,,20.164,0.0,,,,0.0,20.164,0.0,,20.164,20.164,,103.571999,0.195,0.195,,103.571999,0.195,0.195,0.195,
07/02/1993,276.894989,,,-172.513,,104.381989,,-63.868999,,,,,,40.513,-13.003,,13.239,,,-0.236,27.51,0.0,,,,27.51,0.0,,,27.51,0.0,27.51,0.0,,27.51,27.51,,118.736244,0.235,0.235,,118.736244,0.235,0.235,0.235,
10/01/1993,301.730988,,,-184.175995,,117.554993,,-65.195,,,,,,52.360001,-11.75,,11.15,,,0.6,40.610001,0.0,,,,40.610001,0.0,,,40.610001,0.0,40.610001,0.0,,40.610001,40.610001,,126.571999,0.33,0.33,,126.571999,0.33,0.33,0.33,
12/31/1993,263.757996,,,-173.919998,,89.837997,,-60.125999,,,,,,29.712,-11.258,,11.263,,,-0.005,18.454,0.0,,,,18.454,0.0,,,18.454,0.0,18.454,0.0,,18.454,18.454,,126.592003,0.14,0.14,,126.592003,0.14,0.14,0.14,
03/31/1994,288.656006,,,-177.688995,,110.96701,,-65.357002,,,,,,45.610001,-10.204,,10.3,,,-0.096,35.406,,,,,35.405998,0.0,,,,0.0,35.405998,0.0,,35.405998,35.405998,,126.610001,0.28,0.28,,126.610001,0.28,0.28,0.28,
06/30/1994,291.858002,,,-181.218002,,110.639999,,-62.408001,,,,,,48.231998,-11.382,,11.067,,,0.315,36.849998,0.0,,,,36.849998,3.404,,,33.445998,0.0,33.445999,0.0,,33.445999,33.445999,,126.641998,0.265,0.29,,126.641998,0.265,0.29,0.29,
