Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
02/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,319.417999,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
04/30/2001,501.756989,6.136,6.136,0.0,2.929,,,109.333,0.0,0.0,109.333,0.0,17.136,,,,,,,135.533997,49.050999,67.725998,-18.674999,0.0,317.171997,316.635986,316.635986,0.0,0.536011,366.222996,,81.739998,81.739998,,,,0.0,0.0,0.0,0.0,,,30.284004,,,30.284004,112.024002,0.0,0.0,0.0,0.0,,417.572998,,,,,,417.572998,417.572998,529.597,0.0,-15.866,,,,,-11.974,-27.84,0.0,-27.84,501.757,
07/31/2001,509.023987,7.261,7.261,0.0,3.865,,,122.921997,0.0,0.0,122.921997,0.0,12.183,,,,,,,146.231003,48.389999,72.249001,-23.858999,0.0,314.403015,313.855011,313.855011,0.0,0.548004,362.793015,,105.864998,105.864998,,,,0.0,0.0,0.0,0.0,,,38.349007,,,38.349007,144.214005,0.0,0.0,0.0,0.0,,397.498993,,,,,,397.498993,397.498993,541.712997,0.0,-15.866,,,0.0,,-16.823,-32.689,0.0,-32.689,509.023997,
11/03/2001,601.393005,7.982,7.982,0.0,5.263,,,211.822006,0.0,0.0,211.822006,0.0,12.86,,,,,,,237.927002,51.84,80.596001,-28.756001,0.0,311.626007,317.957001,317.957001,0.0,-6.330994,363.466007,,144.354004,144.354004,,,,0.0,0.0,0.0,0.0,,,43.179001,,,43.179001,187.533005,440.743011,440.743011,0.0,0.0,,5.553,,,,,,5.553,446.296011,633.829016,0.0,-15.866,,,0.0,,-16.57,-32.436,0.0,-32.436,601.393016,
02/02/2002,606.843,80.75,80.75,0.0,5.93,5.93,,138.351,0.0,0.0,138.350998,0.0,11.673,,,,,,,236.704,51.623,85.477,-33.854,0.0,318.516,317.957,317.957,0.0,0.559,370.139,,148.597,148.597,,,,0.0,0.0,0.0,0.0,,,57.0,,,57.0,205.597,,0.0,0.0,0.0,,405.231,,,,,,405.231,405.231,610.828,0.0,-6.201,,,0.0,2.216,0.0,-3.985,0.0,-3.985,606.843,
05/04/2002,647.546997,113.397003,113.397003,0.0,4.924,,,145.990005,0.0,0.0,145.990005,0.0,11.51,,,,,,,275.821014,52.534,91.325996,-38.792,0.0,319.191986,317.957001,317.957001,0.0,1.234985,371.725986,,94.938004,94.938004,,,,0.0,0.0,0.0,0.0,,,47.843994,,,47.843994,142.781998,0.0,0.0,0.0,0.0,,6.295,,,,,,6.295,6.295,149.076998,0.0,491.339996,,,0.0,,7.13,498.469996,0.0,498.469996,647.546994,
08/03/2002,680.296021,152.623001,152.623001,0.0,4.762,,,132.785995,0.0,0.0,132.785995,0.0,12.686,,,,,,,302.856995,58.285999,102.579002,-44.292999,0.0,319.153015,317.957001,317.957001,0.0,1.196014,377.439014,,114.114998,114.114998,,,,0.0,0.0,0.0,0.0,,,55.780998,,,55.780998,169.895996,0.0,0.0,0.0,0.0,,5.762,,,,,,5.762,5.762,175.657996,0.0,491.390015,,,0.0,13.248,0.0,504.638015,0.0,504.638015,680.296011,
11/02/2002,796.622986,125.121002,125.121002,0.0,7.461,,,268.393005,0.0,0.0,268.393005,0.0,12.394,,,,,,,413.368988,64.149002,114.002998,-49.854,0.0,319.105011,317.957001,317.957001,0.0,1.14801,383.254013,,209.490997,209.490997,,,,0.0,0.0,0.0,0.0,,,66.388,,,66.388,275.878998,0.0,0.0,0.0,0.0,,5.842,,,,,,5.842,5.842,281.720998,0.0,491.868988,,,0.0,23.033001,0.0,514.901989,0.0,514.901989,796.622987,
02/01/2003,803.909,232.03,232.03,,6.893,6.893,,161.369,,,,,16.161,,,,,,,416.453,68.394,124.653,-56.259,,319.062,317.957,317.957,0.0,1.105,387.456,,160.378,160.378,,,,0.0,,,,,,86.393,,,86.393,246.771,0.0,,,,,8.463,,,,,,8.463,8.463,255.234,,494.055,,,0.0,54.62,0.0,548.675,,548.675,803.909,
05/03/2003,744.820984,174.477005,174.477005,0.0,5.195,,,156.194,0.0,0.0,156.194,0.0,16.542,,,,,,,352.40799,73.328003,135.600006,-62.271999,0.0,319.084991,317.957001,317.957001,0.0,1.127991,392.412994,,112.185997,112.185997,,,,0.0,0.0,0.0,0.0,,,68.498009,,,68.498009,180.684006,0.0,0.0,0.0,0.0,,8.545,,,,,,8.545,8.545,189.229006,0.0,494.403015,,,-0.042,61.230999,0.0,555.592014,0.0,555.592014,744.82102,
