Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2010,1474.467,86.357,86.357,0,424.544,424.544,0,0,0,0,0,0,105.643,,,98.317,616.544,26.369,75.623,-49.254,0,831.554,785.108,591.966,193.142,,46.446,857.923,,280.067,235.407,,,44.66,206.555,196.0,,,,10.555,71.627,,,66.827,558.249,326.683,326.683,,,,87.212,,,,,87.212,0.0,413.895,972.144,335.074,96.236,0.026,96.21,-175.22,258.651,-12.418,502.323,0,502.323,1474.467,
06/30/2010,1463.663,72.129,72.129,0,243.829,243.829,0,0,0,0,0,0,290.14,,,283.558,606.098,25.864,77.367,-51.503,0,831.701,787.721,592.972,194.749,,43.98,857.565,,260.933,214.535,,,46.398,201.769,192.0,,,,9.769,63.937,,,60.937,526.639,316.814,316.814,,,,86.927,,,,,86.927,0.0,403.741,930.38,339.49,96.223,0.026,96.197,-175.22,283.873,-11.083,533.283,0,533.283,1463.663,
09/30/2010,1503.527,110.773,110.773,0,256.634,256.634,0,0,0,0,0,0,280.24,,,273.139,647.647,25.584,76.514,-50.93,0,830.296,785.683,594.812,190.871,,44.613,855.88,,272.605,226.348,,,46.257,177.801,167.0,,,,10.801,72.875,,,71.675,523.281,323.525,323.525,,,,84.792,,,,,84.792,0.0,408.317,931.598,344.018,97.994,0.066,97.928,-175.22,312.742,-7.605,571.929,0,571.929,1503.527,
12/31/2010,1484.118,114.804,114.804,0,404.163,404.163,0,0,0,0,0,0,100.016,0.0,7.546,95.532,618.983,26.818,83.013,-56.195,0,838.317,795.527,601.666,193.861,,35.244,865.135,,226.82,177.644,26.333,0.0,22.843,155.617,144.0,0.0,0.0,,11.617,78.685,0.0,0.0,78.685,461.122,313.796,313.796,0.0,0.0,,83.255,0.0,0.0,0.0,0.0,83.255,0.0,397.051,858.173,0.0,422.103,0.112,421.991,-175.22,387.163,-8.101,625.945,0,625.945,1484.118,
03/31/2011,1622.221,119.779,119.779,0,532.951,532.951,0,0,0,0,0,0,107.139,,,102.545,759.869,27.097,87.411,-60.314,0,835.255,792.083,602.017,190.066,,43.172,862.352,,309.767,250.765,,,59.002,165.134,154.0,,,,11.134,81.016,,,81.016,555.917,317.287,317.287,,,,81.35,,,,,81.35,0.0,398.637,954.554,0.0,427.961,0.112,427.849,-175.663,419.498,-4.129,667.667,0,667.667,1622.221,
06/30/2011,1618.909,101.2,101.2,0,549.8,549.8,0,0,0,0,0,0,104.272,,,99.858,755.272,27.799,90.77,-62.971,0,835.838,788.395,602.802,185.593,,47.443,863.637,,286.514,234.873,,,51.641,177.243,162.0,,,,15.243,78.231,,,78.231,541.988,285.291,285.291,,,,78.6,,,,,78.6,0.0,363.891,905.879,0.0,436.242,0.112,436.13,-175.663,456.212,-3.761,713.03,0,713.03,1618.909,
09/30/2011,1739.543,137.284,137.284,0,569.53,569.53,0,0,0,0,0,0,80.119,,,75.525,786.933,30.366,90.435,-60.069,0,922.244,876.934,642.799,234.135,,45.31,952.61,,270.615,241.423,,,29.192,165.243,150.0,,,,15.243,168.259,,,168.259,604.117,281.481,281.481,,,,92.121,,,,,92.121,0.0,373.602,977.719,0.0,449.407,0.113,449.294,-175.663,496.726,-8.646,761.824,0,761.824,1739.543,
12/31/2011,2324.492,285.159,285.159,0,761.791,761.791,0,0,0,0,0,0,75.975,0.0,10.394,71.178,1122.925,32.724,93.38,-60.656,0,1168.843,1123.009,823.549,299.46,,35.44,1201.567,,521.124,478.882,10.256,0.0,31.986,420.354,280.0,0.0,0.0,,140.354,180.269,0.0,0.0,180.269,1121.747,278.429,278.429,0.0,0.0,,112.88,0.0,0.0,0.0,0.0,112.88,0.0,391.309,1513.056,0.0,466.317,0.114,466.203,-175.663,534.498,-13.716,811.436,0,811.436,2324.492,
03/31/2012,2560.916,287.119,287.119,0,940.81,940.81,0,0,0,0,0,0,78.851,,,74.514,1306.78,34.227,99.479,-65.252,0,1219.909,1136.899,763.487,373.412,,83.01,1254.136,,574.348,534.111,,,40.237,520.359,341.0,,,,179.359,174.975,,,174.975,1269.682,274.883,274.883,,,,133.31,,,,,133.31,0.0,408.193,1677.875,0.0,486.771,0.114,486.657,-175.663,576.577,-4.644,883.041,0,883.041,2560.916,
06/30/2012,2504.689,255.579,255.579,0,870.796,870.796,0,0,0,0,0,0,71.942,,,67.632,1198.317,35.677,101.875,-66.198,0,1270.695,1184.48,775.749,408.731,,86.215,1306.372,,509.694,474.837,,,34.857,454.873,325.0,,,,129.873,170.64,,,170.64,1135.207,285.95,285.95,,,,141.612,,,,,141.612,0.0,427.562,1562.769,0.0,500.446,0.115,500.331,-175.663,630.978,-13.841,941.92,0,941.92,2504.689,
