Date,Price/T12M FFO per Share,Average,High,Low,Price/T12M Sales per Share,Price/T12M EBITDA per Share,P/Sales,P/Book,Price/Cash Flow per Share,Price/Free Cash Flow per Share,Source: Bloomberg
03/31/1994,,,,,,,,2.279975,,,
06/30/1994,,,,,,,,1.941986,,,
09/30/1994,,,,,,,,1.91241,,,
12/31/1994,13.690476,,,,4.760469,8.683019,4.760469,2.027822,12.149668,,
03/31/1995,12.5,,,,4.243701,7.603851,4.243701,1.942959,11.812202,,
06/30/1995,12.893357,,,,4.221217,7.537494,4.221217,2.095765,11.475686,,
09/30/1995,12.284483,,,,3.879371,6.938875,3.879371,1.927423,12.123548,,
12/31/1995,12.711864,,,,3.977683,7.094782,3.977683,2.055536,11.812883,,
03/31/1996,12.289916,,,,3.793612,6.847047,3.793612,2.039332,10.397438,,
06/30/1996,11.919569,,,,3.645487,6.649396,3.645487,2.024907,10.30558,,
09/30/1996,11.382114,,,,3.453621,6.300785,3.453621,1.862785,8.548932,,
12/31/1996,12.4,,,,3.673207,6.721808,3.673207,1.70481,9.918852,,
03/31/1997,11.434108,,,,3.427529,6.209626,3.427529,1.588806,9.816925,,
06/30/1997,,,,,3.235336,,3.235336,,,,
09/30/1997,,,,,3.382412,,3.382412,1.647877,,,
12/31/1997,,,,,3.133516,,3.133516,1.54699,,,
03/31/1998,,,,,3.188753,,3.188753,,,,
06/30/1998,,,,,3.001228,,3.001228,1.461198,,,
09/30/1998,,,,,2.422278,,2.422278,1.217123,,,
12/31/1998,,,,,2.137005,,2.137005,1.132035,,,
03/31/1999,,,,,1.990546,3.632338,1.990546,1.143924,7.433925,,
06/30/1999,,,,,2.152257,3.683296,2.152257,1.303104,7.421698,,
09/30/1999,,,,,1.940065,3.474734,1.940065,1.269916,6.409965,,
12/31/1999,,,,,1.648289,2.948697,1.648289,1.14986,5.097122,,
03/31/2000,0.02717,,,,1.673501,2.982337,1.673501,1.196487,4.653511,,
06/30/2000,,,,,1.820947,3.687398,1.820947,1.343169,6.346646,,
09/30/2000,30.208332,164.451958,164.451958,164.451958,1.79061,3.211683,1.79061,1.353329,5.708006,164.451958,
12/31/2000,29.222973,149.875418,168.232462,14.517522,1.776433,3.077355,1.776433,1.366715,4.970575,14.517522,
03/31/2001,,15.581114,16.756409,14.433606,2.069997,3.671832,2.069997,1.697294,5.775702,16.667055,
06/30/2001,38.783783,17.15872,18.674976,13.769782,2.386946,4.217856,2.386946,1.947913,6.131355,13.769782,
09/30/2001,38.594594,13.605582,14.387737,13.213233,2.426803,4.209453,2.426803,2.025005,6.071089,14.387737,
12/31/2001,36.0,14.755931,34.949675,14.105625,2.476323,4.178884,2.476323,2.027946,6.4378,34.949675,
03/31/2002,,38.827106,251.188578,33.906039,2.793956,4.626707,2.793956,2.262389,7.325305,251.188578,
06/30/2002,,252.922874,264.826341,242.625331,2.800525,4.642305,2.800525,2.276208,7.214706,,
