Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,209.699997,117.199997,58.5,45.400002,,,45.400002,-11.4,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,151.600006,80.400002,61.599998,38.400002,,,38.400002,-28.799999,-28.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,235.199997,123.300003,59.599998,6.0,,,6.0,46.299999,46.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,140.300003,111.199997,60.599998,-8.9,,,-8.9,-22.6,-22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.300003,,,
03/31/1991,178.199997,120.300003,64.5,46.099998,,,46.099998,-52.700001,-52.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,199.300003,123.199997,63.799999,-6.9,,,-6.9,19.200001,19.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,229.699997,126.099998,66.900002,-10.1,,,-10.1,46.799999,46.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,129.899994,138.699997,70.300003,-12.8,,,-12.8,-66.300003,-66.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.899994,,,
03/31/1992,184.0,-77.900002,69.599998,238.399994,,,238.399994,-46.099998,-46.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,268.5,133.899994,72.099998,20.299999,,,20.299999,42.200001,42.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,217.300003,134.800003,75.199997,8.2,,,8.2,-0.9,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,144.699997,-55.799999,72.099998,216.300003,,,216.300003,-87.900002,-87.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.699997,,,
03/31/1993,186.699997,124.800003,69.5,5.4,,,5.4,-13.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,157.699997,133.300003,71.900002,6.5,,,6.5,-54.0,-54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,220.100006,111.199997,74.199997,7.5,,,7.5,27.200001,27.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,182.199997,141.600006,80.300003,-7.8,,,-7.8,-31.9,-31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.199997,,,
03/31/1994,106.099998,136.199997,79.0,-53.799999,,,-53.799999,-55.299999,-55.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,127.199997,151.5,83.400002,10.0,,,10.0,-117.699997,-117.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,216.800003,141.800003,81.400002,-23.4,,,-23.4,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,463.600006,105.599998,392.100006,-25.799996,,,-25.799996,-59.900002,-59.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.600006,,,
03/31/1995,-76.900002,199.600006,141.199997,-24.299999,,,-24.299999,-393.399994,-393.399994,,,-167.699997,,,,-167.699997,,,,,,,,,,167.699997,,,,,,,,,,,,,,,
06/30/1995,200.199997,307.399994,146.5,-56.900002,,,-56.900002,-196.800003,-196.800003,,,-204.300003,,,,-204.300003,,,,,,,,,,204.300003,,,,,,,,,,,,,,,
09/30/1995,409.700012,367.899994,147.5,-121.599998,,,-121.599998,15.9,15.9,,,-198.100006,,,,-198.100006,,,,,,,,,,198.100006,,,,,,,,,,,,,,,
12/31/1995,398.600006,-841.700012,146.5,1047.400024,,,1047.400024,46.400002,46.400002,,-817.599976,-817.599976,,,,-817.599976,,,,,,,,,,0.0,,,,,,,,,,,,-418.99997,,,
03/31/1996,155.600006,314.799988,139.0,25.700001,,,25.700001,-323.899994,-323.899994,,,-146.899994,,,,-146.899994,,,,,,,,,,146.899994,,,,,,,,,,,,,,,
06/30/1996,542.0,364.700012,140.100006,-85.400002,,,-85.400002,122.599998,122.599998,,,-188.699997,,,,-188.699997,,,,,,,,,,188.699997,,,,,,,,,,,,,,,
