Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Discontinued Operations,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,622.210022,3.816,3.816,0.0,156.093994,,,156.684998,,,,,13.248,,,,,329.842987,212.608002,359.790009,-147.182007,0.0,,,79.759003,,,,,,,,79.759003,292.367004,,60.528999,60.528999,,,,0.0,,,,,,62.507004,,,62.507004,123.036003,174.554993,,,,,27.354,,,,27.354,201.908993,324.944996,0.0,48.769001,,,-4.72,,253.216002,297.265003,0.0,297.265003,622.209999,
06/30/1990,689.573975,3.451,3.451,0.0,172.380997,,,172.733994,,,,,14.998,,,,,363.563995,225.514008,378.255005,-152.740997,0.0,,,100.496002,,,,,,,,100.496002,326.01001,,68.837997,68.837997,,,,0.0,,,,,,64.423004,,,64.423004,133.261002,217.492996,,,,,29.809999,,,,29.809999,247.302996,380.563997,0.0,49.814999,,,-3.318,,262.513007,309.010006,0.0,309.010006,689.574003,
09/30/1990,705.112976,2.583,2.583,0.0,181.248993,,,169.438995,,,,,15.031,,,,,368.302002,238.694,398.493988,-159.800003,0.0,,,98.116997,,,,,,,,98.116997,336.810997,,70.374001,70.374001,,,,0.0,,,,,,66.721001,,,66.721001,137.095001,220.246994,,,,,30.820999,,,,30.820999,251.067993,388.162994,0.0,50.238998,,,-2.555,,269.265999,316.949997,0.0,316.949997,705.112991,
12/31/1990,676.140015,3.303,3.303,0.0,146.235001,,,171.949997,,,,,20.950001,,,,,342.437988,224.845993,380.035004,-155.188995,0.0,,,108.856003,,,,,,,,108.856003,333.701996,,56.231998,56.231998,,,,3.098,,,,,,68.624004,,,68.624004,127.954002,212.811996,,,,,32.77,,,,32.77,245.581996,373.535998,0.0,50.095001,,,-6.757,,259.266003,302.604004,0.0,302.604004,676.140002,
03/31/1991,684.153015,1.481,1.481,0.0,156.376999,,,167.427002,,,,,22.787001,,,,,348.071991,224.705994,384.709991,-160.003998,0.0,,,111.375,,,,,,,,111.375,336.080994,,51.084999,51.084999,,,,0.0,,,,,,72.657997,,,72.657997,123.742996,218.921005,,,,,34.002998,,,,34.002998,252.924004,376.667,0.0,50.0,,,-5.64,,263.125992,307.485992,0.0,307.485992,684.152992,
06/30/1991,682.96698,2.422,2.422,0.0,169.397995,,,158.033005,,,,,20.570999,,,,,350.424011,226.468002,392.144989,-165.677002,0.0,,,106.074997,,,,,,,,106.074997,332.542999,,55.056,55.056,,,,0.0,,,,,,72.365997,,,72.365997,127.421997,206.942001,,,,,33.821999,,,,33.821999,240.764,368.185997,0.0,50.074001,,,-4.458,,269.165001,314.781002,0.0,314.781002,682.966999,
09/30/1991,677.018005,7.087,7.087,0.0,175.979004,,,153.259995,,,,,16.667999,,,,,352.993988,231.141006,407.723999,-176.582993,0.0,,,92.883003,,,,,,,,92.883003,324.02401,,60.73,60.73,,,,0.0,,,,,,76.062008,,,76.062008,136.792007,185.987,,,,,30.195999,,,,30.195999,216.182999,352.975006,0.0,50.195999,,,-3.474,,277.320985,324.042984,0.0,324.042984,677.01799,
12/31/1991,656.104004,5.283,5.283,0.0,126.580002,,,157.281998,,,,,32.558998,,,,,321.70401,234.173004,418.14801,-183.975006,0.0,,,100.226997,,,,,,,,100.226997,334.400001,,39.002998,39.002998,,,,3.224,,,,,,68.343002,,,68.343002,110.57,179.360992,,,,,33.584,,,,33.584,212.944992,323.514992,0.0,50.549,,,-2.3,,284.340009,332.589009,0.0,332.589009,656.104001,
03/31/1992,682.518982,6.768,6.768,0.0,169.524002,,,153.261993,,,,,19.065001,,,,,348.618988,232.985992,421.125,-188.139008,0.0,,,100.914001,,,,,,,,100.914001,333.899994,,53.664001,53.664001,,,,0.0,,,,,,79.345993,,,79.345993,133.009995,132.235001,,,,,33.525002,,,,33.525002,165.760002,298.769997,0.0,90.943001,,,-1.062,,293.868,383.749001,0.0,383.749001,682.518997,
06/30/1992,676.754028,5.526,5.526,0.0,158.966003,,,157.798004,,,,,18.438,,,,,340.727997,232.378006,427.837006,-195.459,0.0,,,103.648003,,,,,,,,103.648003,336.026009,,50.799,50.799,,,,0.0,,,,,,64.841,,,64.841,115.639999,129.695007,,,,,31.711,,,,31.711,161.406008,277.046007,0.0,95.556999,,,-0.305,,304.456001,399.708,0.0,399.708,676.754007,
