Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/31/1995,5.889,3.745,3.12,0.625,0.0,,,0.0,,,,,0.185,,,,3.93,0.884,2.314,-1.43,0.0,1.075,,,,1.075,1.959,,0.252,0.252,,,,0.435,,,,,,1.033,,,,1.033,1.72,0.375,,,,,0.0,,,,,0.0,0.375,2.095,0.0,24.261999,,,0.0,,-20.468,3.793999,0.0,3.793999,5.888999,
01/31/1996,4.747,2.661,2.033,0.628,0.0,,,0.0,,,,,0.285,,,,2.946,0.749,,,0.0,1.052,,,,1.052,1.801,,0.302,0.302,,,,0.414,,,,,,1.375,,,,1.375,2.091,0.289,,,,,0.0,,,,,0.0,0.289,2.38,0.0,24.271999,,,,,-21.905001,2.366999,0.0,2.366999,4.746999,
04/30/1996,21.570999,19.705999,19.077999,0.628,0.0,,,0.0,,,,,0.391,,,,20.097,0.654,,,0.0,0.82,,,,0.82,1.474,,0.28,0.28,,,,0.383,,,,,,0.725,,,,0.725,1.388,0.215,,,,,0.0,,,,,0.0,0.215,1.603,0.0,42.740002,,,0.0,,-22.771999,19.968002,0.0,19.968002,21.571002,
07/31/1996,20.454,18.598001,9.491,9.107,0.0,,,0.0,,,,,0.467,,,,19.065001,0.592,2.551,-1.959,0.0,0.797,,,,0.797,1.389,,0.281,0.281,,,,0.351,,,,,,1.401,,,,1.401,2.033,0.136,,,,,0.0,,,,,0.0,0.136,2.169,0.0,42.860001,,,0.0,,-24.575001,18.285,0.0,18.285,20.454,
10/31/1996,18.292999,16.495,7.288,9.207,0.0,,,0.0,,,,,0.397,,,,16.892,0.632,,,0.0,0.769,,,,0.769,1.401,,0.322,0.322,,,,0.317,,,,,,0.825,,,,0.825,1.464,0.062,,,,,0.0,,,,,0.0,0.062,1.526,0.0,42.918999,,,0.0,,-26.152,16.766998,0.0,16.766998,18.292998,
01/31/1997,17.103001,15.397,8.635,6.762,0.0,,,0.0,,,,,0.232,,,,15.629,0.733,,,0.0,0.741,,,,0.741,1.474,,0.367,0.367,,,,0.298,,,,,,0.595,,,,0.595,1.26,0.001,,,,,0.0,,,,,0.0,0.001,1.261,0.0,43.030998,,,0.0,,-27.188999,15.841999,0.0,15.841999,17.102999,
04/30/1997,15.573,13.695,7.443,6.252,0.0,,,0.0,,,,,0.433,,,,14.128,0.738,,,0.0,0.707,,,,0.707,1.445,,0.335,0.335,,,,0.221,,,,,,1.03,,,,1.03,1.586,0.0,,,,,0.0,,,,,0.0,0.0,1.586,0.0,43.081001,,,0.0,,-29.094,13.987001,0.0,13.987001,15.573001,
07/31/1997,24.26,22.749,16.743,6.006,0.0,,,0.0,,,,,0.232,,,,22.981,0.786,3.3,-2.514,0.0,0.493,,,,0.493,1.279,,0.727,0.727,,,,0.138,,,,,,1.549,,,,1.549,2.414,0.0,,,,,0.0,,,,,0.0,0.0,2.414,0.0,53.673,,,0.0,,-31.827,21.846,0.0,21.846,24.26,
10/31/1997,38.999001,37.475999,31.469999,6.006,0.0,,,0.0,,,,,0.221,,,,37.696999,0.838,3.085,-2.247,0.0,0.464,,,,0.464,1.302,,1.01,1.01,,,,0.056,,,,,,1.276,,,,1.276,2.342,0.0,,,,,0.0,,,,,0.0,0.0,2.342,0.0,67.161003,,,0.0,,-30.504,36.657003,0.0,36.657003,38.999003,
01/31/1998,38.469002,36.674,27.924,8.75,0.0,,,0.0,,,,,0.454,,,,37.127998,0.895,3.253,-2.358,0.0,0.446,,,,0.446,1.341,,0.718,0.718,,,,0.201,,,,,,1.16,,,,1.16,2.079,0.0,,,,,0.0,,,,,0.0,0.0,2.079,0.0,70.101997,,,0.0,,-33.712002,36.389996,0.0,36.389996,38.468996,
