Date,Net Premium Earned (Non-Life & Life),Capital Gains (Losses),Total Investment Income,Other Operating Income,Revenue,Insurance Claims & Charges,Underwriting Costs,Other Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,150.524002,5.528,84.653999,49.905998,290.612,-159.048004,-18.007,-57.497002,56.060001,0.0,0.0,56.060001,-16.973,39.087002,0.0,0.0,39.087002,0.0,,39.087002,,,39.087002,,0.209383,0.209383,187.504866,0.209383,0.209383,0.209383,187.504866,
06/30/1990,151.337997,4.813,84.843002,42.334,283.328003,-159.578003,-17.075001,-52.722,53.952999,0.0,0.0,53.952999,-15.896,38.056999,0.0,0.0,38.056999,0.0,,38.056999,,,38.056999,,0.209383,0.209383,181.910806,0.209383,0.209383,0.209383,181.910806,
09/30/1990,151.608002,10.33,86.245003,42.998001,291.181,-165.240997,-18.160999,-53.692001,54.087002,0.0,0.0,54.087002,-15.715,38.372002,0.0,0.0,38.372002,0.0,,38.372002,,,38.372002,,0.213333,0.213333,179.501066,0.213333,0.213333,0.213333,179.501066,
12/31/1990,203.651001,7.53,86.310997,,297.492004,-166.298996,,-73.704002,57.488998,0.0,0.0,57.488998,-15.368,42.120998,0.0,0.0,42.120998,0.0,,42.120998,,,42.120998,,0.240988,0.240988,175.172631,0.240988,0.240988,0.240988,175.172631,
03/31/1991,150.688995,5.43,86.850998,47.993999,290.963989,-161.878998,-17.632,-54.695999,56.757,0.0,0.0,56.757,-15.224,41.533001,0.0,0.0,41.533001,0.0,,41.533001,,,41.533,,0.239012,0.239012,173.664004,0.239012,0.239012,0.239012,173.664004,
06/30/1991,150.309006,7.736,88.488998,44.222,290.756012,-157.826996,-17.146,-53.59,62.193001,0.0,0.0,62.193001,-18.52,43.673,0.0,0.0,43.673,0.0,,43.673,,,43.673,,0.25284,0.25284,172.950178,0.25284,0.25284,0.25284,172.950178,
09/30/1991,149.110001,10.563,87.508003,42.807999,289.989014,-164.201004,-15.712,-52.507,57.569,0.0,0.0,57.569,-15.17,42.398998,0.0,0.0,42.398998,0.0,,42.398998,,,42.399,,0.244938,0.244938,173.086868,0.244938,0.244938,0.244938,173.086868,
12/31/1991,201.608994,10.234,89.924004,,301.766998,-158.623993,-18.884001,-56.011002,68.248001,0.0,0.0,68.248001,-20.166,48.082001,0.0,0.0,48.082001,0.0,,48.082001,,,48.082001,,0.278519,0.278519,173.102067,0.278519,0.278519,0.278519,173.102067,
03/31/1992,151.498001,8.072,90.291,50.124001,299.984985,-156.871994,-16.691,-57.397999,69.024002,0.0,0.0,69.024002,-19.764999,49.258999,0.0,0.0,49.258999,0.0,,49.258999,,,49.259003,,0.284444,0.284444,173.157743,0.284444,0.284444,0.284444,173.157743,
06/30/1992,146.569,13.459,89.856003,46.262001,296.145996,-158.496994,-17.025,-53.633999,66.989998,0.0,0.0,66.989998,-18.73,48.259998,0.0,0.0,48.259998,0.0,,48.259998,,,48.259998,,0.278519,0.278519,172.735874,0.278519,0.278519,0.278519,172.735874,
09/30/1992,150.386993,13.43,89.973,45.819,299.609009,-158.259003,-16.898001,-53.986,70.466003,0.0,0.0,70.466003,-21.406,49.060001,0.0,0.0,49.060001,0.0,,49.060001,,,49.060003,,0.284444,0.284444,171.743629,0.284444,0.284444,0.284444,171.743629,
12/31/1992,202.617996,13.209,90.762001,,306.588989,-153.507996,-16.892,-57.042999,79.146004,0.0,0.0,79.146004,-22.487,56.659,0.0,0.0,56.659,0.0,,56.659,,,56.659004,0.331852,0.331852,0.331852,170.214743,0.331852,0.331852,0.331852,170.214743,
03/31/1993,153.098007,10.077,90.692001,52.848999,306.716003,-160.143005,-17.872999,-56.789001,71.911003,0.0,0.0,71.911003,-21.976,49.935001,-24.109,0.0,25.826,0.0,,25.826,,,49.935003,,0.293333,0.151111,170.275499,0.293333,0.293333,0.151111,170.275499,
06/30/1993,152.615997,15.148,92.992188,47.301998,308.059998,-162.690994,-18.358999,-50.300999,76.709,0.0,0.0,76.709,-24.468,52.241001,0.0,0.0,52.241001,0.0,,52.241001,,,52.240999,,0.308148,0.308148,170.164121,0.308148,0.308148,0.308148,170.164121,
09/30/1993,148.630997,14.29,92.220001,47.530998,302.671997,-152.979996,-18.388,-52.450001,78.853996,0.0,0.0,78.853996,-26.379999,52.473999,0.0,0.0,52.473999,0.0,,52.473999,,,52.473997,,0.308148,0.308148,169.833372,0.308148,0.308148,0.308148,169.833372,
12/31/1993,215.503006,17.431999,96.241013,,329.175995,-154.005003,-15.462,-65.152,94.557007,0.0,0.0,94.557007,-29.926001,64.631004,0.0,0.0,64.631004,0.0,,64.631004,,,64.631006,0.385185,0.385185,0.385185,168.129007,0.385185,0.385185,0.385182,168.129007,
03/31/1994,140.824997,11.784,92.481003,62.158001,307.247986,-152.363998,-45.578999,-30.122999,79.181999,,0.0,79.181999,-26.783001,52.398998,1.865,0.0,54.264,0.0,,54.264,,,52.398998,,0.317037,0.328889,165.381746,0.317037,0.317037,0.328889,165.381746,
07/01/1994,144.718994,14.855,94.838997,60.054001,314.46701,-159.643997,-43.951,-25.02,85.851997,,0.0,85.851997,-29.568001,56.284,2.087,0.0,58.370998,0.0,,58.370998,,,56.283997,,0.343704,0.355556,164.241005,0.343704,0.343704,0.355556,164.241005,
09/30/1994,141.966995,15.831,93.267998,61.388,312.45401,-158.395004,-40.577,-26.921,86.560997,,0.0,86.560997,-29.658001,56.903,1.896,0.0,58.799,0.0,,58.799,,,56.902996,,0.346667,0.358519,163.518753,0.346667,0.346667,0.358519,163.518753,
12/31/1994,227.791,18.955999,94.608002,39.076,334.640991,-157.459,-42.404995,-38.769001,96.007996,,0.0,96.007996,-31.698,64.309998,3.493,0.0,67.802994,0.0,,67.802994,,,64.309996,0.394074,0.394074,0.414815,163.518753,0.394074,0.394074,0.414815,163.518753,
