Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1992,680.685974,2.261,2.261,0.0,73.098999,,,134.834,,,,,15.884,,,226.078003,101.651001,199.712006,-98.060997,0.0,352.957001,,,,352.957001,454.608002,,28.487,28.487,,,,22.947001,,,,,,38.867002,,,38.867002,90.301003,320.678009,,,,,39.321999,,,,39.321999,360.000008,450.30101,0.0,277.511993,,,,,-47.126999,230.384995,0.0,230.384995,680.686005,
06/30/1992,685.366028,3.902,3.902,0.0,72.745003,,,137.779007,,,,,19.059,,,233.485001,101.601997,206.481995,-104.879997,0.0,350.278992,,,,350.278992,451.880989,,27.077,27.077,,,,22.990999,,,,,,37.322001,,,37.322001,87.389999,320.237,,,,,39.860001,,,,39.860001,360.097,447.487,0.0,277.514008,,,,,-39.634998,237.879009,0.0,237.879009,685.366009,
09/30/1992,683.116028,5.819,5.819,0.0,70.861,,,140.806,,,,,17.906,,,235.391998,99.625999,206.429993,-106.804001,0.0,348.097992,,,,348.097992,447.723991,,26.497999,26.497999,,,,23.028999,,,,,,34.252001,,,34.252001,83.778999,318.304993,,,,,39.959,,,,39.959,358.263992,442.042992,0.0,277.514008,,,,,-36.441002,241.073006,0.0,241.073006,683.115997,
12/31/1992,766.396973,5.205,5.205,0.0,83.319,,,148.102005,,,,,20.861,,,257.487,102.292999,206.925995,-104.633003,0.0,406.617004,,,,406.617004,508.910003,,41.424999,41.424999,,,,29.622999,,,,,,34.895003,,,34.895003,105.943001,458.446014,,,,,52.32,,,,52.32,510.766014,616.709015,0.0,197.238998,,,,,-47.550999,149.687999,0.0,149.687999,766.397014,
03/31/1993,759.322998,3.599,3.599,0.0,91.402,,,145.574005,,,,,15.86,,,256.434998,99.360001,207.688004,-108.328003,0.0,403.528015,,,,403.528015,502.888016,,41.756001,41.756001,,,,30.881001,,,,,,40.699997,,,40.699997,113.336998,440.272003,,,,,52.224998,,,,52.224998,492.497002,605.834,0.0,197.281006,,,,,-43.792,153.489006,0.0,153.489006,759.323006,
06/30/1993,748.992004,4.836,4.836,0.0,90.447998,,,142.585999,,,,,15.775,,,253.645004,95.064003,205.572006,-110.508003,0.0,400.28299,,,,400.28299,495.346992,,43.903,43.903,,,,32.113998,,,,,,36.968002,,,36.968002,112.985001,426.678986,,,,,50.403,,,,50.403,477.081985,590.066986,0.0,197.322998,,,,,-38.397999,158.924999,0.0,158.924999,748.991985,
09/30/1993,742.405029,4.166,4.166,0.0,91.666,,,141.619995,,,,,15.525,,,252.977005,92.205002,207.283005,-115.078003,0.0,397.222992,,,,397.222992,489.427994,,43.466,43.466,,,,34.181999,,,,,,40.929005,,,40.929005,118.577003,407.523987,,,,,50.084999,,,,50.084999,457.608986,576.185989,0.0,197.363998,,,,,-31.145,166.218998,0.0,166.218998,742.404987,
12/31/1993,691.276978,2.885,2.885,0.0,44.598999,,,137.100006,,,,,12.856,,,197.440002,89.675003,206.218002,-116.542999,0.0,404.161987,,,,404.161987,493.83699,,41.203999,41.203999,,,,27.264999,,,,,,31.709003,,,31.709003,100.178001,364.574005,,,,,53.233002,,,,53.233002,417.807007,517.985008,0.0,197.466003,,,,,-24.174,173.292003,0.0,173.292003,691.277011,
03/31/1994,690.585022,3.61,3.61,0.0,53.091,,,136.962997,,,,,13.491,,,207.154999,88.974998,209.914993,-120.940002,0.0,394.454987,,,,394.454987,483.429985,,44.375999,44.375999,,,,14.531,,,,,,39.556997,,,39.556997,98.463997,298.576996,,,,,49.686001,,,,49.686001,348.262997,446.726994,0.0,264.516998,,,,,-20.659,243.857998,0.0,243.857998,690.584991,
06/30/1994,679.981995,1.812,1.812,0.0,52.997002,,,134.173996,,,,,12.436,,,201.419006,89.778,216.535004,-126.757004,0.0,388.785004,,,,388.785004,478.563004,,45.984001,45.984001,,,,13.5,,,,,,34.404999,,,34.404999,93.889,281.238007,,,,,49.466,,,,49.466,330.704006,424.593006,0.0,264.747986,,,,,-9.359,255.388986,0.0,255.388986,679.981992,
09/30/1994,682.072021,4.667,4.667,0.0,57.551998,,,133.024002,,,,,12.411,,,207.654007,89.541,221.367996,-131.826996,0.0,384.877014,,,,384.877014,474.418015,,46.641998,46.641998,,,,15.009,,,,,,48.406001,,,48.406001,110.056999,253.587997,,,,,51.298,,,,51.298,304.885998,414.942997,0.0,264.78299,,,,,2.346,267.128989,0.0,267.128989,682.071986,
12/31/1994,677.054993,4.582,4.582,0.0,58.991001,,,130.634995,,,,,11.629,,,205.837006,88.572998,222.203995,-133.630997,0.0,382.644989,,,,382.644989,471.217987,,47.063,47.063,,,,13.925,,,,,,49.259002,,,49.259002,110.247002,234.251007,,,,,53.812,,,,53.812,288.063007,398.310009,0.0,264.868011,,,,,13.772,278.640011,0.105,278.745011,677.05502,
03/31/1995,695.21698,4.724,4.724,0.0,72.147003,,,134.050003,,,,,13.642,,,224.563004,91.369003,233.141006,-141.772003,0.0,379.285004,,,,379.285004,470.654007,,52.563999,52.563999,,,,29.736,,,,,,64.577,,,64.577,146.876999,195.244003,,,,,55.087002,,,,55.087002,250.331005,397.208004,0.0,264.933014,,,,,33.076,298.009014,0.0,298.009014,695.217018,
06/30/1995,696.177979,6.544,6.544,0.0,73.002998,,,131.007996,,,,,13.544,,,224.098999,95.501999,240.483002,-144.981003,0.0,376.576996,,,,376.576996,472.078995,,52.875999,52.875999,,,,35.75,,,,,,46.916008,,,46.916008,135.542007,195.242004,,,,,51.443001,,,,51.443001,246.685005,382.227013,0.0,265.160004,,,,,48.791,313.951004,0.0,313.951004,696.178017,
09/30/1995,684.020996,3.551,3.551,0.0,66.467003,,,132.259003,,,,,12.856,,,215.132996,94.0,241.578995,-147.578995,0.0,374.888,,,,374.888,468.888,,48.221001,48.221001,,,,8.413,,,,,,54.483995,,,54.483995,111.117996,195.199005,,,,,48.112,,,,48.112,243.311005,354.429001,0.0,265.181,,,,,64.411003,329.592003,0.0,329.592003,684.021004,
12/31/1995,689.924011,12.028,12.028,0.0,67.418999,,,134.753006,,,,,11.516,,,225.716003,94.658997,245.218994,-150.559998,0.0,369.549011,,,,369.549011,464.208008,,51.683998,51.683998,,,,2.67,,,,,,50.049002,,,50.049002,104.403,195.195007,,,,,45.834,,,,45.834,241.029007,345.432007,0.0,265.23999,,,,,78.845001,344.084991,0.407,344.491991,689.923998,
03/31/1996,726.960022,28.259001,28.259001,0.0,78.221001,,,142.936005,,,,,14.098,,,263.514008,97.561996,249.733994,-152.171997,0.0,365.884003,,,,365.884003,463.445999,,52.662998,52.662998,,,,6.437,,,,,,65.399003,,,65.399003,124.499001,195.923004,,,,,45.582001,,,,45.582001,241.505005,366.004005,0.0,265.248993,,,,,95.707001,360.955994,0.0,360.955994,726.959999,
06/30/1996,712.382019,20.936001,20.936001,0.0,77.690002,,,142.005997,,,,,12.756,,,253.388,97.980003,253.272995,-155.292999,0.0,361.014008,,,,361.014008,458.994011,,48.563999,48.563999,,,,6.019,,,,,,42.405999,,,42.405999,96.988998,195.641006,,,,,42.660999,,,,42.660999,238.302006,335.291004,0.0,265.294006,,,,,111.796997,377.091003,,377.091003,712.382008,
09/30/1996,709.640991,2.941,2.941,0.0,71.667999,,,151.901001,,,,,11.364,,,237.873993,100.948997,260.091003,-159.141998,0.0,370.817993,,,,370.817993,471.766991,,46.287998,46.287998,,,,5.842,,,,,,46.546004,,,46.546004,98.676003,200.544006,,,,,38.096001,,,,38.096001,238.640007,337.31601,0.0,265.394012,,,-21.683001,,128.614,372.325012,0.0,372.325012,709.641022,
12/31/1996,710.661987,3.984,3.984,0.0,64.903999,,,153.283005,,,,,11.611,,,233.781998,102.074997,265.184998,-163.110001,0.0,374.804993,,,,374.804993,476.87999,,49.484001,49.484001,,,,7.759,,,,,,39.674998,,,39.674998,96.917999,219.483994,,,,,33.712002,,,,33.712002,253.195996,350.113995,0.0,265.471985,,,-52.671001,,147.746997,360.547981,,360.547981,710.661976,
03/31/1997,731.775024,6.822,6.822,0.0,82.211998,,,161.009995,,,,,12.35,,,262.394012,101.823997,266.190002,-164.365997,0.0,367.557007,,,,367.557007,469.381004,,62.153999,62.153999,,,,9.962,,,,,,56.611006,,,56.611006,128.727005,197.091003,,,,,33.723,,,,33.723,230.814003,359.541008,0.0,265.493011,,,-52.671001,,159.411998,372.234008,,372.234008,731.775016,
06/30/1997,764.890991,10.065,10.065,0.0,82.709,,,163.507004,,,,,13.418,,,269.699005,101.682999,265.807007,-164.123993,0.0,393.509003,,,,393.509003,495.192002,,63.011002,63.011002,,,,0.276,,,,,,61.665001,,,61.665001,124.952003,961.531982,,,,,31.468,,,,31.468,992.999982,1117.951985,0.0,-511.64801,,,0.0,,158.587006,-353.061004,,-353.061004,764.890981,
09/30/1997,747.745972,7.688,7.688,0.0,74.514,,,159.744995,,,,,11.932,,,253.878998,104.097,270.524994,-166.427994,0.0,389.769989,,,,389.769989,493.866989,,60.360001,60.360001,,,,0.205,,,,,,62.457002,,,62.457002,123.022003,938.840027,,,,,30.238001,,,,30.238001,969.078028,1092.100031,0.0,-511.64801,,,0.0,,167.294006,-344.354004,,-344.354004,747.746027,
12/31/1997,737.153992,4.713,4.713,0.0,70.037003,,,167.009995,,,,,13.02,,,254.779999,111.592003,281.376007,-169.783997,0.0,370.782013,,,,370.782013,482.374016,,64.254997,64.254997,,,,0.212,,,,,,52.787001,,,52.787001,117.253998,937.276978,,,,,25.747999,,,,25.747999,963.024977,1080.278975,0.0,-511.563995,,,0.0,,168.438995,-343.125,,-343.125,737.153975,
03/31/1998,747.004028,6.088,6.088,0.0,78.112,,,168.153,,,,,12.667,,,265.019989,113.864998,287.027008,-173.162003,0.0,368.118988,,,,368.118988,481.983986,,62.140999,62.140999,,,,0.112,,,,,,62.255004,,,62.255004,124.508003,931.945984,,,,,25.294001,,,,25.294001,957.239985,1081.747988,0.0,-511.523987,,,0.0,,176.779999,-334.743988,0.0,-334.743988,747.004,
06/30/1998,765.672,2.923,2.923,0.0,86.351997,,,172.783005,22.219,102.709,47.855,,14.464,,,276.522003,117.276001,295.804993,-178.529007,0.0,371.873993,340.007996,,,31.865997,489.149994,,63.476002,63.476002,,,,1.39,1.39,0.0,0.0,,,57.717998,,,57.717998,122.584,943.096985,943.096985,0.0,0.0,,23.805,,,,23.805,966.901985,1089.485985,0.0,-511.449005,,,0.0,,187.634995,-323.81401,0.0,-323.81401,765.671975,
09/30/1998,810.431,2.276,2.276,0.0,94.699,94.699,,179.257,24.174,112.592,42.491,,17.072,,,293.304,126.692,126.692,,0.0,390.435,362.119,362.119,0.0,28.316,517.127,,66.959,66.959,,,,1.792,1.792,0.0,0.0,,,62.413,,,62.413,131.164,957.181,957.181,0.0,0.0,,23.056,,,,23.056,980.237,1111.401,0.0,-499.955,,,0.0,206.591,-7.606,-300.97,0.0,-300.97,810.431,
12/31/1998,807.401001,3.095,3.095,0.0,83.065002,,,184.423996,24.806,114.035004,45.583,0.0,17.089001,,,287.673004,126.778999,316.825989,-190.046997,0.0,392.949005,360.265015,,,32.68399,519.728004,,67.885002,67.885002,,,,1.655,,,,,,54.624999,,,54.624999,124.165001,952.468994,,,,,23.024,,,,23.024,975.492994,1099.657995,0.0,-499.910004,,,0.0,,207.653,-292.257004,0.0,-292.257004,807.400991,
03/31/1999,821.03,3.791,3.791,0.0,97.152,,,184.994995,26.233,115.924004,26.233,16.604991,17.541,,,303.479004,123.359001,313.01001,-189.651001,0.0,394.191986,363.576996,363.576996,0.0,30.61499,517.550987,,72.210999,72.210999,,,,1.714,1.714,0.0,0.0,,,64.989001,,,64.989001,138.914,946.869995,946.869995,0.0,0.0,,24.072001,,,,24.072001,970.941996,1109.855996,0.0,-499.86499,,,0.0,,211.039001,-288.825989,0.0,-288.825989,821.030007,
06/30/1999,829.055,7.861,7.861,0.0,100.440002,,,188.501999,27.385,117.908997,43.208,0.0,20.365999,,,317.169006,121.761017,314.601013,-192.839996,0.0,390.125,363.145996,363.145996,0.0,26.979004,511.886017,,73.886002,73.886002,,,,1.654,1.654,0.0,0.0,,,62.132998,,,62.132998,137.673,945.463989,945.463989,0.0,0.0,,26.278,,,,26.278,971.741989,1109.414989,0.0,-499.820007,,,0.0,,219.460007,-280.36,0.0,-280.36,829.054989,
09/30/1999,848.163,8.969,8.969,0.0,116.462997,,,195.987,28.09,121.426003,46.471001,0.0,19.315001,,,340.734009,122.315002,319.60199,-197.287003,0.0,385.114014,359.747009,359.747009,0.0,25.367005,507.429016,,76.776001,76.776001,,,,1.696,1.696,0.0,0.0,,,69.221999,,,69.221999,147.694,938.221985,938.221985,0.0,0.0,,27.357,,,,27.357,965.578985,1113.272985,0.0,-499.774994,,,0.0,,234.664993,-265.110001,0.0,-265.110001,848.162984,
12/31/1999,836.375977,12.898,12.898,0.0,111.710999,,,189.432999,28.021999,115.231003,46.18,0.0,21.136999,,,335.178986,119.949997,326.872986,-206.923004,0.0,381.247009,360.998993,360.998993,0.0,20.248016,501.197006,,71.495003,71.495003,,,,16.829,16.829,0.0,0.0,,,57.602999,,,57.602999,145.927002,745.65802,745.65802,0.0,0.0,,25.957001,,,,25.957001,771.615021,917.542023,0.0,-318.619995,,,0.0,,237.453995,-81.166,0.0,-81.166,836.376023,
03/31/2000,894.718994,12.56,12.56,0.0,135.218002,,,184.682999,29.063999,115.333,40.285999,0.0,20.599001,,,353.059998,129.552002,343.196991,-213.645004,0.0,412.106995,388.832001,388.832001,0.0,23.274994,541.658997,,81.695,81.695,,,,16.740999,16.740999,0.0,0.0,,,74.364996,,,74.364996,172.800995,751.218018,751.218018,0.0,0.0,,27.174,,,,27.174,778.392018,951.193013,0.0,-311.02301,,,0.0,,254.548996,-56.474014,0.0,-56.474014,894.718999,
06/30/2000,909.554993,14.358,14.358,0.0,141.673996,,,187.742004,31.759001,113.477997,42.505001,0.0,21.615,,,365.389008,135.255005,352.795013,-217.539993,0.0,408.911011,390.188995,390.188995,0.0,18.722016,544.166016,,103.160004,103.160004,,,,49.979,49.979,0.0,0.0,,,70.481998,,,70.481998,223.621002,691.005981,691.005981,0.0,0.0,,25.613001,,,,25.613001,716.618982,940.239984,0.0,-308.600006,,,0.0,,277.915009,-30.684997,0.0,-30.684997,909.554987,
09/30/2000,965.664001,17.400999,17.400999,0.0,157.444,,,194.871994,34.311001,120.399002,40.161999,0.0,22.837999,,,392.554993,148.903,365.777008,-216.873993,0.0,424.205994,405.118988,405.118988,0.0,19.087006,573.108994,,109.983002,109.983002,,,,44.966,44.966,0.0,0.0,,,93.196994,,,93.196994,248.145996,697.244019,697.244019,0.0,0.0,,25.782,,,,25.782,723.026019,971.172015,0.0,-305.488007,,,0.0,,299.980011,-5.507996,0.0,-5.507996,965.664019,
12/31/2000,1004.322021,24.584999,24.584999,0.0,170.222,,,197.626007,37.191002,118.960999,41.473999,0.0,20.237,,,412.670013,160.985001,389.984009,-228.998993,0.0,430.666992,411.182007,411.182007,0.0,19.484985,591.651993,,122.010002,122.010002,,,,28.129999,28.129999,0.0,0.0,,,92.399,,,92.399,242.539001,700.216003,700.216003,0.0,0.0,,32.333,,,,32.333,732.549003,975.088004,0.0,-305.421997,,,0.0,,334.656006,29.234009,0.0,29.234009,1004.322013,
03/31/2001,969.872009,21.973,21.973,0.0,133.839005,,,206.917999,37.676998,115.339996,53.901001,0.0,17.951,,,380.681,160.263,397.528992,-237.266006,0.0,428.928009,409.493988,409.493988,0.0,19.434021,589.191009,,111.224998,111.224998,,,,1.939,1.939,0.0,0.0,,,78.940006,,,78.940006,192.104004,700.184998,700.184998,0.0,0.0,,33.985001,,,,33.985001,734.169999,926.274003,0.0,-305.362,,,0.0,,348.959991,43.597991,0.0,43.597991,969.871994,
06/30/2001,998.578979,17.135,17.135,0.0,139.934006,,,216.839005,41.146999,121.136002,54.556,0.0,18.518999,,,392.427002,161.985992,404.891998,-242.906006,0.0,444.165985,425.451996,425.451996,0.0,18.713989,606.151977,,86.886002,86.886002,,,,59.555,59.555,0.0,0.0,,,67.012993,,,67.012993,213.453995,688.406006,688.406006,0.0,0.0,,32.071999,,,,32.071999,720.478005,933.932,0.0,-305.302002,,,0.0,,369.949005,64.647003,0.0,64.647003,998.579003,
09/30/2001,1043.567993,22.749001,22.749001,0.0,142.291,,,215.447998,36.776001,127.127998,51.543999,0.0,20.018,,,400.506012,163.776993,419.601013,-255.824005,0.0,479.285004,462.36499,462.36499,0.0,16.920014,643.061997,,81.458,81.458,,,,59.467999,59.467999,0.0,0.0,,,70.870998,,,70.870998,211.796997,689.164001,689.164001,0.0,0.0,,32.912998,,,,32.912998,722.076999,933.873996,0.0,-280.242004,,,0.0,,389.936005,109.694001,0.0,109.694001,1043.567997,
12/31/2001,1026.743042,27.975,27.975,0.0,113.370003,,,208.315994,35.807999,119.626999,52.881001,0.0,20.596001,,,370.256989,164.886993,416.088013,-251.201004,0.0,491.598999,460.441986,460.441986,0.0,31.157013,656.485992,,80.500999,80.500999,,,,59.705002,59.705002,0.0,0.0,,,63.193993,,,63.193993,203.399994,660.614014,660.614014,0.0,0.0,,58.796001,,,,58.796001,719.410015,922.810009,0.0,-280.182007,,,0.0,,384.11499,103.932983,0.0,103.932983,1026.742992,
03/31/2002,1022.551025,26.797001,26.797001,0.0,116.450996,,,201.498993,33.752998,114.779999,52.966,0.0,19.239,,,363.985992,160.485992,417.674011,-257.187988,0.0,498.07901,461.549988,461.549988,0.0,36.529022,658.565002,,83.158997,83.158997,,,,54.662998,54.662998,0.0,0.0,,,71.745006,,,71.745006,209.567001,639.948975,639.948975,0.0,0.0,,52.921001,,,,52.921001,692.869976,902.436977,0.0,-280.079987,,,0.0,,400.194,120.114013,0.0,120.114013,1022.55099,
