Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/27/2009,91.172,,,,,,,,,,,3.785,,,,,,,,,,,,,,2.074,,,2.074,2.074,,140.554377,0.014756,0.014756,,179.177268,0.01,,,
09/26/2009,125.712,,,,,,,,,,,15.951,,,,,,,,,,,,,,9.007,,,9.007,9.007,,140.554377,0.064082,0.064082,,179.177268,0.05,,,
12/26/2009,130.884,,,,,,,,,,,13.01,,,,,,,,,,,,,,7.36,,,7.36,7.36,,140.554377,0.052364,0.052364,,179.177268,0.04,,,
04/03/2010,160.331,,,,,,,,,,,23.428,,,,,,,,,,,,,,20.807,,,20.807,20.807,,140.554377,0.148035,0.148035,,179.177268,,,,
07/03/2010,151.516,,,,,,,,,,,17.18,,,,,,,,,,,,,,11.752,,,11.752,11.752,,140.554377,0.083612,0.083612,,179.177268,0.07,,,
10/02/2010,189.369,,,,,,,,,,,32.122,,,,,,,,,,,,,,15.663,,,15.663,15.663,,140.554377,0.111437,0.111437,,179.177268,0.09,,,
01/01/2011,222.452,208.824,13.628,-95.688,95.688,126.764,0.0,-81.833,75.458,6.375,0.0,44.931,1.953,0.468,-2.421,,0.0,46.884,-19.094,27.79,0.0,0.0,0.0,27.79,0.0,27.79,-5.99,0.0,21.8,21.8,0.0,140.554377,0.16,0.16,0.16,179.177268,0.16,0.16,0.16,
04/02/2011,240.003,226.536,13.467,-105.882,105.882,134.121,0.0,-91.487,83.003,7.488,0.996,42.634,-4.757,0.163,4.594,,0.0,37.877,-20.504,17.373,0.0,0.0,0.0,17.373,0.0,17.373,-3.745,0.0,13.628,14.2754,0.6474,140.554377,0.1,0.1,0.101565,179.177268,0.1,0.1,0.101565,
07/02/2011,243.126,232.282,10.844,-106.157,106.157,136.969,0.0,-91.993,83.492,8.501,0.0,44.976,-2.178,0.671,1.507,,0.0,42.798,-18.683,24.115,0.0,0.0,0.0,24.115,0.0,24.115,-5.198,0.0,18.917,18.917,0.0,140.554377,0.13,0.13,0.13,179.177268,0.13,0.13,0.13,
10/01/2011,305.532,287.925,17.607,-130.432,130.432,175.1,0.0,-115.822,107.307,8.515,0.0,59.278,3.247,-0.011,-3.236,,0.0,62.525,-21.919,40.606,0.0,0.0,0.0,40.606,0.0,40.606,-8.975,0.0,31.631,31.631,0.0,146.555601,0.22,0.22,0.22,187.580153,0.22,0.22,0.22,
12/31/2011,373.606,353.988,19.618,-151.701,151.701,221.905,0.0,-157.318,143.4,10.626,3.292,64.587,1.739,0.452,-2.191,,0.0,66.326,-27.295,39.031,0.0,0.0,0.0,39.031,0.0,39.031,-7.032,0.0,31.999,37.703327,5.704327,154.738356,0.2,0.2,0.243659,193.583954,0.2,0.2,0.229467,
03/31/2012,379.99,362.905,17.085,-160.868,160.868,219.122,0.0,-140.281,130.369,9.912,0.0,78.841,-1.674,0.383,1.291,,0.0,77.167,-33.555,43.612,0.0,0.0,0.0,43.612,0.0,43.612,0.0,0.0,43.612,41.612,-2.0,191.184171,0.23,0.23,0.217654,196.855404,0.22,0.22,0.20984,
06/30/2012,414.865,397.37,17.495,-163.865,163.865,251.0,0.0,-139.057,126.002,13.055,0.0,111.943,-0.06,0.435,-0.375,,0.0,111.883,-43.238,68.645,0.0,0.0,0.0,68.645,0.0,68.645,0.0,0.0,68.645,68.7412,0.0962,192.790454,0.36,0.36,0.356559,199.391127,0.34,0.34,0.340482,
09/29/2012,532.935,513.065,19.87,-217.035,217.035,315.9,0.0,-157.972,145.714,12.258,0.0,157.928,-0.28,0.555,-0.275,,0.0,157.648,-59.82,97.828,0.0,0.0,0.0,97.828,0.0,97.828,0.0,0.0,97.828,97.828,0.0,194.323935,0.5,0.5,0.5,200.192291,0.49,0.49,0.49,
12/29/2012,636.778,606.943,29.835,-253.327,253.327,383.451,0.0,-178.612,164.844,13.768,0.0,204.839,-1.798,0.311,1.487,,0.0,203.041,-73.013,130.028,0.0,0.0,0.0,130.028,0.0,130.028,0.0,0.0,130.028,130.0462,0.0182,199.29148,0.65,0.65,0.652543,202.817811,0.64,0.64,0.64009,
03/30/2013,597.154,577.379,19.775,-240.939,240.939,356.215,0.0,-200.911,184.976,15.21,0.725,155.304,-0.749,0.223,0.526,,0.0,154.555,-53.454,101.101,0.0,0.0,0.0,101.101,0.0,101.101,0.0,0.0,101.101,101.6067,0.5057,200.080126,0.51,0.51,0.50783,203.785123,0.5,0.5,0.502482,
06/29/2013,640.859,616.248,24.611,-243.588,243.588,397.271,0.0,-199.709,183.734,15.975,0.0,197.562,-0.428,0.17,0.258,,0.0,197.134,-72.138,124.996,0.0,0.0,0.0,124.996,0.0,124.996,0.0,0.0,124.996,125.07465,0.07865,201.208189,0.62,0.62,0.621618,204.336124,0.61,0.61,0.610385,
09/28/2013,740.303,707.444,32.859,-290.428,290.428,449.875,0.0,-228.415,210.358,18.057,0.0,221.46,-0.148,0.13,0.018,,0.0,221.312,-75.504,145.808,0.0,0.0,0.0,145.808,0.0,145.808,0.0,0.0,145.808,147.02415,1.21615,202.56087,0.72,0.72,0.725827,205.154692,0.71,0.71,0.715928,
12/28/2013,1012.229,964.787,47.442,-392.731,392.731,619.498,0.0,-276.258,254.603,21.655,0.0,343.24,-0.112,0.109,0.003,,0.0,343.128,-113.485,229.643,0.0,0.0,0.0,229.643,0.0,229.643,0.0,0.0,229.643,229.73595,0.09295,203.17538,1.13,1.13,1.130727,206.088062,1.11,1.11,1.110451,
03/29/2014,917.452,882.043,35.409,-368.026,368.026,549.426,0.0,-303.517,278.218,23.967,1.332,245.909,0.164,-0.016,-0.148,,0.0,246.073,-85.035,161.038,0.0,0.0,0.0,161.038,0.0,161.038,0.0,0.0,161.038,164.2646,3.2266,203.387343,0.79,0.79,0.807644,206.97355,0.78,0.78,0.795589,
06/28/2014,919.154,887.037,32.117,-347.521,347.521,571.633,0.0,-294.862,265.864,28.998,0.0,276.771,-0.769,-0.041,1.153,-0.2,-0.143,276.002,-88.286,187.716,0.0,0.0,0.0,187.716,0.0,187.716,0.0,0.0,187.716,188.1957,0.4797,203.749572,0.92,0.92,0.923662,207.176243,0.91,0.91,0.912315,
09/27/2014,1056.605,1009.669,46.936,-411.578,411.578,645.027,0.0,-339.469,305.405,34.064,0.0,305.558,-1.461,0.072,2.395,-0.1,-0.906,304.097,-97.107,206.99,0.0,0.0,0.0,206.99,0.0,206.99,0.0,0.0,206.99,207.6556,0.6656,204.464952,1.01,1.01,1.015605,207.43225,1.0,1.0,1.003209,
12/27/2014,1314.726,1263.226,51.5,-514.583,514.583,800.143,0.0,-381.666,344.174,37.492,0.0,418.477,-1.467,0.116,1.163,0.5,-0.312,417.01,-113.335,303.675,0.0,0.0,0.0,303.675,0.0,303.675,0.0,0.0,303.675,303.701,0.026,202.668541,1.5,1.5,1.498511,205.647816,1.48,1.48,1.480126,
03/28/2015,1080.984,1039.734,41.25,-450.136,450.136,630.848,0.0,-374.681,335.988,37.871,0.822,256.167,2.547,0.068,-0.894,-0.372,-1.349,258.714,-76.072,182.642,0.0,0.0,0.0,182.642,0.0,182.642,0.0,0.0,182.642,186.93785,4.29585,199.828293,0.91,0.91,0.935492,203.195838,0.9,0.9,0.921141,
06/27/2015,986.0,947.3,38.7,-382.4,382.4,603.6,0.0,-355.0,313.4,41.6,0.0,248.6,-1.6,0.1,0.7,0.9,-0.1,247.0,-72.6,174.4,0.0,0.0,0.0,174.4,0.0,174.4,0.0,0.0,174.4,174.79,0.39,196.977021,0.89,0.89,0.887362,200.054494,0.87,0.87,0.871949,
09/26/2015,1130.0,1086.8,43.2,-465.5,465.5,664.5,0.0,-391.4,345.3,46.1,0.0,273.1,-1.9,0.4,1.4,0.0,0.1,271.2,-78.4,192.8,0.0,0.0,0.0,192.8,0.3,193.1,0.0,0.0,193.1,193.82,0.72,188.857398,1.02,1.02,1.026277,191.524156,1.01,1.01,1.013759,
