Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1345.883057,27.842999,13.462,14.381,18.99,,,106.575996,,,,,62.742001,,,,,,216.151001,580.96698,,,,,548.765015,,,,,,548.765015,1129.731995,,145.934006,145.934006,,,,176.684006,,,,,,0.0,,,,0.0,322.618011,959.390991,,,,,160.938995,,,160.938995,1120.329987,1442.947998,,118.612999,,,,,-267.126007,-148.513008,51.448002,-97.065006,1345.882992,
06/30/1990,1522.032959,218.352999,203.945999,14.407,20.704,,,84.959999,,,,,61.256001,,,,,,385.27301,580.979004,,,,,555.781006,,,,,,555.781006,1136.76001,,153.339005,153.339005,,,,146.684006,,,,,,200.0,,,,200.0,500.02301,931.153992,,,,,162.776001,,,162.776001,1093.929993,1593.953003,,118.626999,,,,,-245.671997,-127.044998,55.125,-71.919998,1522.033005,
09/30/1990,1118.302979,269.434002,253.774002,15.66,12.074,,,102.085999,,,,,41.089001,,,,,,424.683014,575.814026,,,,,117.806,,,,,,117.806,693.620026,,282.539001,282.539001,,,,119.932999,,,,,,-1.5e-05,,,,-1.5e-05,402.471985,354.171997,,,,,188.529007,,,188.529007,542.701004,945.172989,,121.752998,,,,,-7.375,114.377998,58.751999,173.129997,1118.302986,
12/31/1990,950.932983,149.174996,130.354996,18.82,13.167,,,70.110001,,,,,41.495998,,,,,,273.947998,564.02002,838.401032,-274.381012,52.483002,,60.481998,,,,,,60.481998,676.98502,,31.795,31.795,,,,120.491997,,,,,,114.482992,,,,114.482992,266.769989,302.031006,,,,,211.813995,,,211.813995,513.845001,780.61499,,121.985001,,,,,-12.413,109.572001,60.745998,170.317999,950.932989,
03/31/1991,944.664001,127.279997,111.450996,15.829,13.59,,,94.183998,,,,,42.533001,,,,,,277.587006,556.049988,,,,,111.027,,,,,,111.027,667.076988,,17.826,17.826,,,,121.720001,,,,,,113.306004,,,,113.306004,252.852005,297.294006,,,,,193.494003,,,193.494003,490.78801,743.640015,,122.027,,,,,14.866,136.893001,64.130997,201.023997,944.664012,
06/30/1991,924.89502,118.505999,102.113998,16.392,8.308,,,98.733002,,,,,42.297001,,,,,,267.843994,548.497009,,,,,108.554001,,,,,,108.554001,657.05101,,28.039,28.039,,,,122.207001,,,,,,94.867006,,,,94.867006,245.113007,268.63501,,,,,195.283005,,,195.283005,463.918015,709.031021,,122.139999,,,,,26.698999,148.838999,67.025002,215.864,924.895021,
09/30/1991,825.482971,56.672001,40.130001,16.542,8.269,,,97.124001,,,,,45.220001,,,,,,207.285004,548.882019,,,,,69.316002,,,,,,69.316002,618.198021,,25.575001,25.575001,,,,122.515999,,,,,,99.170002,,,,99.170002,247.261002,140.248001,,,,,216.207993,,,216.207993,356.455994,603.716995,,123.163002,,,,,28.709999,151.873001,69.892998,221.765999,825.482994,
12/31/1991,818.057007,35.07,18.865,16.205,8.157,,,101.737,,,,,42.530998,,,,,,187.494995,553.877991,910.039978,-356.161987,6.015,,70.668999,,,,,,70.668999,630.56199,,17.063999,17.063999,,,,123.110001,,,,,,95.122005,,,,95.122005,235.296005,112.197998,,,,,196.432999,,,196.432999,308.630997,543.927002,,125.277,,,,,76.170998,201.447998,72.681999,274.129997,818.056999,
03/31/1992,813.315002,27.148999,10.644,16.504999,11.203,,,105.758003,,,,,42.937,,,,,,187.046997,550.085999,,,,,76.181999,,,,,,76.181999,626.267998,,22.921,22.921,,,,123.138,,,,,,83.159994,,,,83.159994,229.218994,84.148003,,,,,196.804001,,,196.804001,280.952003,510.170998,,129.770996,,,,,98.389999,228.160995,74.983002,303.143997,813.314995,
06/30/1992,948.34198,172.884005,155.421005,17.462999,8.902,,,77.125999,,,,,42.873001,,,,,,301.785004,561.885986,,,,,84.670998,,,,,,84.670998,646.556984,,20.643,20.643,,,,97.533997,,,,,,101.565008,,,,101.565008,219.742004,204.923996,,,,,201.393005,,,201.393005,406.317001,626.059006,,132.740997,,,,,112.557999,245.298996,76.984001,322.282997,948.342003,
09/30/1992,945.619019,124.931002,106.941002,17.99,6.262,,,99.119003,,,,,45.987,,,,,,276.299011,583.260986,,,,,86.058998,,,,,,86.058998,669.319984,,24.919001,24.919001,,,,98.532997,,,,,,100.182005,,,,100.182005,223.634003,199.613998,,,,,183.738007,,,183.738007,383.352005,606.986008,,138.688995,,,,,120.616997,259.305992,79.327003,338.632996,945.619003,
12/31/1992,1214.958008,309.038986,291.023987,18.014999,7.579,,,85.931999,,,,,6.103,,,,,,408.653015,657.021973,1082.505982,-425.484009,,,149.283005,,,,,,149.283005,806.304978,,27.297001,27.297001,,,,99.629997,,,,,,116.271,,,,116.271,243.197998,177.0,,,,,186.039993,,,186.039993,363.039993,606.237991,14.375,404.200989,,,,,109.988998,528.564987,80.154999,608.719986,1214.957977,
