Date,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,18.0,,,,0.299551,,0.181543,,
06/30/2008,17.0,,,,0.280899,,0.170871,,
09/30/2008,16.0,,,,0.260841,,0.163549,,
12/31/2008,,,,,0.251618,0.251618,0.152539,0.152539,
03/31/2009,18.0,,,,0.322407,,0.201523,,
06/30/2009,17.0,,,,0.301258,,0.19402,,
09/30/2009,20.0,,,,0.334728,,0.216849,,
12/31/2009,,,,,0.312845,0.312845,0.192134,0.192134,
03/31/2010,21.0,21.0,,,0.391937,0.391937,0.235743,0.235743,
06/30/2010,19.0,19.0,,,0.358965,0.358965,0.21692,0.21692,
09/30/2010,22.0,22.0,,,0.413689,0.413689,0.247999,0.247999,
12/31/2010,,,,,0.094733,,0.056664,,
03/31/2011,4.0,,,,0.07657,,0.045553,,
06/30/2011,7.0,7.0,,,0.136134,0.136134,0.080248,0.080248,
09/30/2011,7.0,7.0,,,0.142712,0.142712,0.085963,0.085963,
12/31/2011,,,,,0.067644,0.067644,0.038936,0.038936,
03/31/2012,3.0,,599.0,,0.071344,,0.040214,,
06/30/2012,5.0,,565.0,,0.127812,,0.070621,,
09/30/2012,5.0,5.0,590.0,590.0,0.1343,0.1343,0.074118,0.074118,
12/31/2012,,,,,0.150421,0.150421,0.073121,0.073121,
09/30/2013,5.0,5.0,553.0,553.0,0.149076,0.149076,0.076699,0.076699,
12/31/2013,,,,,0.134735,0.134735,0.076348,0.076348,
03/31/2014,5.0,5.0,576.0,576.0,0.144134,0.144134,0.080684,0.080684,
06/30/2014,5.0,5.0,599.0,599.0,0.15083,0.15083,0.083181,0.083181,
09/30/2014,5.0,5.0,606.0,606.0,0.155473,0.155473,0.076593,0.076593,
12/31/2014,,,,,0.177999,0.177999,0.077967,0.077967,
03/31/2015,5.0,5.0,616.0,616.0,0.178763,0.178763,0.082754,0.082754,
06/30/2015,5.0,5.0,582.0,582.0,0.16852,0.16852,0.079403,0.079403,
09/30/2015,4.0,4.0,586.0,586.0,0.130933,0.130933,0.065041,0.065041,
12/31/2015,,,,,0.173837,0.173837,0.071352,0.071352,
03/31/2016,2.0,2.0,616.0,616.0,0.085034,0.085034,0.035997,0.035997,
06/30/2016,2.0,2.0,589.0,589.0,0.085616,0.085616,0.033921,0.033921,
09/30/2016,2.0,2.0,605.0,605.0,0.08071,0.08071,0.03314,0.03314,
12/31/2016,,,,,0.111235,0.111235,0.032541,0.032541,
03/31/2017,2.0,2.0,550.0,550.0,0.110193,0.110193,0.033784,0.033784,
06/30/2017,,,601.0,601.0,,,,,
09/30/2017,0.0,0.0,609.0,609.0,0.0,0.0,0.0,0.0,
12/31/2017,,,,,0.0,0.0,0.0,0.0,
03/31/2018,,,586.0,586.0,0.0,0.0,0.0,0.0,
06/30/2018,,,569.0,569.0,,,,,
09/30/2018,9.0,9.0,563.0,563.0,0.517539,0.517539,0.157205,0.157205,
12/31/2018,,,,,0.0,0.0,0.0,0.0,
03/31/2019,,,564.0,564.0,0.0,0.0,0.0,0.0,
06/30/2019,,10.0,591.0,591.0,,0.672043,,0.188573,
09/30/2019,,10.0,589.0,589.0,,0.660939,,0.189609,
12/31/2019,,,,,,0.715308,,0.189466,
03/31/2020,10.0,10.0,524.0,524.0,0.672948,0.672948,0.19084,0.19084,
06/30/2020,,10.0,575.0,575.0,,0.670241,,0.190042,
