Date,Revenue,Sales & Services Revenue,Other Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2007,1488.0,,,,0.0,-802.0,288.0,210.0,,,,514.0,686.0,-3.0,,45.0,,,0.0,-1.0,-41.0,683.0,-259.0,424.0,0.0,,,424.0,0.0,424.0,0.0,0.0,424.0,424.0,,3100.322048,0.1375,0.1375,0.1375,3100.322048,0.1375,0.1375,0.1375,
03/31/2008,1453.0,,,,0.0,-812.0,290.0,215.0,,,,522.0,641.0,-271.0,,41.0,,,0.0,,230.0,370.0,-56.0,314.0,0.0,,,314.0,0.0,314.0,0.0,0.0,314.0,314.0,,3110.952,0.0975,0.0975,0.13,3110.952,0.0975,0.0975,0.13,
06/30/2008,1613.0,,,,0.0,-965.0,356.0,271.0,,,,609.0,648.0,66.0,,30.0,,,0.0,,-96.0,714.0,-292.0,422.0,0.0,,,422.0,0.0,422.0,0.0,0.0,422.0,422.0,,3104.36,0.1275,0.1275,0.1275,3104.36,0.1275,0.1275,0.1275,
09/30/2008,1709.0,,,,0.0,-1024.0,418.0,320.0,,,,606.0,685.0,-1116.0,,27.0,,,,,1089.0,-431.0,75.0,-356.0,,,,-356.0,,-356.0,0.0,0.0,-356.0,-356.0,,3094.716,-0.1125,-0.1125,0.12,3094.716,-0.1125,-0.1125,0.12,
12/31/2008,1739.0,793.0,946.0,,0.0,-773.0,273.0,210.0,63.0,,52.0,448.0,966.0,-13.0,,30.0,,-19.0,,1.0,1.0,953.0,-379.0,574.0,0.0,0.0,0.0,574.0,,574.0,0.0,0.0,574.0,589.555556,15.555556,1784.0,0.321749,0.321749,0.330468,3092.0,0.18564,0.18564,0.190671,
03/31/2009,1647.0,804.0,843.0,,0.0,-766.0,262.0,196.0,66.0,,56.0,448.0,881.0,6.0,,30.0,,-34.0,,-1.0,-1.0,887.0,-352.0,535.0,0.0,0.0,0.0,535.0,1.0,536.0,0.0,0.0,536.0,541.85,5.85,1788.0,0.299776,0.299776,0.303048,3024.0,0.177249,0.177249,0.179183,
06/30/2009,1646.0,769.0,877.0,,0.0,-824.0,325.0,229.0,96.0,,57.0,442.0,822.0,475.0,,30.0,,-504.0,,,-1.0,1297.0,-568.0,729.0,0.0,0.0,0.0,729.0,,729.0,0.0,0.0,729.0,498.5,-230.5,1792.0,0.406808,0.406808,0.278181,3028.0,0.240753,0.240753,0.16463,
09/30/2009,1879.0,808.0,1071.0,,0.0,-1010.0,396.0,283.0,113.0,,61.0,553.0,869.0,-6.0,,25.0,,-18.0,,,-1.0,863.0,-349.0,514.0,0.0,0.0,0.0,514.0,,514.0,0.0,0.0,514.0,540.65,26.65,2970.752,0.17302,0.17302,0.181991,4110.752,0.125038,0.125038,0.131521,
12/31/2009,1960.0,827.0,1133.0,,0.0,-743.0,294.0,216.0,78.0,,62.0,387.0,1217.0,-9.0,,16.0,,-5.0,,,-2.0,1208.0,-445.0,763.0,0.0,0.0,0.0,763.0,,763.0,0.0,0.0,763.0,735.05,-27.95,1872.0,0.407585,0.407585,0.392655,2980.0,0.25604,0.25604,0.246661,
03/31/2010,1959.0,885.0,1074.0,,0.0,-837.0,315.0,238.0,77.0,,62.0,460.0,1122.0,-9.0,,28.0,,-23.0,,,4.0,1113.0,-401.0,712.0,0.0,0.0,0.0,712.0,1.0,713.0,0.0,0.0,713.0,714.3,1.3,1888.0,0.377648,0.377648,0.378337,2968.0,0.240229,0.240229,0.240667,
