Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2000,551,-66,135,,,,,,,,,,-133,-122,0.0,,,-122,,,0,0.0,0.0,,,,,-11,-241,0,-423,,,,0,0.0,0,182,,177,,,
12/31/2000,942,-52,136,,,,,,,,,,-378,-135,0.0,,,-135,,,0,0.0,0.0,,,,,-243,-651,0,-1760,,,,0,,0,1109,,-87,,,
03/31/2001,-816,55,137,,,,,,,,,,-88,-116,0.0,,,-116,,,0,0.0,0.0,,,,,28,940,-23,963,,,,0,0.0,0,0,,36,9.0,26.0,
06/30/2001,432,389,132,,,,,,,,,,-159,-89,0.0,,,-89,,,0,0.0,0.0,,,,,-70,-204,-31,-171,,,,0,0.0,0,-2,,69,84.0,28.0,
09/30/2001,245,-45,145,,,,,,,,,,-99,-87,0.0,,,-87,,,0,0.0,0.0,,,,,-12,-202,-31,135,,,,0,0.0,0,-306,,-56,19.0,27.0,
12/31/2001,755,-104,140,,,,,,,,,,-87,-90,0.0,,,-90,,,0,0.0,0.0,,,,,3,-541,-31,-499,,,,0,0.0,0,-11,,127,62.0,32.0,
03/31/2002,-866,86,110,,,,,,,,,,-49,-51,0.0,,,-51,,,0,0.0,0.0,,,,,2,825,-31,481,,,,37,37.0,0,338,,-90,7.0,17.0,
06/30/2002,519,147,119,,,,,,,,,,-35,-50,0.0,,,-50,,,0,0.0,0.0,,,,,15,-424,-31,-22,,,,26,26.0,0,-397,,60,31.0,10.0,
09/30/2002,548,-165,119,2060.0,,-153.0,2213.0,-453.0,-328.0,-32.0,-93.0,,-49,-48,0.0,,,-48,,,0,0.0,0.0,,,,,-1,-640,-31,-399,,,,0,0.0,0,-210,,-141,36.0,50.0,
12/31/2002,907,61,112,,,,,,,,,,-336,-75,0.0,,,-75,,,0,0.0,0.0,,,,,-261,-279,-32,-242,,,,0,0.0,0,-5,,292,1.0,4.0,
03/31/2003,-713,60,112,65.0,,-7.0,72.0,-950.0,-679.0,-48.0,-223.0,,-47,-36,0.0,,,-36,,,0,0.0,0.0,,,,,-11,412,-31,448,,,,0,0.0,0,-5,,-348,4.0,39.0,
06/30/2003,575,295,113,-2.0,,,-2.0,169.0,-1089.0,87.0,1171.0,,-38,-40,3.0,,,-43,,,0,0.0,0.0,,,,,2,-306,-32,-274,,,,3,3.0,0,-3,,231,25.0,2.0,
11/30/2003,661,-97,114,254.0,,139.0,115.0,390.0,981.0,-123.0,-468.0,,175,-44,7.0,,,-51,,,0,0.0,0.0,,,,,219,-81,-34,-19,,,,-27,28.0,-55,-1,,755,54.0,7.0,
02/29/2004,-444,154,114,46.0,,107.0,-61.0,-758.0,-503.0,44.0,-299.0,,-321,-49,3.0,,,-52,,,0,0.0,0.0,,,,,-272,27,-34,23,,,,40,91.0,-51,-2,,-738,-27.0,27.0,
05/31/2004,-105,252,112,-13.0,,-33.0,20.0,-456.0,-974.0,102.0,416.0,,206,-31,14.0,,,-45,,,0,0.0,0.0,,,,,237,-72,-35,-53,,,,17,44.0,-27,-1,,29,19.0,4.0,
08/31/2004,237,-42,112,-452.0,,-297.0,-155.0,619.0,-973.0,272.0,1320.0,,-646,-138,,,,-138,,,0,0.0,0.0,,,,,-508,-221,-72,8,,,,-147,37.0,-184,-10,,-630,5.0,69.0,
11/30/2004,769,-40,109,22.0,,-249.0,271.0,678.0,893.0,-221.0,6.0,,1,-39,0.0,,,-39,,,0,0.0,0.0,,,,,40,-254,-38,-225,,,,10,45.0,-35,-1,,516,15.0,9.0,
02/28/2005,-316,373,112,128.0,,106.0,22.0,-929.0,-828.0,64.0,-165.0,,46,-44,0.0,,,-44,,,0,0.0,0.0,,,,,90,-187,-46,-147,,,,8,47.0,-39,-2,,-457,16.0,39.0,
05/31/2005,80,47,127,417.0,,53.0,364.0,-511.0,-982.0,147.0,324.0,,-1418,-61,0.0,,,-61,,,0,0.0,0.0,,,,,-1357,709,-45,779,,,,-23,52.0,-75,-2,,-629,19.0,15.0,
08/31/2005,1204,-125,140,73.0,,4.0,69.0,1116.0,1311.0,16.0,-211.0,,-296,-137,0.0,,,-137,,,0,0.0,0.0,,,,,-159,-850,-45,-682,,,,-56,29.0,-85,-67,,58,33.0,65.0,
11/30/2005,773,59,133,108.0,,38.0,70.0,473.0,825.0,-221.0,-131.0,,-135,-56,0.0,,,-56,,,0,0.0,0.0,,,,,-79,-157,-46,-147,,,,27,27.0,0,9,,481,26.0,17.0,
02/28/2006,-442,440,126,89.0,,135.0,-46.0,-1097.0,-889.0,14.0,-222.0,,-331,-92,9.0,,,-101,,,0,0.0,0.0,,,,,-239,348,-54,340,,,,75,75.0,0,-13,,-425,47.0,46.0,
