Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/24/1990,4558.758789,,-3551.531982,,1007.226807,,-887.330994,,,,,,119.896004,-132.922002,,133.761002,,0.0,,-0.839,-13.025998,2.761,-10.265,0.0,,,-10.264998,0.0,-10.265,0.0,,-10.265,-10.265,,672.768005,-0.015,-0.015,,672.768005,-0.015,-0.015,-0.015,
06/16/1990,4742.387207,,-3654.774902,,1087.612305,,-916.424988,,,,,,171.186996,-129.065997,,130.199997,,0.0,,-1.134,42.120999,-16.863001,25.257999,0.0,,,25.257999,0.0,25.257999,0.0,,25.257999,25.257999,,675.271973,0.0375,0.0375,,675.271973,0.0375,0.0375,0.0375,
10/06/1990,5974.326172,,-4637.332031,,1336.994141,,-1163.812012,,,,,,173.182007,-168.463003,,169.856003,,0.0,,-1.393,4.719004,-4.255,0.464,0.0,,,0.464004,0.0,0.464,0.0,,0.464,0.464,,676.927979,0.00125,0.00125,,676.927979,0.00125,0.00125,0.00125,
12/29/1990,4985.501953,,-3826.031982,,1159.469971,,-950.215027,,,,,,209.255005,-100.866007,,129.988007,,0.0,,-29.122,108.388998,-40.556,67.833,0.91,,,66.922998,0.0,66.922997,0.0,,66.922997,66.922997,,682.403992,0.0975,0.09875,0.09875,682.403992,0.0975,0.09875,0.09875,
03/23/1991,4907.130859,,-3789.111084,,1118.019775,,-972.124023,,,,,,145.895996,-125.206997,,125.866997,,0.0,,-0.66,20.688999,-9.907,10.782,5.426,,,5.355999,0.0,5.356,0.0,,5.356,5.356,,715.184021,0.0075,0.015,,715.184021,0.0075,0.015,0.015,
06/15/1991,5086.387207,,-3922.846924,,1163.540283,,-989.406982,,,,,,174.132996,-123.719999,,124.792999,,0.0,,-1.073,50.412996,-18.181,32.231998,1.633,,,30.598997,0.0,30.599001,0.0,,30.599001,30.599001,,725.656006,0.0425,0.045,,725.656006,0.0425,0.045,0.045,
10/05/1991,6228.362793,,-4812.868164,,1415.494629,,-1226.534058,,,,,,188.960999,-161.195993,,162.414993,,0.0,,-1.219,27.765005,-11.202,16.563,2.079,,,14.484006,0.0,14.484,0.0,,14.484,14.484,,722.679993,0.02,0.0225,,722.679993,0.02,0.0225,0.0225,
12/28/1991,5128.648926,,-3955.753906,,1172.89502,,-982.171997,,,,,,190.723007,-120.995001,,122.096001,,0.0,,-1.101,69.728006,-28.611,41.117001,11.7,,,29.417006,0.0,29.417,0.0,,29.417,29.417,,704.955992,0.04125,0.0575,0.0575,704.955992,0.04125,0.0575,0.0575,
03/21/1992,5038.493164,,-3883.768066,,1154.725098,,-1006.640015,,,,,,148.085007,-112.887001,,112.887001,,0.0,,0.0,35.198006,-14.221,20.976999,30.27,,,-9.292994,0.0,-9.293,0.0,,-9.293,-9.293,,721.416016,-0.01375,0.02875,,721.416016,-0.01375,0.02875,0.02875,
06/13/1992,5072.22998,,-3925.278076,,1146.951904,,-1024.390991,,,,,,122.560997,-110.037003,,110.037003,,0.0,,0.0,12.523994,-7.997,4.527,33.895,,,-29.368006,0.0,-29.368,0.0,,-29.368,-29.368,,729.616028,-0.04,0.00625,,729.616028,-0.04,0.00625,0.00625,
