Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,1629.0,,-1191.0,,438.0,,-319.0,,,,,119,-5.0,,45.0,,,,-40.0,114.0,-33.0,,,81,0.0,,,81.0,-5.0,76,0.0,,76,76.0,,34.256799,2.2,2.2,2.2,34.2746,2.2,2.2,2.2,
06/30/1997,1892.0,,-1338.0,,554.0,,-343.0,,,,,211,-52.0,,53.0,,,,-1.0,159.0,-49.0,,,110,0.0,,,110.0,-6.0,104,0.0,,104,104.0,,33.956,3.05,3.05,2.4,34.034,3.05,3.05,2.4,
09/30/1997,1831.0,,-1311.0,,520.0,,-318.0,,,,,202,-35.0,,59.0,,,,-24.0,167.0,-56.0,,,111,0.0,,,111.0,-6.0,105,0.0,,105,105.0,,33.990799,3.1,3.1,3.1,34.184399,3.1,3.1,3.1,
12/31/1997,1868.0,,-1366.0,,502.0,,-368.0,,,,,134,-26.0,,59.0,,,,-33.0,108.0,-25.0,,,83,46.0,,,37.0,-7.0,30,0.0,,30,30.0,,33.960001,0.9,2.25,2.35,34.079999,0.85,2.2,2.3,
03/31/1998,800.0,,-1268.0,,-468.0,,-630.0,,,,,170,-72.0,56.0,56.0,,,,16.0,98.0,-47.0,,,43,-32.0,,,83.0,-8.0,75,0.0,,75,75.0,,33.9084,2.21,1.26,1.26,34.0132,2.2,1.26,1.26,
06/30/1998,1606.0,,-1086.0,,520.0,,-292.0,,,,,228,-51.0,51.0,,,,,0.0,177.0,-55.0,,,122,-23.0,,,145.0,-8.0,137,0.0,,137,137.0,,33.8348,4.04,1.88,2.03,33.974,4.03,1.88,2.03,
09/30/1998,809.0,,-570.0,,239.0,,-158.0,,,,,81,-19.0,19.0,19.0,,,,0.0,62.0,7.0,,,69,-40.0,,,109.0,-6.0,103,0.0,,103,103.0,,33.5972,3.09,1.85,1.54,33.6564,3.08,1.84,1.54,
12/31/1998,769.0,,,,,,-741.0,,,,,28,-81.0,57.0,57.0,,,,24.0,-53.0,,,,-53,7.0,,,,,-60,0.0,,-60,-60.0,,33.46,-1.8,-1.57,1.586,33.5,-1.8,-1.57,0.33,
03/31/1999,789.0,,-585.0,,204.0,,-151.0,,,,,53,-17.0,19.0,19.0,,0.0,,-2.0,36.0,-14.0,,,22,307.0,,,-285.0,-6.0,-291,0.0,,-291,-291.0,,33.3488,-8.72,0.47,0.57,33.4362,-8.72,0.47,0.57,
06/30/1999,868.0,,-627.0,,241.0,,-150.0,,,,,91,-17.0,23.0,23.0,,0.0,,-6.0,74.0,-30.0,,,44,-55.0,,,99.0,-7.0,92,0.0,0.0,92,92.0,,33.423999,2.74,1.07,1.07,33.5,2.73,1.06,1.06,
09/30/1999,816.0,,-600.0,,216.0,,-151.0,,,,,65,-14.0,16.0,16.0,,,,-2.0,51.0,-16.0,,,35,-12.0,,,47.0,-8.0,39,0.0,,39,39.0,,33.4919,1.18,0.86,0.86,33.54506,1.18,0.86,0.86,
12/31/1999,806.0,,-615.0,,191.0,,-265.0,,,,,-74,-45.0,48.0,48.0,,0.0,,-3.0,-119.0,-22.0,,,-141,120.0,,,-261.0,-2.0,-263,0.0,0.0,-263,-263.0,,33.6,-7.83,-4.25,0.22,33.8,-7.83,-4.25,0.22,
03/31/2000,878.0,,-672.0,,206.0,,-160.0,,,,,46,-44.0,,45.0,,0.0,,-1.0,2.0,1.0,,,3,0.0,,,3.0,-2.0,1,0.0,0.0,1,1.0,,33.700001,0.03,0.03,0.03,33.900002,0.03,0.03,0.03,
06/30/2000,942.0,,-712.0,,230.0,0.0,-162.0,111.0,,,51.0,68,-48.0,48.0,,,,,0.0,20.0,-5.0,,,15,,,,15.0,,15,,0.0,15,15.0,,34.358776,0.42,0.42,0.42,34.561073,0.42,0.42,0.42,
09/30/2000,865.0,,-678.0,,187.0,,-140.0,,,,,47,-46.0,46.0,46.0,,0.0,,0.0,1.0,5.0,,,6,1.0,,,5.0,,5,,,5,5.0,,35.054961,0.16,0.16,0.17,35.217995,0.15,0.15,0.16,
12/31/2000,843.0,,-714.0,,129.0,,-158.0,,,,,-29,-60.0,47.0,47.0,,0.0,,13.0,-89.0,26.0,,,-63,0.0,,,-63.0,0.0,-63,0.0,0.0,-63,-63.0,,35.700001,-1.74,-1.74,-0.56,35.900002,-1.74,-1.74,-0.56,
03/31/2001,864.0,,-706.0,,158.0,,-151.0,,,,,7,-48.0,,47.0,,0.0,,1.0,-41.0,10.0,,,-31,0.0,,,-31.0,0.0,-31,0.0,0.0,-31,-31.0,,36.591999,-0.84,-0.84,-0.44,36.750999,-0.84,-0.84,-0.44,
06/30/2001,925.0,,-732.0,,193.0,0.0,-146.0,95.0,,,51.0,47,-43.0,43.0,,,,,0.0,4.0,-1.0,,,3,,,,3.0,-1.0,2,,0.0,2,2.0,,37.396712,0.06,0.06,0.06,37.556085,0.06,0.06,0.06,
09/30/2001,817.0,,-638.0,,179.0,,-141.0,,,,,38,-43.0,42.0,42.0,,0.0,,1.0,-5.0,3.0,,,-2,0.0,,,-2.0,0.0,-2,0.0,0.0,-2,-2.0,,38.066,-0.06,-0.06,-0.06,38.247,-0.06,-0.06,-0.06,
