Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2014,2201.0,4325,6526,0.0,7,7,26.685257,52.436954,79.122211,10.042433,19.73354,29.775973,
03/31/2015,2365.0,3955,6320,0.0,9,9,27.372685,45.775463,73.148148,10.474335,17.516276,27.990611,
06/30/2015,1842.0,10723,12565,0.0,23,23,14.458399,84.167975,98.626374,6.844785,39.84616,46.690944,
09/30/2015,898.0,12340,13238,0.0,25,25,6.795823,93.385803,100.181626,3.2191,44.235733,47.454832,
12/31/2015,26.0,11795,11821,0.0,25,25,0.188967,85.725707,85.914674,0.090025,40.839999,40.930023,
03/31/2016,1943.0,11130,13073,0.0,107,107,14.288866,81.850272,96.139138,6.593146,37.767221,44.360366,
06/30/2016,23.0,11826,11849,,85,85,0.166462,85.590215,85.756677,0.075087,38.607946,38.683034,
09/30/2016,18.0,12648,12666,0.0,43,43,0.126832,89.120631,89.247463,0.057405,40.336778,40.394183,
12/31/2016,17.0,12768,12785,,59,59,0.115552,86.786297,86.901849,0.051355,38.570522,38.621877,
03/31/2017,19.0,14362,14381,0.0,85,85,0.129906,98.194995,98.324901,0.056728,42.880602,42.93733,
06/30/2017,17.0,14938,14955,0.0,150,150,0.113348,99.599947,99.713295,0.048172,42.329272,42.377444,
09/30/2017,,13574,13574,,214,214,0.0,87.960083,87.960083,0.0,35.947141,35.947141,
12/31/2017,,13305,13305,,218,218,0.0,83.187445,83.187445,0.0,32.631088,32.631088,
03/31/2018,,15128,15128,,197,197,0.0,103.326276,103.326276,0.0,35.745003,35.745003,
06/30/2018,,15275,15275,,208,208,,101.704508,101.704508,,36.650911,36.650911,
09/30/2018,,15533,15533,,24,24,0.0,102.765465,102.765465,0.0,35.525112,35.525112,
12/31/2018,,16904,16904,,67,67,0.0,109.866112,109.866112,0.0,39.010431,39.010431,
03/31/2019,873.0,17109,17982,0.0,68,68,5.759715,112.878538,118.638253,1.886344,36.968453,38.854797,
06/30/2019,1567.0,17753,19320,0.0,87,87,9.7094,110.00062,119.710019,3.238205,36.686574,39.924779,
09/30/2019,1287.0,17778,19065,0.0,69,69,7.808045,107.85658,115.664624,2.562571,35.398124,37.960695,
12/31/2019,1314.0,17602,18916,0.0,122,122,7.761829,103.975427,111.737256,2.559757,34.289833,36.84959,
03/31/2020,1151.0,14855,16006,0.0,209,209,7.188808,92.779964,99.968771,2.121033,27.374415,29.495448,
06/30/2020,2041.0,20958,22999,0.0,55,55,11.541506,118.513911,130.055417,3.231169,33.179242,36.410411,
