Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,(Income) Loss from Affiliates,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,15.967001,-0.601,0.185,0.0,0.185,-0.786,16.568001,0.0,,,,16.568001,0.0,0.0,15.967001,-13.007,0.0,13.007,2.96,0.0,,0.0,2.96,-0.546,,,,2.414,0.0,,,2.414,-1.74,0.674,0.0,,0.674,0.674,,0.7725,0.873333,0.873333,0.873333,10.2495,0.066667,0.066667,0.066667,
06/30/1997,15.634,-0.668,0.253,0.0,0.253,-0.921,16.302,0.0,,,,16.302,0.0,0.0,15.634,-14.161,0.0,14.161,1.473,0.0,,0.0,1.473,0.451,,,,1.924,0.0,,,1.924,-1.892,0.032,0.0,,0.032,0.032,,0.8625,0.04,0.04,0.04,10.2855,0.003333,0.003333,0.003333,
09/30/1997,19.786,-0.624,0.376,0.0,0.376,-1.0,20.41,0.0,,,,20.41,0.0,0.0,19.786,-17.139999,0.0,17.139999,2.646,0.0,,0.0,2.646,-0.126,,,,2.52,0.0,,,2.52,-2.393,0.127,0.0,,0.127,0.127,,0.903,0.14,0.14,0.14,10.293,0.013333,0.013333,0.013333,
12/31/1997,36.595,-5.412,0.36,0.0,0.36,-5.772,42.007,0.0,,,,42.007,0.0,0.0,36.595,-28.417999,0.0,28.417999,8.177,0.0,,0.0,8.177,-1.143,,,,7.034,10.011,,,-2.977,-6.224,-9.201,0.0,,-9.201,-9.201,,11.001,-0.833333,0.073333,0.073333,18.516,-0.5,0.046667,0.046667,
03/31/1998,42.649,-3.074,0.311,0.0,0.311,-3.074,45.723,0.0,,,,45.723,0.0,0.0,42.649,-29.030001,0.0,29.030001,13.93,0.0,,0.0,14.874,-2.975,,,,10.955,0.0,,,11.899,-6.493,4.462,0.0,,4.462,4.462,,26.392499,0.166667,0.166667,0.166667,27.264001,0.166667,0.166667,0.166667,
06/30/1998,53.186999,-3.399,0.53,0.0,0.53,-3.929,56.585999,0.0,,,,56.585999,0.0,0.0,53.186999,-34.353001,0.0,34.353001,18.834,0.0,,0.0,19.716,-3.943,,,,14.891,0.0,,,15.773,-8.976,5.915,0.0,,5.915,5.915,,26.4315,0.226667,0.226667,0.226667,29.574,0.2,0.2,0.2,
09/30/1998,52.827998,-3.064,0.5,0.0,0.5,-3.564,55.891998,0.0,,,,55.891998,0.0,0.0,52.827998,-34.542999,0.0,34.542999,18.285,0.0,,0.0,18.285,-3.909,,,,14.376,0.0,,,14.376,-8.512,5.864,0.0,,5.864,5.864,,26.442,0.22,0.22,0.22,29.320501,0.2,0.2,0.2,
12/31/1998,78.166999,-2.126,0.91,0.0,0.91,-3.036,80.292999,0.0,,,,80.292999,0.0,0.0,78.166999,-47.787998,0.0,47.787998,30.379,0.0,,0.0,30.379,-6.207,,,,24.172001,0.0,,,24.172,-14.862,9.31,0.0,,9.31,9.31,,26.238001,0.353333,0.353333,0.353333,29.040001,0.32,0.32,0.32,
03/31/1999,65.593999,-2.533,0.912,0.0,0.912,-3.445,68.126999,0.0,,,,68.126999,0.0,0.0,65.593999,-42.279999,0.0,42.279999,23.313999,0.0,,0.0,23.313999,-5.242,,,,18.072001,0.0,,,18.071999,-10.528,7.544,0.0,0.0,7.544,7.544,,28.534501,0.266667,0.266667,0.266667,31.089,0.24,0.24,0.24,
06/30/1999,76.512003,-2.065,0.746,0.0,0.746,-2.811,78.577003,0.0,,,,78.577003,0.0,0.0,76.512003,-48.339001,0.0,48.339001,28.173,0.0,,0.0,28.173,-6.612,,,,21.561001,0.0,,,21.561,-12.046,9.515,0.0,0.0,9.515,9.515,,34.917,0.273333,0.273333,0.273333,35.1405,0.273333,0.273333,0.273333,
