Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1992,4484.0,65.0,5.0,60.0,812.0,,,,,,,,237.0,,,,1114.0,2647.0,4173.0,-1526.0,0.0,,,723.0,,,,,723.0,3370.0,,161.0,161.0,,18.0,,,,,,969.0,,,969.0,1148.0,817.0,,,,,501.0,,,,,501.0,1318.0,2466.0,0.0,26.0,,,0.0,,1992.0,2018.0,0.0,2018.0,4484.0,
06/30/1992,4484.0,106.0,67.0,39.0,771.0,,,,,,,,232.0,,,,1109.0,2643.0,4215.0,-1572.0,0.0,,,732.0,,,,,732.0,3375.0,,143.0,143.0,,14.0,,,,,,946.0,,,946.0,1103.0,760.0,,,,,514.0,,,,,514.0,1274.0,2377.0,0.0,26.0,,,0.0,,2081.0,2107.0,0.0,2107.0,4484.0,
09/30/1992,4503.0,118.0,91.0,27.0,757.0,,,,,,,,240.0,,,,1115.0,2627.0,4244.0,-1617.0,0.0,,,761.0,,,,,761.0,3388.0,,144.0,144.0,,14.0,,,,,,930.0,,,930.0,1088.0,778.0,,,,,521.0,,,,,521.0,1299.0,2387.0,0.0,26.0,,,0.0,,2090.0,2116.0,0.0,2116.0,4503.0,
12/31/1992,3764.0,0.0,0.0,0.0,636.0,,,107.0,,,,,120.0,,,,863.0,2175.0,3723.0,-1548.0,0.0,,,726.0,,,,,726.0,2901.0,,131.0,131.0,,14.0,,,,,,498.0,,,498.0,643.0,689.0,,,,,416.0,,,,,416.0,1105.0,1748.0,0.0,517.0,,,0.0,,1499.0,2016.0,0.0,2016.0,3764.0,
04/01/1993,3783.0,29.0,29.0,0.0,634.0,,,108.0,,,,,121.0,,,,892.0,2154.0,3726.0,-1572.0,0.0,,,737.0,,,,,737.0,2891.0,,123.0,123.0,,14.0,,,,,,561.0,,,561.0,698.0,676.0,,,,,421.0,,,,,421.0,1097.0,1795.0,0.0,26.0,,,0.0,,1962.0,1988.0,0.0,1988.0,3783.0,
06/30/1993,1302.0,373.0,312.0,61.0,39.0,,,0.0,,,,,158.0,,,,570.0,304.0,483.0,-179.0,345.0,,,83.0,,,,,83.0,732.0,,160.0,160.0,,14.0,,,,,,477.0,,,477.0,651.0,1.0,,,,,74.0,,,,,74.0,75.0,726.0,0.0,27.0,,,0.0,,549.0,576.0,0.0,576.0,1302.0,
09/30/1993,1638.0,593.0,409.0,184.0,44.0,,,0.0,,,,,154.0,,,,791.0,306.0,494.0,-188.0,466.0,,,75.0,,,,,75.0,847.0,,204.0,204.0,,15.0,,,,,,495.0,,,495.0,714.0,0.0,,,,,74.0,,,,,74.0,74.0,788.0,0.0,27.0,,,0.0,,823.0,850.0,0.0,850.0,1638.0,
12/31/1993,1731.0,799.0,372.0,427.0,37.0,,,0.0,,,,,166.0,,,,1002.0,300.0,497.0,-197.0,335.0,,,94.0,,,,,94.0,729.0,,154.0,154.0,,0.0,,,,,,617.0,,,617.0,771.0,71.0,,,,,0.0,,,,,0.0,71.0,842.0,0.0,812.0,,,0.0,,77.0,889.0,0.0,889.0,1731.0,
03/31/1994,1919.0,895.0,370.0,525.0,51.0,,,0.0,,,,,185.0,,,,1131.0,344.0,,,309.0,,,135.0,,,,,135.0,788.0,,208.0,208.0,,0.0,,,,,,728.0,,,728.0,936.0,65.0,,,,,0.0,,,,,0.0,65.0,1001.0,0.0,27.0,,,0.0,,891.0,918.0,0.0,918.0,1919.0,
06/30/1994,1821.0,772.0,307.0,465.0,51.0,,,0.0,,,,,124.0,,,,947.0,317.0,,,402.0,,,155.0,,,,,155.0,874.0,,205.0,205.0,,0.0,,,,,,583.0,,,583.0,788.0,61.0,,,,,0.0,,,,,0.0,61.0,849.0,0.0,27.0,,,0.0,,945.0,972.0,0.0,972.0,1821.0,
09/30/1994,2009.0,887.0,466.0,421.0,57.0,,,0.0,,,,,97.0,,,,1041.0,314.0,,,497.0,,,157.0,,,,,157.0,968.0,,209.0,209.0,,0.0,,,,,,700.0,,,700.0,909.0,83.0,,,,,0.0,,,,,0.0,83.0,992.0,0.0,27.0,,,0.0,,990.0,1017.0,0.0,1017.0,2009.0,
12/31/1994,1957.0,881.0,272.0,609.0,74.0,,,0.0,,,,,83.0,,,,1038.0,317.0,538.0,-221.0,322.0,,,280.0,,,,,280.0,919.0,,233.0,233.0,,0.0,,,,,,583.0,,,583.0,816.0,83.0,,,,,0.0,,,,,0.0,83.0,899.0,0.0,830.0,,,0.0,,228.0,1058.0,0.0,1058.0,1957.0,
03/31/1995,2147.0,1023.0,459.0,564.0,79.0,,,0.0,,,,,97.0,,,,1199.0,318.0,,,357.0,,,273.0,,,,,273.0,948.0,,190.0,190.0,,0.0,,,,,,748.0,,,748.0,938.0,86.0,,,,,0.0,,,,,0.0,86.0,1024.0,0.0,27.0,,,0.0,,1096.0,1123.0,0.0,1123.0,2147.0,
06/30/1995,2163.0,975.0,447.0,528.0,80.0,,,0.0,,,,,106.0,,,,1161.0,320.0,,,388.0,,,294.0,,,,,294.0,1002.0,,166.0,166.0,,0.0,,,,,,733.0,,,733.0,899.0,88.0,,,,,0.0,,,,,0.0,88.0,987.0,0.0,27.0,,,0.0,,1149.0,1176.0,0.0,1176.0,2163.0,
09/30/1995,2212.0,945.0,622.0,323.0,88.0,,,0.0,,,,,110.0,,,,1143.0,319.0,,,469.0,,,281.0,,,,,281.0,1069.0,,167.0,167.0,,0.0,,,,,,727.0,,,727.0,894.0,94.0,,,,,0.0,,,,,0.0,94.0,988.0,0.0,27.0,,,0.0,,1197.0,1224.0,0.0,1224.0,2212.0,
