Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
08/31/1989,935.093994,136.240005,136.240005,0.0,394.783997,,,172.654999,,,,,35.148998,,,,,738.828003,98.556,166.602997,-68.046997,0.0,97.709999,,,,97.709999,196.265999,,59.221001,59.221001,,,,46.472,,,,,,149.219994,,,149.219994,254.912994,33.469002,,,,,13.452,,,,,,13.452,46.921001,301.833996,0.3,77.318001,,,0.0,,555.642029,633.26003,0.0,633.26003,935.094025,
11/30/1989,925.200012,127.345001,127.345001,0.0,356.015015,,,190.925003,,,,,35.764999,,,,,710.049988,117.343002,188.576996,-71.234001,0.0,97.806999,,,,97.806999,215.150002,,63.945,63.945,,,,46.176998,,,,,,105.178997,,,105.178997,215.300995,33.067001,,,,,13.2,,,,,,13.2,46.267001,261.567996,0.3,78.515999,,,0.0,,584.815979,663.631978,0.0,663.631978,925.199974,
02/28/1990,1051.04895,108.042,108.042,0.0,436.700989,,,239.225006,,,,,36.702999,,,,,820.671021,132.697006,207.283005,-74.585999,0.0,97.681,,,,97.681,230.378006,,73.204002,73.204002,,,,110.311996,,,,,,106.149986,,,106.149986,289.665985,25.847,,,,,12.754,,,,,,12.754,38.601,328.266985,0.3,79.499001,,,0.0,,642.982971,722.781972,0.0,722.781972,1051.048957,
05/31/1990,1094.552002,90.448997,90.448997,0.0,400.877014,,,309.476013,,,,,36.880001,,,,,837.682007,159.664001,238.460999,-78.796997,0.0,97.206001,,,,97.206001,256.870003,,107.422997,107.422997,,,,39.894001,,,,,,125.844013,,,125.844013,273.161011,25.941,,,,,10.931,,,,,,10.931,36.872,310.03301,0.3,81.456001,,,0.0,,702.763,784.519002,0.0,784.519002,1094.552012,
08/31/1990,1306.740967,95.114998,95.114998,0.0,577.25,,,306.859009,,,,,40.345001,,,,,1019.56897,188.447006,266.468994,-78.022003,0.0,98.724998,,,,98.724998,287.172005,,103.073997,103.073997,,,,103.914001,,,,,,179.432991,,,179.432991,386.42099,25.774,,,,,11.116,,,,,,11.116,36.89,423.31099,0.3,82.790001,,,0.0,,800.340027,883.430028,0.0,883.430028,1306.741018,
11/30/1990,1462.484985,118.845001,118.845001,0.0,534.677979,,,432.479004,,,,,45.826,,,,,1131.828003,231.809006,316.187988,-84.378998,0.0,98.848,,,,98.848,330.657005,,109.431,109.431,,,,237.802002,,,,,,142.954987,,,142.954987,490.187988,25.691,,,,,11.942,,,,,,11.942,37.633,527.820989,0.3,82.825996,,,0.0,,851.538025,934.664021,0.0,934.664021,1462.48501,
02/28/1991,1742.352051,118.334999,118.334999,0.0,636.437012,,,529.697021,,,,,43.318001,,,,,1327.786987,277.291992,372.20401,-94.912003,0.0,137.272995,,,,137.272995,414.564987,,122.165001,122.165001,,,,404.286987,,,,,,175.181984,,,175.181984,701.633972,29.343,,,,,13.668,,,,,,13.668,43.011001,744.644973,0.3,83.764999,,,0.0,,913.642029,997.707028,0.0,997.707028,1742.352001,
05/31/1991,1708.430054,119.804001,119.804001,0.0,521.588013,,,586.593994,,,,,52.273998,,,,,1280.26001,292.463013,397.601013,-105.138,0.0,135.707001,,,,135.707001,428.170013,,165.912003,165.912003,,,,300.944,,,,,,161.615982,,,161.615982,628.471985,29.992001,,,,,16.877001,,,,,,16.877001,46.869001,675.340986,0.3,87.556999,,,0.0,,945.231995,1033.088994,0.0,1033.088994,1708.42998,
08/31/1991,1773.399048,148.141998,148.141998,0.0,665.242981,,,472.455994,,,,,53.381001,,,,,1339.222046,298.826996,413.747009,-114.919998,0.0,135.350006,,,,135.350006,434.177002,,114.411003,114.411003,,,,236.740997,,,,,,212.209023,,,212.209023,563.361023,54.812,,,,,16.871,,,,,,16.871,71.683001,635.044024,0.3,91.582001,,,0.0,,1046.473022,1138.355023,0.0,1138.355023,1773.399047,
11/30/1991,1745.715942,156.811996,156.811996,0.0,610.06897,,,474.315002,,,,,58.681,,,,,1299.876953,310.873993,436.540009,-125.666,0.0,134.964996,,,,134.964996,445.838989,,135.593994,135.593994,,,,145.964005,,,,,,179.981003,,,179.981003,461.539001,72.188004,,,,,15.656,,,,,,15.656,87.844004,549.383005,0.3,93.527,,,0.0,,1102.505981,1196.332982,0.0,1196.332982,1745.715987,
