Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2011,14.904,14.731,0.173,-3.124,2.93,0.998,11.78,0.0,-9.847,8.592,5.231,3.361,0.257,0.0,1.933,0.028,,0.0,,,-0.028,1.961,,1.961,0.0,0.0,0.0,1.961,,1.961,,0.0,1.961,1.961,0.0,,,,,,,,,
06/30/2011,12.71,12.553,0.157,-3.075,2.856,1.041,9.635,0.0,-9.414,8.088,4.641,3.447,0.285,0.0,0.221,0.057,,0.0,,,-0.057,0.278,,0.278,0.0,0.0,0.0,0.278,,0.278,,0.0,0.278,0.278,0.0,,,,,,,,,
09/30/2011,13.954,13.721,0.233,-3.35,3.089,1.087,10.604,0.0,-10.888,9.411,5.653,3.758,0.39,0.0,-0.284,0.013,,0.0,,,-0.013,-0.271,,-0.271,0.0,0.0,0.0,-0.271,,-0.271,,0.0,-0.271,-0.271,0.0,,,,,,,,,
12/31/2011,15.638,15.377,0.261,-3.725,3.412,1.174,11.913,0.0,-12.327,10.86,6.719,4.141,0.293,0.0,-0.414,-0.124,,0.134,,,-0.01,-0.538,,-0.538,0.0,0.0,0.0,-0.538,,-0.538,,0.0,-0.538,-0.538,0.0,,,,,,,,,
03/31/2012,19.844,19.522,0.322,-4.149,3.817,1.202,15.695,0.0,-13.183,11.601,7.266,4.335,0.38,0.0,2.512,-0.123,,0.136,,,-0.013,2.389,,2.389,0.0,0.0,0.0,2.389,,2.389,,0.0,2.389,2.389,0.0,,,,,,,,,
06/30/2012,17.092,16.817,0.275,-3.707,3.366,1.212,13.385,0.0,-13.206,11.452,6.649,4.803,0.542,0.0,0.179,-0.584,,0.65,,,-0.066,-0.405,,-0.405,0.0,0.0,0.0,-0.405,,-0.405,,0.0,-0.405,-0.405,0.0,,,,,,,,,
09/30/2012,18.567,18.246,0.321,-4.115,3.747,0.837,14.452,0.0,-12.836,11.638,6.86,4.778,0.361,0.0,1.616,-0.427,,0.683,,,-0.256,1.189,,1.189,0.0,0.0,0.0,1.189,,1.189,,0.0,1.189,1.189,0.0,,,,,,,,,
12/31/2012,21.307,20.835,0.472,-4.355,3.965,0.841,16.952,0.0,-15.204,14.014,8.48,5.534,0.349,0.0,1.748,-0.683,,0.702,,,-0.019,1.065,,1.065,0.0,0.0,0.0,1.065,,1.065,,0.0,1.065,1.065,0.0,,,,,,,,,
03/31/2013,27.577,27.204,0.373,-4.845,4.434,0.884,22.732,0.0,-17.193,15.854,9.858,5.996,0.455,0.0,5.539,-0.069,,0.68,,,-0.611,5.47,,5.47,0.0,0.0,0.0,5.47,,5.47,,0.0,5.47,5.47,0.0,,,,,,,,,
06/30/2013,23.913,23.393,0.52,-4.768,4.353,0.873,19.145,0.0,-15.953,14.756,8.716,6.04,0.324,0.0,3.192,-1.051,,0.713,,,0.338,2.141,,2.141,0.0,0.0,0.0,2.141,,2.141,,0.0,2.141,2.141,0.0,,,,,,,,,
