Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/31/1997,3434.061,,,-3327.287,,,106.774,,-10.87,,,95.904,-0.279,0.279,5.542,-5.263,0.0,0.0,95.625,-33.59,62.035,0.0,,,62.035,0.0,62.035,,,62.035,62.035,,84.866,0.73,0.73,0.73,84.866,0.73,0.73,0.73,
04/30/1997,3185.833,,,-3259.669,,,-73.836,,-3.197,,,-77.033,-1.374,1.374,6.982,-5.608,0.0,0.0,-78.407,8.273,-70.134,0.0,,,-70.134,0.0,-70.134,,,-70.134,-70.134,,84.038,-0.83,-0.83,-0.83,84.038,-0.83,-0.83,-0.83,
07/31/1997,3675.905,,,-3567.314,,,108.591,,-4.654,,,103.937,-1.893,1.893,7.52,-5.627,0.0,0.0,102.044,-35.802,66.242,0.0,,,66.242,0.0,66.242,,,66.242,66.242,,84.345,0.79,0.79,0.79,84.345,0.79,0.79,0.79,
10/31/1997,4002.742,,,-3862.809,,,139.933,,0.0,,,139.933,-3.926,3.926,10.714,-6.788,0.0,0.0,136.007,-47.963,88.044,0.0,,,88.044,0.0,88.044,,,88.044,88.044,,84.657,1.04,1.04,1.04,84.657,1.04,1.04,1.04,
01/31/1998,3399.019,,,-3309.279,,,89.74,,-0.448,,,89.292,-4.834,4.834,9.422,-4.588,0.0,0.0,84.458,-29.645,54.813,0.0,,,54.813,0.0,54.813,,,54.813,54.813,,82.575,0.66,0.66,0.66,82.636,0.66,0.66,0.66,
04/30/1998,3282.079,,,-3184.891,,,97.188,,-10.115,,,87.073,-3.423,3.423,9.327,-5.904,0.0,0.0,83.65,-29.361,54.289,0.0,,,54.289,0.0,54.289,,,54.289,54.289,,80.506,0.67,0.67,0.67,80.865,0.67,0.67,0.67,
07/31/1998,3528.852,,,-3421.976,,,106.876,,-3.774,,,103.102,-6.87,6.87,12.284,-5.414,0.0,0.0,96.232,-33.795,62.437,0.0,,,62.437,0.0,62.437,,,62.437,62.437,,76.933,0.81,0.81,0.81,77.294,0.81,0.81,0.81,
10/31/1998,3294.823,,,-3179.29,,,115.533,,-8.261,,,107.272,-8.986,8.986,14.244,-5.258,0.0,0.0,98.286,-34.481,63.805,0.0,,,63.805,0.0,63.805,,,63.805,63.805,,75.065,0.85,0.85,0.85,75.958,0.84,0.84,0.84,
01/31/1999,3384.065,,,-3291.204,,,92.861,,-9.558,,,83.303,-8.404,8.404,13.004,-4.6,0.0,0.0,74.899,-23.818,51.081,0.0,,,51.081,0.0,51.081,,,51.081,51.081,,75.119,0.68,0.68,0.68,75.633,0.68,0.68,0.68,
04/30/1999,3091.307,,,-3001.212,,,90.095,,-10.222,,,79.873,-144.396,7.896,13.008,-5.112,,136.5,-64.523,-8.372,-72.895,,,,-72.895,,-72.895,,0.0,-72.895,-72.895,,75.154,-0.97,-0.97,-0.97,75.154,-0.97,-0.97,-0.97,
07/31/1999,3069.444,,,-2967.562,,,101.882,,-20.724,,,81.158,-7.621,7.621,12.439,-4.818,0.0,0.0,73.537,-23.385,50.152,0.0,,,50.152,0.0,50.152,,,50.152,50.152,,75.2,0.67,0.67,0.67,75.847,0.66,0.66,0.66,
10/31/1999,2872.569,,,-2766.715,,,105.854,,-14.846,,,91.008,10.732,8.568,12.467,-3.899,0.0,-19.3,101.74,-25.891,75.849,0.0,,,75.849,0.0,75.849,,,75.849,75.849,,75.098,1.01,1.01,1.01,75.849,1.0,1.0,1.0,
01/31/2000,2998.519,,,-2897.758,,,100.761,,-16.828,,,83.933,-9.817,9.817,13.108,-3.291,0.0,0.0,74.116,-21.864,52.252,0.0,,,52.252,0.0,52.252,,,52.252,52.252,,75.602,0.69,0.69,0.69,76.149,0.69,0.69,0.69,
04/30/2000,2557.763,,,-2479.976,,,77.787,,-11.073,,,66.714,6.247,11.672,14.814,-3.142,0.0,-17.919,72.961,-21.919,51.042,0.0,,,51.042,0.0,51.042,,,51.042,51.042,,75.453,0.68,0.68,0.68,76.789,0.66,0.66,0.66,
07/31/2000,2902.656,,,-2830.083,,,72.573,,-17.377,,,55.196,-7.909,7.909,15.988,-8.079,0.0,0.0,47.287,-13.949,33.338,0.0,,,33.338,0.0,33.338,,,33.338,33.338,,74.964,0.44,0.44,0.44,76.097,0.44,0.44,0.44,
10/31/2000,,,,,,,,,,,,-108.943,-6.77,-54.712,,-11.149,0.0,17.919,-115.713,14.322,-57.828,0.0,,,-101.391,0.0,-57.828,,,-57.828,-57.828,,73.893,-0.74,-0.74,-0.74,73.893,-0.72,-0.72,-0.72,
01/31/2001,273.112,,,-267.937988,,,5.174011,,-8.801,,,-3.627,1.410999,8.27,8.27,,0.0,-9.681,-2.216001,0.864,-1.352,0.0,,,-1.352001,0.0,-1.352,0.0,0.0,-1.352,-1.352,,73.902,-0.02,-0.02,-0.02,74.154999,-0.02,-0.02,-0.02,
04/30/2001,307.893005,,,-298.904999,,,8.988007,,-10.516,,,-1.528,4.777,9.197,9.197,,0.0,-13.974,3.249,-1.168,2.081,0.0,,,2.081,0.0,2.081,0.0,0.0,2.081,2.081,,73.663002,0.03,0.03,-0.06,74.277,0.03,0.03,-0.06,
07/31/2001,301.791992,,,-312.739014,,,-10.947021,,-4.535,,,-15.482,1.86,8.611,8.611,,0.0,-10.471,-13.622001,4.228,-9.394,0.0,,,-9.394001,0.0,-9.394,0.0,0.0,-9.394,-9.394,,73.950996,-0.13,-0.13,-0.06,73.950996,-0.13,-0.13,-0.06,
10/31/2001,320.488007,,,-325.761993,,,-5.273987,,-7.85,,,-13.124,16.955999,6.659,8.136,-1.477,0.0,-23.614999,3.832,3.783,7.615,0.0,,,7.615,0.0,7.615,0.0,0.0,7.615,7.615,,74.014,0.1,0.1,0.01,74.380997,0.1,0.1,0.01,
03/31/2002,372.678009,,,-384.170013,,,-11.492004,,-8.903,,,-20.395,9.954,6.818,7.806,-0.988,0.0,-16.772,-10.441,6.228,-4.213,0.0,,,-4.213,0.0,-4.213,0.0,0.0,-4.213,-4.213,,74.348999,-0.06,-0.06,-0.06,74.348999,-0.06,-0.06,-0.06,
06/30/2002,384.393,,,-405.86,,,-21.467,,-10.961,,,-32.428,7.087,7.943,8.619,-0.676,0.0,-15.03,-25.341,8.885,-16.456,0.0,,,-16.456,0.0,-16.456,0.0,0.0,-16.456,-16.456,,74.445,-0.22,-0.22,0.01,74.445,-0.22,-0.22,0.01,
09/30/2002,404.411987,,,-405.01001,,,-0.598022,,-10.039,,,-10.637,8.587999,8.691,9.931,-1.24,0.0,-17.278999,-2.049001,0.731,-1.318,0.0,,,-1.318001,0.0,-1.318,0.0,0.0,-1.318,-1.318,,74.468002,-0.02,-0.02,0.09,74.468002,-0.02,-0.02,0.09,
12/31/2002,386.395996,,,-409.5,,,-23.104004,,-13.405,,,-36.508999,16.82,7.434,9.0,-1.566,0.0,-24.254,-19.688999,9.102,-10.587,0.0,,,-10.586999,0.0,-10.587,0.0,0.0,-10.587,-10.587,,74.502998,-0.14,-0.14,-0.06,74.502998,-0.14,-0.14,-0.06,
03/31/2003,373.951996,,,-373.497009,,,0.454987,,-10.837,,,-10.382,-7.381,7.996,9.238,-1.242,0.0,-0.615,-17.763,8.165,-9.598,7.88,,,-17.478,0.0,-17.478001,0.0,0.0,-17.478001,-17.478001,,74.530998,-0.24,-0.13,-0.13,74.530998,-0.24,-0.13,-0.13,
06/30/2003,393.403,,,-379.716,,,13.687,,-10.376,,,3.311,-8.897,8.707,9.847,-1.14,0.0,0.19,-5.586,3.389,-2.197,0.0,,,-2.197,0.0,-2.197,0.0,0.0,-2.197,-2.197,,74.55,-0.03,-0.03,-0.03,74.55,-0.03,-0.03,-0.03,
09/30/2003,373.138,,,-376.471008,,,-3.333008,,-10.178,,,-13.511,6.119,9.591,10.787,-1.196,0.0,-15.71,-7.391999,3.538,-3.854,0.0,,,-3.853999,0.0,-3.854,0.0,0.0,-3.854,-3.854,,74.573997,-0.05,-0.05,-0.2,74.573997,-0.05,-0.05,-0.2,
