Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/21/1993,3681.126953,,,-3272.169922,,408.957031,,-327.688995,,,81.267998,-128.300997,,10.823,,0.0,,117.477997,-47.032999,10.095,-36.938,-3.947,,,-32.990999,0.0,-32.991001,0.0,,-32.991001,-32.991001,,434.381989,-0.075,-0.085,,434.381989,-0.075,-0.085,-0.085,
02/13/1994,4097.662109,,,-3640.174072,,457.488037,,-347.194,,,110.293999,-9.082,,11.655,,0.0,,-2.573,101.211999,-41.502998,59.709,-2.566,,,62.275001,0.0,62.275002,0.0,,62.275002,62.275002,,480.022003,0.14,0.135,,480.022003,0.14,0.135,0.135,
05/08/1994,3619.569092,,,-3220.541016,,399.028076,,-333.783997,,,65.244003,-10.941,,12.155,,0.0,,-1.214,54.303004,-22.263,32.040001,0.0,,,32.040003,0.0,32.040001,0.0,,32.040001,32.040001,,439.032013,0.075,0.075,,439.032013,0.075,0.075,0.075,
08/28/1994,5082.285156,,,-4530.005859,,552.279297,,-441.446014,,,110.833,-15.76,,15.839,,0.0,,-0.079,95.073,-38.986,56.087002,229.779007,,,-173.692007,0.0,-173.692001,0.0,,-173.692001,-173.692001,,438.558014,-0.395,0.135,0.135,438.558014,-0.395,0.135,0.135,
11/20/1994,4029.923096,,,-3577.444092,,452.479004,,-357.169006,,,95.309998,-13.06,,14.139,,0.0,,-1.079,82.249998,-33.723,48.527,0.0,,,48.526998,0.0,48.527,0.0,,48.527,48.527,,479.514008,0.11,0.11,,479.514008,0.11,0.11,0.11,
02/12/1995,4307.321777,,,-3821.793945,,485.527832,,-361.881989,,,123.646004,-13.182,,13.48,,0.0,,-0.298,110.464004,-45.693001,64.771004,83.362999,,,-18.591996,0.0,-18.591999,0.0,,-18.591999,-18.591999,,449.369995,-0.03,0.155,,449.369995,-0.03,0.155,0.155,
05/07/1995,3896.238037,,,-3476.323975,,419.914062,,-348.578003,,,71.335999,-15.679,,16.747,,0.0,,-1.068,55.656999,-23.042,32.615002,0.0,,,32.614999,0.0,32.615002,0.0,,32.615002,32.615002,,392.156006,0.085,0.085,,392.156006,0.085,0.085,0.085,
09/03/1995,6013.803223,,,-5350.286133,,663.51709,,-520.47699,,,143.039993,-23.207,,23.545,,0.0,,-0.338,119.832993,-48.505001,71.328003,0.0,,,71.327992,0.0,71.328003,0.0,,71.328003,71.328003,,434.406006,0.175,0.175,0.175,434.406006,0.175,0.175,0.175,
11/26/1995,4383.563965,,,-3887.115967,,496.447998,,-395.423004,,,101.025002,-16.68,,17.771,,0.0,,-1.091,84.345002,-34.792,49.553001,0.0,,,49.553002,0.0,49.553001,0.0,,49.553001,49.553001,,434.622009,0.125,0.125,,434.622009,0.125,0.125,0.125,
02/18/1996,4688.694824,,,-4153.992188,,534.702637,,-397.912994,,,136.789993,-15.214,,17.500999,,0.0,,-2.287,121.575994,-50.150002,71.426003,0.0,,,71.425992,0.0,71.426003,0.0,,71.426003,71.426003,,449.473999,0.175,0.175,,449.473999,0.175,0.175,0.175,
05/12/1996,4311.487793,,,-3829.923096,,481.564697,,-394.125,,,87.440002,-17.187,,19.194,,0.0,,-2.007,70.253002,-28.979,41.273998,0.0,,,41.274002,0.0,41.273998,0.0,,41.273998,41.273998,,436.671997,0.105,0.105,0.115,436.671997,0.105,0.105,0.115,
09/01/1996,6182.708984,,,-5474.28418,,708.424804,,-542.95697,,,165.468002,-18.165,,23.612,,0.0,,-5.447,147.303002,-60.763,86.540001,0.0,,,86.540002,0.0,86.540001,0.0,,86.540001,86.540001,,438.168,0.21,0.21,0.21,438.168,0.21,0.21,0.21,
11/24/1996,4883.408203,,,-4308.369141,,575.039062,,-436.300995,,,138.738007,-85.276003,,18.933001,,0.0,,66.343002,53.462004,-21.652,31.809999,0.0,,,31.810003,0.0,31.809999,0.0,,31.809999,31.809999,,393.096008,0.08,0.08,0.17,398.390015,0.08,0.08,0.17,
02/16/1997,5238.893066,,,-4619.208008,,619.685059,,-442.122986,,,177.561996,-13.782,,17.243,,0.0,,-3.461,163.779996,-66.331001,97.448997,0.0,,,97.448995,0.0,97.448997,0.0,,97.448997,97.448997,,413.079987,0.235,0.235,0.235,445.787994,0.23,0.23,0.23,
05/11/1997,4836.229004,,,-4283.157227,,553.071777,,-429.437988,,,123.634003,-14.107,,14.662,,0.0,,-0.555,109.527003,-43.262001,66.264999,0.0,,,66.265002,0.0,66.264999,0.0,,66.264999,66.264999,,422.95401,0.155,0.155,0.155,431.164001,0.155,0.155,0.155,
08/31/1997,6915.874023,,,-6103.750977,,812.123046,,-596.344971,,,215.778,-22.218001,,25.443001,,0.0,,-3.225,193.559999,-76.887001,116.672997,0.0,,,116.672998,0.0,116.672997,0.0,,116.672997,116.672997,,426.104004,0.275,0.274994,0.275,451.15799,0.27,0.27,0.27,
11/23/1997,5429.763184,,,-4779.295898,,650.467285,,-478.053986,,,172.412994,-9.203,,10.923,,0.0,,-1.72,163.209994,-65.283997,97.926003,0.0,,,97.925997,0.0,97.926003,0.0,,97.926003,97.926003,,427.665985,0.23,0.23,0.23,458.825989,0.22,0.22,0.22,
02/15/1998,5795.005859,,,-5098.992188,,696.013672,,-482.803009,,,213.210999,-3.222,,10.965,,0.0,,-7.743,209.988998,-83.996002,125.992996,0.0,,,125.992996,0.0,125.992996,0.0,,125.992996,125.992996,,429.179993,0.295,0.295,0.295,460.963989,0.28,0.28,0.28,
05/10/1998,5338.085938,,,-4715.754883,,622.331055,,-475.871002,,,146.460007,-4.415,,10.477,,0.0,,-6.062,142.045006,-56.818001,85.226997,0.0,,,85.227005,0.0,85.226997,0.0,,85.226997,85.226997,,431.825989,0.195,0.195,0.195,464.756012,0.19,0.19,0.19,
08/30/1998,7707.022,,,-6785.648,,921.374,0.0,-660.182,653.47,6.712,261.192,-10.033,7.533,15.17,-7.637,,,2.5,251.159,-100.463,150.696,,,,150.696,,150.696,0.0,0.0,150.696,150.696,,467.002,0.322688,0.322688,0.328041,467.002,0.322688,0.322688,0.328041,
11/22/1998,5998.078125,,,-5287.785156,,710.292969,,-529.697021,,,180.595993,-6.873,,10.912,-6.039,0.0,,2.0,173.722993,-69.488998,104.234001,118.023003,,,-13.789008,0.0,-13.789,0.0,0.0,-13.789,-13.789,,435.675994,-0.03,0.24,0.24,466.773986,-0.025,0.23,0.23,
02/14/1999,6592.35791,,,-5788.652832,,803.705078,,-547.515991,,,256.188995,-2.803,,10.995,-11.192,0.0,,3.0,253.385995,-101.353996,152.031006,0.0,,,152.031999,0.0,152.031998,0.0,0.0,152.031998,152.031998,,437.782012,0.35,0.35,0.35,470.45401,0.33,0.33,0.33,
