Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/31/1989,1022.749023,94.181,94.181,,159.483994,,,266.740997,,,,,13.202,,,,,,533.607971,163.587997,,,0,325.553009,,,,,,325.553009,489.141006,,138.220993,138.220993,,,,25.818001,,,,,,43.948006,,,,,43.948006,207.987,115.084999,,,,,137.824005,,,137.824005,252.909004,460.896004,11.779,95.57,,,,,454.503998,561.852998,0,561.852998,1022.749002,
10/31/1989,987.296997,35.855,35.855,,251.020004,,,260.001007,,,,,21.902,,,,,,568.778015,169.936005,,,0,248.582993,,,,,,248.582993,418.518997,,139.531998,139.531998,,,,0.819,,,,,,39.596009,,,,,39.596009,179.947006,114.887001,,,,,124.176003,,,124.176003,239.063004,419.01001,11.779,95.57,,,,,460.937988,568.286988,0,568.286988,987.296998,
01/31/1990,982.117981,121.852997,121.852997,,142.651001,,,273.639008,,,,,22.924,,,,,,561.067017,171.378006,,,0,249.673004,,,,,,249.673004,421.05101,,117.956001,117.956001,,,,0.82,,,,,,44.916992,,,,,44.916992,163.692993,114.688004,,,,,118.878998,,,118.878998,233.567001,397.259995,11.779,95.57,,,,,477.509003,584.858003,0,584.858003,982.117997,
04/30/1990,1020.984009,105.821999,105.821999,,159.800995,,,290.018005,,,,,31.575001,,,,,,587.216003,179.427002,340.278992,-160.852005,0,254.341003,,,,,,254.341003,433.768005,,38.945999,38.945999,,,,0.827,,,,,,159.245998,,,,,159.245998,199.018997,114.484001,,,,,112.181,,,112.181,226.665001,425.683998,11.779,95.57,,,-317.240997,,805.191986,595.299989,0,595.299989,1020.983987,
07/31/1990,1014.362,82.601,64.556,18.045,180.003006,,,292.556,,,,,19.555,,,,,,574.715027,183.248001,,,0,256.398987,,,,,,256.398987,439.646988,,129.852005,129.852005,,,,0.829,,,,,,55.713999,,,,,55.713999,186.395004,114.283997,,,,,111.653,,,111.653,225.936996,412.332001,11.779,95.556999,,,,,494.694,602.03,0,602.03,1014.362,
10/31/1990,1064.156006,57.811998,45.446999,12.365,248.518005,,,292.681,,,,,26.42,,,,,,625.43103,188.001999,,,0,250.723007,,,,,,250.723007,438.725006,,126.68,126.68,,,,42.286999,,,,,,43.523998,,,,,43.523998,212.490997,114.083,,,,,111.325996,,,111.325996,225.408997,437.899994,11.779,95.556999,,,,,518.919983,626.255982,0,626.255982,1064.155976,
01/31/1991,1030.105957,122.096996,105.978996,16.118,133.455002,,,303.626007,,,,,31.955999,,,,,,591.133972,191.742996,,,0,247.229004,,,,,,247.229004,438.972,,107.996002,107.996002,,,,2.232,,,,,,47.820002,,,,,47.820002,158.048004,112.482002,,,,,110.695,,,110.695,223.177002,381.225006,11.779,95.556999,,,,,541.544983,648.880982,0,648.880982,1030.105989,
04/30/1991,1082.597046,108.113003,93.745003,14.368,177.307999,,,307.377014,,,,,28.771,,,,,,621.56897,203.837997,385.445007,-181.606995,0,257.190002,,,,,,257.190002,461.028,,33.444,33.444,,,,2.236,,,,,,154.542,,,,,154.542,190.222,112.278,,,,,119.529999,,,119.529999,231.807999,422.029999,11.779,95.556999,,,-337.240997,,890.472015,660.567018,0,660.567018,1082.597016,
07/31/1991,1133.277954,46.639,23.197001,23.441999,186.419006,,,357.75,,,,,18.061001,,,,,,608.869019,223.970993,,,0,300.437988,,,,,,300.437988,524.408981,,174.904999,174.904999,,,,29.679001,,,,,,46.656006,,,,,46.656006,251.240005,112.075996,,,,,120.570999,,,120.570999,232.646996,483.887001,11.779,95.526001,,,,,542.085999,649.391,0,649.391,1133.278001,
10/31/1991,1222.965942,44.376001,23.353001,21.023001,279.516998,,,347.416992,,,,,21.612,,,,,,692.921997,230.421997,,,0,299.622009,,,,,,299.622009,530.044006,,168.098999,168.098999,,,,71.001999,,,,,,45.154007,,,,,45.154007,284.255005,112.797997,,,,,123.973999,,,123.973999,236.771996,521.027,11.779,95.526001,,,,,594.633972,701.938973,0,701.938973,1222.965974,
01/31/1992,1133.362061,58.896,38.445999,20.450001,158.436996,,,346.895996,,,,,30.822001,,,,,,595.051025,240.414001,,,0,297.897003,,,,,,297.897003,538.311005,,136.893997,136.893997,,,,0.1,,,,,,38.263998,,,,,38.263998,175.257996,114.181999,,,,,123.733002,,,123.733002,237.915001,413.172997,11.779,95.526001,,,,,612.883972,720.188973,0,720.188973,1133.36197,
04/30/1992,1193.521973,66.934999,50.029999,16.905001,208.270996,,,352.421997,,,,,23.85,,,,,,651.478027,243.276001,447.907013,-204.630997,0,298.768005,,,,,,298.768005,542.044006,,35.838001,35.838001,,,,20.844999,,,,,,157.462004,,,,,157.462004,214.145004,114.191002,,,,,130.028,,,130.028,244.219002,458.364006,11.779,95.526001,,,-344.23999,,972.093018,735.158029,0,735.158029,1193.522035,
