Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,24.433001,1.278,1.278,,7.515,,,11.011,,,,,0.634,,,,,20.438,1.726,,,0.0,,2.269,,,,,2.269,3.995,,2.244,2.244,,,,1.6,,,,,,5.938,,,5.938,9.782,0.852,,,,,0.0,,,,,,0.0,0.852,10.634,0.0,0.21,,,0.0,,13.589,13.799,0.0,13.799,24.432999,
06/30/1993,36.945,3.248,3.248,,9.06,,,18.261999,,,,,2.391,,,,,32.960999,2.0,,,0.0,,1.984,,,,,1.984,3.984,,3.456,3.456,,,,1.11,,,,,,6.672,,,6.672,11.238,1.0,,,,,0.0,,,,,,0.0,1.0,12.238,0.0,22.379,,,0.0,,1.845,24.224,0.483,24.707,36.945,
09/30/1993,42.198002,1.548,1.548,,14.14,,,19.566999,,,,,2.202,,,,,37.457001,2.023,,,0.0,,2.718,,,,,2.718,4.741,,3.862,3.862,,,,1.556,,,,,,7.606,,,7.606,13.024,1.0,,,,,0.0,,,,,,0.0,1.0,14.024,0.0,22.032,,,0.0,,5.629,27.661,0.513,28.174,42.198,
12/31/1993,46.539001,6.767,6.767,0.0,12.575,,,18.049,,,,,2.243,,,,,39.633999,4.122,5.423,-1.301,0.0,,2.783,,,,,2.783,6.905,,1.268,1.268,,,,1.0,,,,,,9.674,,,9.674,11.942,1.0,,,,,0.0,,,,,,0.0,1.0,12.942,0.0,21.871,,,0.0,,11.155,33.026,0.571,33.597,46.539,
03/31/1994,47.493,4.363,4.363,0.0,13.217,,,20.016001,,,,,2.397,,,,,39.993,4.812,,,0.0,,2.688,,,,,2.688,7.5,,3.978,3.978,,,,0.0,,,,,,6.699,,,6.699,10.677,1.0,,,,,0.0,,,,,,0.0,1.0,11.677,0.0,21.870001,,,0.0,,13.369,35.239001,0.577,35.816001,47.493001,
06/30/1994,58.201,1.753,1.753,0.0,17.417999,,,25.885,,,,,3.068,,,,,48.124001,7.188,,,0.0,,2.889,,,,,2.889,10.077,,3.783,3.783,,,,7.67,,,,,,8.088,,,8.088,19.541,0.0,,,,,0.0,,,,,,0.0,0.0,19.541,0.0,22.115999,,,0.0,,15.943,38.058999,0.601,38.659999,58.200999,
09/30/1994,75.940002,2.011,2.011,0.0,26.662001,,,30.094999,,,,,3.558,,,,,62.326,11.224,,,0.0,,2.39,,,,,2.39,13.614,,6.423,6.423,,,,9.967,,,,,,10.753999,,,10.753999,27.143999,4.8,,,,,0.0,,,,,,0.0,4.8,31.943999,0.0,22.149,,,0.0,,20.584,42.733,1.263,43.996,75.939999,
12/31/1994,80.419998,2.317,2.317,0.0,28.267,,,32.355,,,,,3.559,,,,,66.498001,11.393,14.03,-2.637,0.0,,2.529,,,,,2.529,13.922,,3.87,3.87,,,,7.765,,,,,,13.428999,,,13.428999,25.063999,4.75,,,,,0.0,,,,,,0.0,4.75,29.813999,0.0,22.155001,,,0.0,,26.750999,48.906,1.7,50.606,80.419999,
03/31/1995,82.640999,4.501,4.501,0.0,24.16,,,34.828999,,,,,3.867,,,,,67.357002,12.848,,,0.0,,2.436,,,,,2.436,15.284,,4.684,4.684,,,,8.223,,,,,,11.667,,,11.667,24.573999,4.7,,,,,0.0,,,,,,0.0,4.7,29.273999,0.0,22.187,,,0.0,,29.284,51.471001,1.896,53.367001,82.641,
