Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
05/31/1989,1727.66394,251.484997,16.701,234.783997,359.72699,,,489.06601,,,,,62.208,,,,1162.485962,327.059998,607.286011,-280.226013,80.266998,157.850998,,,,157.850998,565.177994,,227.332001,227.332001,,,,1000.380981,,,,,3.182037,,,3.182037,1230.89502,1467.998047,,,,66.674004,,,,66.674004,1534.67205,2765.56707,4.638,313.167999,,,-115.271004,,-1240.437981,-1037.902985,0.0,-1037.902985,1727.664085,
08/31/1989,1151.504028,130.889999,18.124001,112.765999,273.425995,,,373.959991,,,,,32.296001,,,,810.572021,188.819,410.63501,-221.815994,35.589001,116.524002,,,,116.524002,340.932003,,189.332993,189.332993,,,,457.369995,,,,,24.583023,,,24.583023,671.286011,1352.772949,,,,46.250999,,,,46.250999,1399.023949,2070.309959,4.547,304.709015,,,-106.481003,,-1121.581009,-918.805997,0.0,-918.805997,1151.503963,
11/30/1989,1146.709961,146.123001,16.987,129.136002,277.506012,,,363.575989,,,,,33.526001,,,,820.731018,188.072998,416.40799,-228.335007,26.865999,111.040001,,,,111.040001,325.978998,,216.468002,216.468002,,,,368.184998,,,,,7.234024,,,7.234024,591.887024,1442.303955,,,,55.147999,,,,55.147999,1497.451954,2089.338978,4.495,307.506012,,,-104.619003,,-1150.011002,-942.628993,0.0,-942.628993,1146.709985,
02/24/1990,1148.310059,48.329,20.642,27.687,296.54599,,,347.554993,,,,,132.509995,,,,824.940002,186.919006,424.415985,-237.496994,27.112,109.338997,,,,109.338997,323.370003,,89.185997,89.185997,,,,1882.661011,,,,,108.788978,,,108.788978,2080.635986,3.176,,,,31.066,,,,31.066,34.242,2114.877986,4.495,202.929001,,,0.0,,-1173.991943,-966.567942,0.0,-966.567942,1148.310044,
05/31/1990,1139.237061,114.634001,20.289,94.345001,264.29599,,,355.731995,,,,,75.417,,,,810.078979,183.729004,425.722992,-241.994003,20.695999,124.733002,,,,124.733002,329.158005,,184.964996,184.964996,,,,1921.983032,,,,,6.951874,,,6.951874,2113.899902,3.061,,,,29.969,,,,29.969,33.03,2146.929902,4.494,202.929993,,,0.0,,-1215.116943,-1007.692951,0.0,-1007.692951,1139.236952,
08/31/1990,1137.93103,107.279003,19.243999,88.035004,256.713989,,,362.962006,,,,,85.598999,,,,812.554016,179.505005,428.686005,-249.181,19.511999,126.360001,,,,126.360001,325.377005,,187.128006,187.128006,,,,1943.494995,,,,,5.499069,,,5.499069,2136.12207,2.433,,,,34.034,,,,34.034,36.467,2172.589071,4.482,202.942001,,,0.0,,-1242.082031,-1034.65803,0.0,-1034.65803,1137.931041,
11/30/1990,1148.702026,81.122997,11.923,69.199997,260.854004,,,373.464996,,,,,113.514999,,,,828.95697,176.078003,423.149994,-247.072006,17.504,126.163002,,,,126.163002,319.745005,,208.466995,208.466995,,,,1965.204956,,,,,6.615158,,,6.615158,2180.287109,2.313,,,,35.138,,,,35.138,37.451,2217.73811,4.478,202.945999,,,0.0,,-1276.459961,-1069.035962,0.0,-1069.035962,1148.702148,
02/23/1991,1145.562012,96.559,26.976,69.583,258.687988,,,337.354004,,,,,139.042007,,,,831.643005,172.112,431.319,-259.207001,7.29,134.516998,,,,134.516998,313.918998,,48.959,48.959,,,,0.951,,,,,61.994999,,,61.994999,111.904999,0.0,,,,2168.86792,,,,2168.86792,2168.86792,2280.772919,4.472,202.951996,,,0.0,,-1342.63501,-1135.211014,0.0,-1135.211014,1145.561905,
03/31/1993,1188.225952,27.799001,13.423,14.376,299.601013,,,328.812988,,,,,35.865002,,,,692.078003,202.619003,220.352997,-17.733999,0.0,293.528992,,,,293.528992,496.147995,,140.102997,140.102997,,,,5.811,,,,,28.079,,,28.079,173.992996,584.228027,,,,122.519997,,,,122.519997,706.748024,880.74102,0.0,275.399994,,,0.0,,32.084999,307.484993,0.0,307.484993,1188.226013,
06/30/1993,1204.947998,34.639999,34.639999,0.0,292.654999,,,350.492004,,,,,34.612,,,,712.398987,201.039993,226.110001,-25.07,0.0,291.509003,,,,291.509003,492.548996,,131.145004,131.145004,,,,41.467999,,,,,11.993,,,11.993,184.606003,581.330994,,,,122.986,,,,122.986,704.316994,888.922997,0.0,275.401001,,,0.0,,40.624001,316.025002,0.0,316.025002,1204.947998,
09/30/1993,1204.692017,36.462002,36.462002,,294.631989,,,339.38501,,,,,38.318001,,,,708.796997,205.908005,237.860001,-31.952,0.0,289.987,,,,289.987,495.895004,,143.981995,143.981995,,,,11.024,,,,,20.695009,,,20.695009,175.701004,580.338013,,,,124.181999,,,,124.181999,704.520012,880.221016,0.0,275.402008,,,0.0,,49.069,324.471008,0.0,324.471008,1204.692024,
12/31/1993,1120.48999,34.808998,34.808998,,174.291,,,134.477997,,,,,277.31601,,,,620.893982,191.580994,224.910004,-33.328999,0.0,308.015015,,,,308.015015,499.596009,,32.425999,32.425999,,,,4.739,,,,,49.813997,,,49.813997,86.978996,403.255005,,,,291.699005,,,,291.699005,694.95401,781.933006,0.0,276.394989,,,0.0,,62.161999,338.556988,0.0,338.556988,1120.489994,
03/31/1994,1257.962036,33.698002,33.698002,,318.843994,,,363.769012,,,,,36.408001,,,,752.718994,215.912003,263.29599,-47.383999,0.0,289.330994,,,,289.330994,505.242996,,153.276001,153.276001,,,,29.544001,,,,,24.612005,,,24.612005,207.432007,572.434998,,,,123.516998,,,,123.516998,695.951996,903.384003,0.0,276.625,,,0.0,,77.953003,354.578003,0.0,354.578003,1257.962006,
