Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Impairment of Assets,Impairment from Affiliates,Disposal of Con Assets,Disposal of Uncon Assets,Abnormal Losses/(Gains),Income Taxes,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,19.584999,17.148001,,,,,,0.364,0.0,2.073,-5.832,1.895,1.541,2.396,0.0,,0.0,13.753,-3.649,3.649,0.0,0.0,10.104,0.0,,0.0,,,10.104,,10.104,,,10.104,10.104,,45.4486,0.221363,0.221363,0.221363,45.4486,0.221363,0.221363,0.221363,,,,,,,,,,,,12.1,,12.1,,,,,,,12.1,0.266235,0.266235,0.230988,86.760988,86.760988,89.272725,
06/30/1994,19.664,17.386999,,,,,,0.322,0.0,1.955,-5.922,1.843,1.622,2.457,0.0,,0.0,13.742,-3.628,3.628,0.0,0.0,10.114,0.0,,0.0,,,10.114,,10.114,,,10.114,10.114,,45.440288,0.221363,0.221363,0.221363,45.440288,0.221363,0.221363,0.221363,,,,,,,,,,,,12.3,,12.3,,,,,,,12.3,0.270685,0.270685,0.230988,85.334633,85.334633,87.894307,
09/30/1994,19.834999,17.518999,,,,,,0.189,0.0,2.127,-5.759,1.916,1.345,2.498,0.0,,0.0,14.076,-3.546,3.546,0.0,0.0,10.53,0.0,,0.0,,,10.53,,10.53,,,10.53,10.53,,45.442365,0.230988,0.230988,0.230988,45.442365,0.230988,0.230988,0.230988,,,,,,,,,,,,12.8,,12.8,,,,,,,12.8,0.281675,0.281675,0.230988,82.004997,82.004997,84.476559,
12/31/1994,43.046001,40.485001,,,,,,0.269,0.0,2.292,-29.168,24.569,1.987,2.612,0.0,,0.0,13.878,-3.386,3.386,0.0,0.0,10.492,0.0,,0.0,,,10.492,,10.492,,,10.492,10.492,,45.421585,0.230988,0.230988,0.230988,45.421585,0.230988,0.230988,0.230988,,,,,,,,,,,,12.647,,12.647,,,,,,,12.647,0.278436,0.278436,0.230988,82.959116,82.959116,84.992483,
03/31/1995,27.851,24.511,,,,,,1.63,0.392,1.318,-11.829,7.56,1.703,2.566,0.0,,0.0,16.022,-4.185,4.185,0.0,0.0,11.837,0.0,,0.0,,,11.837,,11.837,,,11.837,11.837,,45.438208,0.259861,0.259861,0.259861,45.438208,0.259861,0.259861,0.259861,,,,,,,,,,,,13.419,,13.419,,,,,,,13.419,0.295324,0.295324,0.269486,91.250912,91.250912,90.655043,
06/30/1995,29.806999,25.487,,,,,,1.569,1.993,0.758,-12.235,7.427,2.134,2.674,0.0,,0.0,17.572001,-4.387,4.387,0.0,0.0,13.185,0.0,,0.0,,,13.185,,13.185,,,13.185,13.185,,48.852414,0.269486,0.269486,0.269486,48.852414,0.269486,0.269486,0.269486,,,,,,,,,,,,15.743,,15.743,,,,,,,15.743,0.322256,0.322256,0.269486,83.624725,83.624725,86.22245,
09/30/1995,29.504,26.264999,,,,,,0.365,1.994,0.88,-12.015,8.095,1.181,2.739,0.0,,0.0,17.489,-3.922,3.922,0.0,0.0,13.567,0.0,,0.0,,,13.567,,13.567,,,13.567,13.567,,50.749656,0.269486,0.269486,0.269486,50.749656,0.269486,0.269486,0.269486,,,,,,,,,,,,16.253,,16.253,,,,,,,16.253,0.320258,0.320258,0.269486,84.146437,84.146437,83.51689,
12/31/1995,32.030998,28.257,,,,,,0.559,1.964,1.251,-13.68,9.2,1.669,2.811,0.0,,0.0,18.351,-3.932,3.932,0.0,0.0,14.419,0.0,,0.0,,,14.419,,14.419,,,14.419,14.419,,50.784979,0.283923,0.283923,0.283923,50.784979,0.283923,0.283923,0.283923,,,,,,,,,,,,17.002001,,17.002001,,,,,,,17.002001,0.334784,0.334784,0.269486,80.495465,80.495465,79.767084,
03/31/1996,33.083,28.218,,,,,,0.392,0.594,3.879,-12.938,8.914,1.189,2.835,0.0,,0.0,20.145,-4.223,4.223,0.0,0.0,15.922,0.0,,0.0,,,15.922,,15.922,,,15.922,15.922,,50.836933,0.312796,0.312796,0.312796,50.836933,0.312796,0.312796,0.312796,,,,,,,,,,,,18.416,,18.416,,,,,,,18.416,0.362256,0.362256,0.293547,81.033017,81.033017,80.44092,
06/30/1996,32.673,28.639999,,,,,,0.413,0.656,2.964,-13.361001,9.145,1.319,2.897,0.0,,0.0,19.312,-4.192,4.192,0.0,0.0,15.12,0.0,,0.0,,,15.12,,15.12,,,15.12,15.12,,50.83901,0.298359,0.298359,0.298359,50.83901,0.298359,0.298359,0.298359,,,,,,,,,,,,17.6,,17.6,,,,,,,17.6,0.346191,0.346191,0.293547,84.793467,84.793467,84.210226,
