Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,60.319,26.246,6.246,20.0,10.099,,,10.84,,,,,2.107,,,,49.292,11.027,20.799999,-9.773,0.0,,,0.0,,,,0.0,11.027,,2.689,2.689,,,,0.0,,,,7.616,,,7.616,10.305,0.0,,,,0.0,,,,,,0.0,0.0,10.305,0.0,40.606998,,,0.0,,9.407,50.013998,0.0,50.013998,60.318998,
06/30/1990,67.022003,20.802,6.802,14.0,10.736,,,13.053,,,,,2.671,,,,47.262001,12.386,23.263,-10.877,7.374,,,0.0,,,,0.0,19.76,,3.196,3.196,,,,0.0,,,,10.227,,,10.227,13.423,0.0,,,,0.0,,,,,,0.0,0.0,13.423,0.0,40.859001,,,0.0,,12.74,53.599001,0.0,53.599001,67.022001,
09/30/1990,70.272003,21.771,12.771,9.0,11.616,,,13.361,,,,,3.074,,,,49.821999,13.092,25.121,-12.029,7.358,,,0.0,,,,0.0,20.45,,2.736,2.736,,,,0.0,,,,10.154,,,10.154,12.89,0.0,,,,0.0,,,,,,0.0,0.0,12.89,0.0,41.215,,,0.0,,16.167,57.382,0.0,57.382,70.272,
12/31/1990,74.946999,23.285,14.285,9.0,14.444,,,12.122,,,,,2.057,,,,51.908001,13.181,26.136,-12.955,9.858,,,0.0,,,,0.0,23.039,,2.386,2.386,,,,0.0,,,,11.551,,,11.551,13.937,0.0,,,,0.0,,,,,,0.0,0.0,13.937,0.0,41.285999,,,0.0,,19.724001,61.01,0.0,61.01,74.947,
03/31/1991,77.560997,24.111,22.111,2.0,16.007999,,,11.846,,,,,1.988,,,,53.952999,13.75,27.996,-14.246,9.858,,,0.0,,,,0.0,23.608,,2.195,2.195,,,,0.0,,,,10.009001,,,10.009001,12.204,0.0,,,,0.0,,,,,,0.0,0.0,12.204,0.0,41.962002,,,0.0,,23.395,65.357002,0.0,65.357002,77.561003,
06/30/1991,84.970001,27.360001,14.215,13.145,16.833,,,11.416,,,,,2.018,,,,57.626999,15.069,30.677,-15.608,12.274,,,0.0,,,,0.0,27.343,,2.634,2.634,,,,0.0,,,,12.562,,,12.562,15.196,0.0,,,,0.0,,,,,,0.0,0.0,15.196,0.0,42.160999,,,0.0,,27.613001,69.774,0.0,69.774,84.97,
09/30/1991,93.398003,33.110999,18.421,14.69,17.868999,,,10.768,,,,,1.987,,,,63.735001,14.972,31.211,-16.239,14.691,,,0.0,,,,0.0,29.663,,3.12,3.12,,,,0.0,,,,14.883,,,14.883,18.003,0.0,,,,0.0,,,,,,0.0,0.0,18.003,0.0,43.037998,,,0.0,,32.356998,75.394997,0.0,75.394997,93.397997,
12/31/1991,102.206001,40.149,25.239,14.91,16.218,,,10.896,,,,,4.907,,,,72.169998,15.468,32.000999,-16.533001,14.568,,,0.0,,,,0.0,30.036,,3.048,3.048,,,,0.0,,,,17.708001,,,17.708001,20.756001,0.0,,,,0.0,,,,,,0.0,0.0,20.756001,0.0,43.918999,,,0.0,,37.530998,81.449997,0.0,81.449997,102.205998,
03/31/1992,109.507004,42.403001,30.433001,11.97,18.740999,,,12.89,,,,,4.88,,,,78.914001,16.145,34.205002,-18.059999,14.448,,,0.0,,,,0.0,30.593,,3.84,3.84,,,,0.0,,,,17.565001,,,17.565001,21.405001,0.0,,,,0.0,,,,,,0.0,0.0,21.405001,0.0,45.268002,,,0.0,,42.834,88.102001,0.0,88.102001,109.507002,
06/30/1992,112.424004,42.518,25.948,16.57,15.859,,,18.798,,,,,4.789,,,,81.963997,16.172001,35.541,-19.368999,14.288,,,0.0,,,,0.0,30.460001,,3.322,3.322,,,,0.0,,,,17.744,,,17.744,21.066,0.0,,,,0.0,,,,,,0.0,0.0,21.066,0.0,45.511002,,,0.0,,45.847,91.358002,0.0,91.358002,112.424002,
