Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Discontinued Operations,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/28/1990,100.862,15.755,10.272,5.483,2.983,,,45.612999,,,,,1.233,,,,65.584,30.589001,34.627998,-4.039,0.0,4.689,,,,,,4.689,35.278001,,24.648001,24.648001,,,,0.022,,,,,5.445999,,,5.445999,30.115999,3.952,,,,1.2,,,1.2,5.152,35.267999,0.0,71.153999,,,0.0,,-5.56,65.593999,0.0,65.593999,100.861999,
07/28/1990,173.350006,78.932998,78.377998,0.555,2.882,,,49.979,,,,,1.477,,,,133.270996,32.681,37.646,-4.965,0.0,7.398,,,,,,7.398,40.079,,21.406,21.406,,,,0.023,,,,,5.297,,,5.297,26.726,80.539001,,,,,,,,80.539001,107.265001,0.0,71.392998,,,0.0,,-5.308,66.084998,0.0,66.084998,173.349999,
10/27/1990,188.046997,74.49,49.812,24.677999,5.524,,,60.012001,,,,,1.419,,,,141.445007,38.943001,44.943001,-6.0,0.0,7.659,,,,,,7.659,46.602001,,30.921,30.921,,,,0.024,,,,,8.112,,,8.112,39.056999,80.924004,,,,,,,,80.924004,119.981003,0.0,71.653999,,,0.0,,-3.588,68.065999,0.0,68.065999,188.047002,
01/26/1991,203.522003,58.911001,33.379002,25.532,7.728,,,69.991997,,,,,1.794,,,,138.425003,43.463001,50.715,-7.252,0.0,21.634001,,,,,,21.634001,65.097002,,34.501999,34.501999,,,,0.874,,,,,17.772999,,,17.772999,53.148998,79.233002,,,,2.387,,,2.387,81.620002,134.769,0.0,71.921997,,,0.0,,-3.169,68.752997,0.0,68.752997,203.521997,
04/27/1991,207.649994,33.555,16.423,17.132,4.749,,,91.343002,,,,,1.598,,,,131.244995,50.634998,59.396,-8.761,0.0,25.77,,,,,,25.77,76.404999,,43.699001,43.699001,,,,0.873,,,,,11.134,,,11.134,55.706001,79.225998,,,,3.752,,,3.752,82.977998,138.683999,0.0,71.950996,,,0.0,,-2.985,68.965997,0.0,68.965997,207.649996,
07/27/1991,233.725006,12.207,11.342,0.865,6.346,,,119.855003,,,,,3.923,,,,142.330994,59.252998,69.689003,-10.436,0.0,32.140999,,,,,,32.140999,91.393997,,56.291,56.291,,,,0.897,,,,,11.525997,,,11.525997,68.713997,91.5,,,,4.485,,,4.485,95.985,164.698997,0.0,72.792999,,,0.0,,-3.767,69.025999,0.0,69.025999,233.724996,
10/26/1991,285.307007,59.405999,58.389999,1.016,10.113,,,108.209,,,,,3.375,,,,181.102997,65.334999,77.751999,-12.417,0.0,38.868999,,,,,,38.868999,104.203999,,46.729,46.729,,,,0.899,,,,,15.438002,,,15.438002,63.066002,79.486,,,,4.968,,,4.968,84.454,147.520002,0.0,137.794006,,,0.0,,-0.007,137.787006,0.0,137.787006,285.307008,
02/01/1992,308.630005,58.454999,55.994999,2.46,15.913,,,114.656998,,,,,5.958,,,,194.983002,71.345001,88.064003,-16.719,0.0,42.301998,,,,,,42.301998,113.646999,,41.321999,41.321999,,,,0.853,,,,,25.967,,,25.967,68.141998,81.191002,,,,8.466,,,8.466,89.657001,157.799,0.0,163.570007,,,0.0,,-12.739,150.831007,0.0,150.831007,308.630007,
05/02/1992,313.769012,54.175001,52.164001,2.011,9.513,,,126.422997,,,,,6.627,,,,196.738007,72.999001,89.822998,-16.823999,0.0,44.032001,,,,,,44.032001,117.031002,,59.629002,59.629002,,,,0.629,,,,,18.587999,,,18.587999,78.846001,81.899002,,,,6.524,,,6.524,88.423002,167.269003,0.0,139.251007,,,0.0,,7.249,146.500007,0.0,146.500007,313.76901,
08/01/1992,347.696014,25.679999,25.216999,0.463,14.659,,,171.332001,,,,,6.989,,,,218.660004,83.214996,105.683998,-22.469,0.0,45.820999,,,,,,45.820999,129.035995,,79.295998,79.295998,,,,1.462,,,,,22.136999,,,22.136999,102.894997,82.338997,,,,9.556,,,9.556,91.894997,194.789993,0.0,165.225998,,,0.0,,-12.32,152.905998,0.0,152.905998,347.695992,
10/31/1992,489.877014,15.899,15.435,0.464,20.645,,,189.720993,,,,,120.876999,,,,347.141998,86.931999,112.550003,-25.618,0.0,55.803001,,,,,,55.803001,142.735001,,94.332001,94.332001,,,,1.603,,,,,29.233998,,,29.233998,125.168999,123.301003,,,,9.858,,,9.858,133.159002,258.328001,0.0,238.690994,,,0.0,,-7.142,231.548994,0.0,231.548994,489.876995,
01/30/1993,494.369995,111.292995,76.310997,34.981998,21.778999,,,204.660995,,,,,8.206,,,,345.938995,89.657997,121.136002,-31.478001,0.0,58.772999,,,,,,58.772999,148.430996,,77.806,77.806,,,,1.604,,,,,36.496998,,,36.496998,115.906998,119.612,,,,11.653,,,11.653,131.264999,247.171997,0.0,244.880997,,,0.0,,2.317,247.197997,0.0,247.197997,494.369994,
05/01/1993,505.438995,117.046997,61.140999,55.905998,19.641001,,,203.822998,,,,,13.9,,,,354.411011,92.839996,128.082993,-35.243,0.0,58.188,,,,,,58.188,151.027996,,84.775002,84.775002,,,,2.096,,,,,33.183999,,,33.183999,120.055,121.008003,,,,13.499,,,13.499,134.507003,254.562003,0.0,246.281998,,,0.0,,4.595,250.876997,0.0,250.876997,505.439001,
07/31/1993,492.938995,88.121,28.045,60.076,18.625999,,,199.423004,,,,,19.464001,,,,325.634003,104.578003,142.173004,-37.595001,0.0,62.727001,,,,,,62.727001,167.305004,,74.681,74.681,,,,2.036,,,,,32.204997,,,32.204997,108.921997,120.823997,,,,14.237,,,14.237,135.060998,243.982995,0.0,249.397003,,,0.0,,-0.441,248.956003,0.0,248.956003,492.938998,
10/30/1993,556.153992,132.844997,71.394997,61.450001,24.017,,,204.380005,,,,,17.577,,,,378.819,117.931999,156.901001,-38.969002,0.0,59.403,,,,,,59.403,177.334999,,104.175003,104.175003,,,,2.495,,,,,46.766994,,,46.766994,153.436996,122.135002,,,,15.855,,,15.855,137.990002,291.426998,0.0,251.662003,,,0.0,,13.065,264.727002,0.0,264.727002,556.154,
01/29/1994,650.755981,110.518002,37.976002,72.542,63.851002,,,239.843994,,,,,19.462999,,,,433.675995,137.356003,189.949005,-52.592999,0.0,79.723999,,,,,,79.723999,217.080002,,123.209,123.209,,,,26.087,,,,,70.054007,,,70.054007,219.350006,123.592003,,,,20.607,,,20.607,144.199003,363.549009,0.0,256.59201,,,0.0,,30.615,287.20701,0.0,287.20701,650.75602,
04/30/1994,694.189026,104.081003,31.989,72.092003,50.334,,,272.993011,,,,,38.938,,,,466.346008,146.358994,204.337997,-57.979,0.0,81.484001,,,,,,81.484001,227.842995,,162.927994,162.927994,,,,26.072001,,,,,67.203009,,,67.203009,256.203003,125.499001,,,,21.365999,,,21.365999,146.865,403.068003,0.0,257.26001,,,0.0,,33.861,291.12101,0.0,291.12101,694.189013,
07/30/1994,757.211975,65.690001,4.615,61.075001,74.108002,,,325.506989,,,,,31.712999,,,,497.018005,167.574005,231.654007,-64.080002,0.0,92.620003,,,,,,92.620003,260.194008,,152.044006,152.044006,,,,88.350998,,,,,71.675003,,,71.675003,312.070007,126.222,,,,22.139,,,22.139,148.361,460.431007,0.0,259.148987,,,0.0,,37.632,296.780987,0.0,296.780987,757.211994,
10/29/1994,950.22998,51.640999,18.083,33.557999,74.768997,,,443.363007,,,,,29.849001,,,,599.622009,202.552002,276.036987,-73.485001,0.0,148.056,,,,,,148.056,350.608002,,236.660004,236.660004,,,,21.893999,,,,,114.919996,,,114.919996,373.473999,190.209,,,,26.745001,,,26.745001,216.954,590.427999,0.0,309.013,,,0.0,,50.789001,359.802002,0.0,359.802002,950.230001,
01/29/1995,1008.453979,71.014002,41.810001,29.204,75.910004,,,463.493011,,,,,29.316,,,,639.732971,212.645004,292.946014,-80.301003,0.0,156.076004,,,,,,156.076004,368.721008,,212.341003,212.341003,,,,6.257,,,,,131.740009,,,131.740009,350.338013,249.386993,,,,23.739,,,23.739,273.125994,623.464006,0.0,314.579987,,,-0.346,,70.756004,384.98999,0.0,384.98999,1008.453997,
04/29/1995,1089.505005,71.449999,41.896999,29.552999,88.092003,,,511.388,,,,,38.467999,,,,709.39801,221.348007,311.489014,-90.140999,0.0,158.759003,,,,,,158.759003,380.10701,,245.501999,245.501999,,,,6.456,,,,,110.677011,,,110.677011,362.63501,300.360992,,,,24.796,,,24.796,325.156992,687.792002,0.0,320.338013,,,-0.346,,81.721,401.713013,0.0,401.713013,1089.505014,
07/29/1995,1172.333008,50.889,29.922001,20.966999,109.279999,,,571.466003,,,,,33.299,,,,764.934021,241.082001,343.641998,-102.559998,0.0,166.317001,,,,,,166.317001,407.399002,,260.472992,260.472992,,,,8.036,,,,,112.448009,,,112.448009,380.957001,224.330002,,,,25.750999,,,25.750999,250.081001,631.038002,0.0,451.424011,,,-0.346,,90.217002,541.295013,0.0,541.295013,1172.333015,
10/28/1995,1398.11499,92.252998,71.848999,20.403999,129.759995,,,702.637024,,,,,35.648998,,,,960.299011,262.890991,378.208008,-115.317001,0.0,174.925003,,,,,,174.925003,437.815994,,338.298004,338.298004,,,,8.012,,,,,139.054009,,,139.054009,485.364014,320.567993,,,,26.990999,,,26.990999,347.558992,832.923006,0.0,453.528992,,,-0.346,,112.009002,565.191994,0.0,565.191994,1398.115,
