Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/29/2006,14219,305,305,0,1587,1587,,1286,267.0,204,815,0,508,,,,,3686,2564,,,0,7969,7538,6156,1382,431,10533,,454,454,,,,391,372,19.0,19.0,,910,,,,910,1755,2065,1990,75.0,75.0,1657,,,,,1657,3722,5477,0,,,,,,8742,8742,0,8742,14219,
03/30/2007,14448,355,355,0,1627,1627,,1279,261.0,212,806,0,627,,,,,3888,2589,,,0,7971,7547,6172,1375,424,10560,,483,483,,,,398,378,20.0,20.0,,980,,,,980,1861,2066,1995,71.0,71.0,1658,,,,,1658,3724,5585,0,,,,,,8863,8863,0,8863,14448,
06/29/2007,18160,676,676,0,1642,1642,,1295,261.0,208,826,0,3647,,,,,7260,2625,,,0,8275,7534,6169,1365,741,10900,,483,483,,,,3573,3553,20.0,20.0,,4081,,,,4081,8137,842,775,67.0,67.0,2660,,,,,2660,3502,11639,0,5982.0,,,,,539,6521,0,6521,18160,
09/28/2007,18328,872,872,0,1664,1664,,1309,252.0,205,852,0,3711,,,,,7556,2691,4693.0,-2002.0,0,8081,7232,5932,1300,849,10772,,527,527,,,,523,502,21.0,21.0,,4317,,,,4317,5367,3565,3502,63.0,63.0,2654,,,,,2654,6219,11586,0,6099.0,,,0.0,,643,6742,0,6742,18328,
12/28/2007,18823,890,890,0,1552,1552,,1193,254.0,211,728,0,4472,,,,,8107,2387,,,0,8329,7019,5778,1241,1310,10716,,402,402,,,,279,257,22.0,22.0,,4303,,,,4303,4984,3577,3519,58.0,58.0,3264,,,,,3264,6841,11825,0,6109.0,,,,114.0,775,6998,0,6998,18823,
03/28/2008,16277,849,849,0,1738,1738,,1230,0.000264,230,736,0,1554,,,,,5371,2418,,,0,8488,7046,5811,1235,1442,10906,,444,444,,,,31,1,30.0,30.0,,1521,,,,1521,1996,3589,3540,49.0,49.0,3291,,,,,3291,6880,8876,0,6183.0,,,,215.0,1003,7401,0,7401,16277,
06/27/2008,16036,1091,1091,0,1757,1757,,1268,265.0,239,764,0,1020,,,,,5136,2425,,,0,8475,7098,5853,1245,1377,10900,,484,484,,,,26,1,25.0,25.0,,1350,,,,1350,1860,3161,3114,47.0,47.0,3312,,,,,3312,6473,8333,0,6264.0,,,,484.0,955,7703,0,7703,16036,
09/26/2008,16003,1208,1208,0,1758,1758,,1347,273.0,244,830,0,778,,,,,5091,2584,4649.0,-2065.0,0,8328,7119,5846,1273,1209,10912,,558,558,,,,19,0,19.0,19.0,,1467,,,,1467,2044,2986,2941,45.0,45.0,3226,,,,,3226,6212,8256,0,6354.0,,,,686.0,707,7747,0,7747,16003,
12/26/2008,15873,1136,1136,0,1632,1632,0.0,1325,290.0,336,699,0,1126,,343.0,,783.0,5219,2471,,,0,8183,7013,5788,1225,1170,10654,,1731,463,,,1268.0,5,0,5.0,5.0,,94,,,,94,1830,2908,2865,43.0,43.0,3241,,,,,3241,6149,7979,0,6385.0,101.0,6284.0,0.0,1058.0,451,7894,0,7894,15873,
03/27/2009,16297,1300,1300,0,1779,1779,0.0,1306,282.0,353,671,0,1223,,350.0,,873.0,5608,2460,,,0,8229,7008,5777,1231,1221,10689,,1735,447,,,1288.0,5,5,,,,525,,,,525,2265,2901,2859,42.0,42.0,3304,,,,,3304,6205,8470,0,6409.0,101.0,6308.0,0.0,1081.0,337,7827,0,7827,16297,
06/26/2009,16674,1221,1221,0,1633,1633,0.0,1343,293.0,348,702,0,1162,,351.0,,811.0,5359,2502,,,0,8813,7495,5976,1519,1318,11315,,1672,467,,,1205.0,5,0,5.0,5.0,,389,,,,389,2066,3004,2963,41.0,41.0,3470,,,,,3470,6474,8540,0,6409.0,100.0,6309.0,0.0,1308.0,417,8134,0,8134,16674,
09/25/2009,17139,1467,1467,0,1669,1669,0.0,1272,285.0,326,661,0,1255,30.0,357.0,108.0,415.0,5663,2542,4744.0,-2202.0,0,8934,7533,6020,1513,1263,11476,,2155,471,35.0,0.0,1649.0,30,0,5.0,5.0,25.0,103,0.0,0.0,459.0,48,2288,2961,2920,41.0,41.0,3889,0.0,276.0,276.0,0.0,3154,6850,9138,0,6445.0,101.0,6344.0,-155.0,1182.0,529,8001,0,8001,17139,
12/25/2009,17350,1513,1513,0,1745,1745,0.0,1324,319.0,341,664,0,846,,,,828.0,5428,2661,,,0,9261,7818,6118,1700,1443,11922,,1848,519,,,1329.0,255,0,5.0,5.0,250.0,104,,,,81,2207,2709,2670,39.0,39.0,4036,,,,,4036,6745,8952,0,6337.0,100.0,6237.0,,1587.0,474,8398,0,8398,17350,
03/26/2010,17529,1720,1720,0,1690,1690,0.0,1358,312.0,348,698,0,903,,,,868.0,5671,2651,,,0,9207,7811,6112,1699,1396,11858,,1870,509,,,1361.0,255,0,5.0,5.0,250.0,104,,,,75,2229,2707,2670,37.0,37.0,4071,,,,,4071,6778,9007,0,6386.0,100.0,6286.0,,1819.0,317,8522,0,8522,17529,
06/25/2010,17799,2123,2123,0,1572,1572,0.0,1293,297.0,340,656,0,1255,,336.0,,882.0,6243,2531,,,0,9025,7675,6063,1612,1350,11556,,1812,500,,,1312.0,255,0,5.0,5.0,250.0,216,,,,183,2283,2706,2670,36.0,36.0,4061,,,,,4061,6767,9050,0,6397.0,100.0,6297.0,,2184.0,168,8749,0,8749,17799,
09/24/2010,20387,1565,1565,0,1708,1708,0.0,1381,283.0,315,783,0,1086,33.0,,188.0,541.0,5740,2608,4993.0,-2385.0,0,12039,10624,7675,2949,1194,14647,,2763,586,547.0,0.0,1630.0,255,0,5.0,5.0,250.0,108,0.0,149.0,673.0,82,3126,4451,4415,36.0,36.0,3836,0.0,298.0,298.0,0.0,2716,8287,11413,0,6664.0,101.0,6563.0,-484.0,2444.0,350,8974,0,8974,20387,
