Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2001,1407.699951,12.0,12.0,0.0,315.600006,,,,278.799988,107.0,143.100006,136.199997,-107.5,133.399994,,,,,,,739.799988,254.100006,,,0.0,,413.799988,360.600006,,,,53.199982,667.899994,,333.899994,333.899994,,,,31.700001,,,,,,224.30003,,,,,224.30003,589.900024,0.0,,,,,165.5,,,165.5,165.5,755.400024,0.0,,,,,,652.299988,652.299988,0.0,652.299988,1407.700012,
06/30/2001,1408.1,11.5,11.5,0.0,355.6,355.6,,,277.8,94.3,124.1,166.0,0.0,115.7,,,,,,,760.6,254.5,588.9,-334.4,0.0,,393.0,350.7,350.7,0.0,,42.3,647.5,,340.2,340.2,,,,82.7,82.7,0.0,0.0,,,276.2,,,,,276.2,699.1,180.7,180.7,0.0,0.0,,163.4,,,163.4,344.1,1043.2,0.0,505.6,,,0.0,9.5,-153.3,361.8,3.1,364.9,1408.1,
09/30/2001,1487.4,89.0,89.0,0.0,352.0,352.0,,,276.8,102.0,110.2,162.2,0.0,104.2,,,,,,,822.0,256.4,601.4,-345.0,0.0,,409.0,343.1,343.1,0.0,,65.9,665.4,,329.0,329.0,,,,82.6,82.6,0.0,0.0,,,279.8,,,,,279.8,691.4,250.2,250.2,0.0,0.0,,154.3,,,154.3,404.5,1095.9,0.0,510.5,,,0.0,20.9,-143.2,388.2,3.3,391.5,1487.4,
12/31/2001,1437.9,28.0,28.0,,375.9,375.9,,,269.6,115.2,118.9,145.0,-109.5,81.6,,,,,,,755.1,275.3,624.8,-349.5,27.1,,380.4,356.3,347.1,9.2,,24.1,682.8,,369.4,369.4,,,,78.9,,,,,,232.5,,,,,232.5,680.8,194.1,,,,,141.4,,,141.4,335.5,1016.3,,523.7,,,,42.3,-147.8,418.2,3.4,421.6,1437.9,
03/31/2002,1289.8,2.2,2.2,0.0,403.7,403.7,,,305.8,84.2,163.5,163.1,0.0,87.2,,,,,,,798.9,276.2,633.3,-357.1,0.0,,214.7,130.1,96.6,33.5,,84.6,490.9,,430.4,430.4,,,,78.7,78.7,0.0,0.0,,,216.6,,,,,216.6,725.7,182.7,182.7,0.0,0.0,,133.3,,,133.3,316.0,1041.7,0.0,530.5,,,0.0,-146.5,-139.8,244.2,3.9,248.1,1289.8,
06/30/2002,1375.7,7.4,7.4,0.0,426.7,426.7,,,312.1,110.9,157.0,159.5,0.0,125.7,,,,,,,871.9,291.1,664.9,-373.8,0.0,,212.7,124.9,89.2,35.7,,87.8,503.8,,454.4,454.4,,,,103.1,103.1,0.0,0.0,,,252.6,,,,,252.6,810.1,150.5,150.5,0.0,0.0,,128.1,,,128.1,278.6,1088.7,0.0,532.1,,,0.0,-128.8,-120.7,282.6,4.4,287.0,1375.7,
09/30/2002,1305.7,38.6,38.6,0.0,402.8,402.8,,,296.8,95.7,156.2,159.2,0.0,84.3,,,,,,,822.5,295.1,677.3,-382.2,0.0,,188.1,114.6,79.8,34.8,,73.5,483.2,,413.5,413.5,,,,83.6,83.6,0.0,0.0,,,227.2,,,,,227.2,724.3,185.5,185.5,0.0,0.0,,110.2,,,110.2,295.7,1020.0,0.0,527.7,,,0.0,-111.9,-134.9,280.9,4.8,285.7,1305.7,
12/31/2002,1372.5,32.4,32.4,,419.2,838.4,,,278.9,77.0,125.9,193.6,-117.6,87.9,,,,,,,818.4,306.1,696.3,-390.2,29.4,,218.6,92.8,83.6,9.2,,125.8,554.1,,235.0,235.0,,,,59.5,,,,,,439.5,,,,,439.5,734.0,175.4,,,,,154.7,,,154.7,330.1,1064.1,,544.4,,,0.0,-174.8,-65.8,303.8,4.6,308.4,1372.5,
03/31/2003,1383.0,34.6,34.6,0.0,402.8,402.8,,,306.9,75.8,129.4,221.2,-119.5,75.7,,,,,,,820.0,320.2,714.4,-394.2,0.0,,242.8,121.4,84.6,36.8,,121.4,563.0,,462.9,462.9,,,,97.7,97.7,0.0,0.0,,,231.7,,,,,231.7,792.3,150.5,150.5,0.0,0.0,,133.4,,,133.4,283.9,1076.2,0.0,551.2,,,0.0,-78.2,-171.7,301.3,5.5,306.8,1383.0,
06/30/2003,1457.3,63.3,63.3,0.0,464.0,464.0,,,295.9,80.5,116.1,222.7,0.0,71.0,,,,,,,894.2,315.6,707.2,-391.6,0.0,,247.5,127.7,90.6,37.1,,119.8,563.1,,473.4,473.4,,,,204.8,204.8,0.0,0.0,,,253.2,,,,,253.2,931.4,50.5,50.5,0.0,0.0,,132.8,,,132.8,183.3,1114.7,0.0,551.5,,,0.0,-55.3,-159.9,336.3,6.3,342.6,1457.3,
