Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,80.295998,20.021999,33.784,6.204,,6.204,20.285999,,,20.285999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,24.542,0.525,30.377001,2.027,,2.027,-8.387,,,-8.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,42.084,6.636,31.021999,-0.044,,-0.044,4.47,,,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,60.798,28.039,37.471001,5.503,,5.503,-10.215,,,-10.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.798,,,
03/31/1991,54.283001,12.963,35.602001,4.873,,4.873,0.845,,,0.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,36.268002,-0.101,27.437,1.956,,1.956,6.976,,,6.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,23.986,0.486,23.190001,-1.111,,-1.111,1.421,,,1.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,45.435001,19.047001,36.022999,4.666,,4.666,-14.301,,,-14.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.435001,,,
03/31/1992,54.529999,4.217,34.577,5.545,,5.545,10.191,,,10.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,10.551,-7.73,26.83,6.981,,6.981,-15.53,,,-15.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
