Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Provision for Doubtful Accounts,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Unsecured Debt,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/2007,55.96,25.682,40.454,,3.798,-13.974,,,-262.191,,105.234,,,,-5.207,-162.164,191.259,-44.831,-63.162,-183.061,-386.058,202.997,491.405,,-9.092,85.055,
06/30/2007,75.62,118.269,36.525,,-74.55,-4.624,,,,,250.086,,,,-340.114,-90.028,-21.442,-55.406,-15.02,128.669,89.329,39.34,2.025,-102.729,21.019,-35.85,
09/30/2007,85.355,73.11,45.454,,19.958,-53.167,,,-595.26,,93.095,,,,317.122,-185.043,172.519,-54.32,-37.336,291.718,215.83,75.888,1.389,-0.008,-28.924,72.831,
12/31/2007,23.608,97.199,39.492,,-129.663,16.58,,,-500.449,,321.879,,,,-16.435,-195.005,94.822,-57.187,-22.204,-23.553,-46.835,23.282,5.581,-0.584,192.769,-76.575,
03/31/2008,62.444,42.932,41.669,,-3.559,-18.598,,,-329.502,,185.777,,,,-107.6,-251.325,225.277,-53.389,-32.914,306.423,13.13,293.293,0.484,,4.673,36.396,
06/30/2008,65.152,77.019,40.793,,-15.048,-37.612,,,-358.279,,108.256,,,,104.363,-145.66,163.643,-54.783,-11.017,227.362,-119.642,347.004,3.0,,-0.919,83.135,
09/30/2008,112.435,28.151,47.031,,-11.377,48.63,,,-265.812,,58.003,,,,-35.567,-243.376,77.118,-54.909,-19.632,228.444,-127.226,355.67,0.719,,-77.504,-53.823,
03/31/2009,61.825,-118.398,42.101,,138.634,-0.512,,0.0,-147.879,0.0,175.403,0.0,0.0,0.0,-12.279,15.245,-38.003,-2.475,-3.595,-592.304,-498.244,-94.06,552.501,0.0,7.87,39.067,
06/30/2009,26.017,21.374,38.326,,-30.372,-3.311,,278.58,-127.082,0.0,-170.053,0.0,0.0,0.0,-0.318,-18.873,-111.083,-44.935,-8.1,-21.793,196.393,-218.186,0.0,-0.113,-36.142,-103.939,
09/30/2009,87.111,67.14,47.308,,-45.831,18.494,,0.0,-67.327,0.0,171.14,0.0,0.0,-0.357,-1.656,101.8,-200.166,-44.86,-5.359,-122.672,-115.861,-6.811,0.208,-0.21,-27.273,-11.255,
