Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2010,172.516696,4.089745,4.089745,0,3.845744,3.845744,0,16.703362,0.0,0.0,16.703362,0.0,0.398553,,0.0,,,0.398553,25.037404,146.84173,251.6874,-104.84567,0.0,,0.637562,0.0,0.0,0.0,,0.637562,147.479292,,14.725418,8.641089,0.0,0.0,6.084329,0.0,0.0,0.0,0.0,,,5.284858,0.0,1.373864,,5.284858,20.010276,44.766687,44.766687,0.0,0.0,,2.10169,0.0,0.0,0.0,0.0,0.727826,46.868377,66.878653,0,,,,0.0,0.0,105.638043,105.638043,0.0,105.638043,172.516696,
09/30/2011,230.199244,3.218083,3.218083,0,8.432864,8.432864,0,6.43077,0.0,0.0,6.43077,0.0,14.582186,,,,,14.582186,32.663903,190.797899,306.016593,-115.218694,0.0,,6.737442,,,,,6.737442,197.535341,,29.553859,15.881177,,,13.672682,0.0,0.0,,,,,3.137059,,1.470351,,3.137059,32.690918,80.0,80.0,,,,2.488904,,,,,1.018553,82.488904,115.179822,0,,,,0.0,,115.019422,115.019422,0.0,115.019422,230.199244,
12/31/2011,249.483885,6.802389,6.802389,0,4.573304,4.573304,0,6.006355,0.0,0.0,6.006355,0.0,13.550791,,0.0,,,13.550791,30.932839,207.026619,326.526654,-119.500035,0.0,,11.524427,0.0,0.0,0.0,10.309668,1.214759,218.551046,,27.496492,8.769491,0.0,0.0,18.727001,0.0,0.0,0.0,0.0,,,14.921813,0.0,6.138573,,6.601462,42.418305,85.0,85.0,0.0,0.0,,7.218298,0.0,0.0,0.0,0.0,1.079725,92.218298,134.636603,0,,,,0.0,0.0,114.847282,114.847282,0.0,114.847282,249.483885,
03/31/2012,267.040806,9.043365,9.043365,0,8.135276,8.135276,0,7.184217,0.0,0.0,7.184217,0.0,3.219193,,,,,3.219193,27.582051,227.47032,351.630052,-124.159732,0.0,,11.988435,,,,10.490579,1.497856,239.458755,,22.478594,9.317178,,,13.161416,12.49,12.49,,,,,18.504653,,6.9261,,7.539074,53.473247,85.0,85.0,,,,8.062223,,,,,1.136123,93.062223,146.53547,0,,,,,,120.505336,120.505336,0.0,120.505336,267.040806,
06/30/2012,282.99131,2.066717,2.066717,0,7.297777,7.297777,0,5.890578,0.0,0.0,5.890578,0.0,10.008693,,,,,10.008693,25.263765,255.729773,385.450498,-129.720725,0.0,,1.997772,,,,,1.997772,257.727545,,33.0074,10.101407,,,22.905993,10.072546,10.072546,,,,,8.726992,,1.666639,,4.883486,51.806938,104.448342,104.448342,,,,2.862301,,,,,1.195662,107.310643,159.117581,0,,,,,,123.873729,123.873729,0.0,123.873729,282.99131,
09/30/2012,307.767,1.275,1.275,0,8.182,8.182,0,6.31,0.0,0.0,6.31,0.0,11.137,,,,,11.137,26.904,277.35,413.083,-135.733,0.0,,3.513,,,,,3.513,280.863,,40.262,22.683,,,17.579,10.133,10.133,,,,,9.677,,1.556,,3.492,60.072,120.275,120.275,,,,2.82,,,,,1.264,123.095,183.167,0,,,,0.0,,124.6,124.6,0.0,124.6,307.767,
12/31/2012,606.701,26.358,26.358,0,14.04,14.04,0,6.195,0.0,0.0,6.195,0.0,3.682,,0.0,,,1.825,50.275,554.242,700.079,-145.837,0.0,,2.184,0.0,0.0,0.0,,2.184,556.426,,52.187,12.141,0.0,0.0,40.046,0.145,0.145,0.0,0.0,,,26.9,0.0,0.388,62.695,22.083,79.232,0.193,0.193,0.0,0.0,,65.208,0.0,0.0,0.0,0.0,2.125,65.401,144.633,0,514.142,0.37,513.772,0.0,-52.074,0.0,462.068,0.0,462.068,606.701,
03/31/2013,648.463,5.516,5.516,0,18.75,18.75,0,6.247,0.0,0.0,6.247,0.0,4.003,,0.169,,,1.884,34.516,612.813,769.383,-156.57,0.0,,1.134,,,,,0.965,613.947,,68.08,8.485,,,59.595,0.145,0.145,,,,,8.111,,0.0,65.206,3.649,76.336,36.657,36.657,,,,67.436,,,,,2.23,104.093,180.429,0,514.712,0.37,514.342,0.0,-46.678,,468.034,0.0,468.034,648.463,
06/30/2013,798.639,81.898,81.898,0,23.721,23.721,0,6.271,0.0,0.0,6.271,0.0,4.646,,0.0,,,1.455,116.536,681.172,852.481,-171.309,0.0,,0.931,,,,,0.931,682.103,,88.737,22.63,,,66.107,0.145,0.145,,,,,8.605,,0.0,71.098,5.744,97.487,0.121,0.121,,,,73.422,,,,,2.324,73.543,171.03,0,659.816,0.422,659.394,0.0,-32.207,,627.609,0.0,627.609,798.639,
09/30/2013,1465.896,53.1,53.1,0,30.161,30.161,0,6.228,,,,,2.426,,0.527,,,1.78,91.915,1361.121,1549.766,-188.645,0.0,,12.86,,,,,12.333,1373.981,,100.242,24.012,,,76.23,0.145,0.145,,,,,9.064,,0.0,80.544,7.131,109.451,450.085,450.085,,,,83.422,,,,,2.878,533.507,642.958,0,840.549,0.47,840.079,0.0,-17.611,,822.938,0.0,822.938,1465.896,
