Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,8640,757,549,208,1483,,,1411,,,,,541,,,,,4192,2882,4635,-1753,257,,1309,,,,,1309,4448,,625,625,,,,884,,,,,,1065,,,1065,2574,1166,,,,,614,,,,614,1780,4354,0.0,384,,,-1486.0,,5388.0,4286,0.0,4286,8640,
07/01/1990,9171,957,636,321,1661,,,1520,,,,,541,,,,,4679,2961,4793,-1832,237,,1294,,,,,1294,4492,,630,630,,,,1095,,,,,,1090,,,1090,2815,1185,,,,,623,,,,623,1808,4623,0.0,384,,,-1487.0,,5651.0,4548,0.0,4548,9171,
09/30/1990,9549,1128,845,283,1658,,,1550,,,,,570,,,,,4906,3113,5062,-1949,226,,1304,,,,,1304,4643,,644,644,,,,990,,,,,,1284,,,1284,2918,1279,,,,,611,,,,611,1890,4808,0.0,284,,,-1488.0,,5945.0,4741,0.0,4741,9549,
12/30/1990,9506,931,826,105,1519,,,1543,,,,,671,,,,,4664,3247,5098,-1851,255,,1340,,,,,1340,4842,,829,829,,,,876,,,,,,918,,,918,2623,1316,,,,,667,,,,667,1983,4606,0.0,284,,,-1488.0,,6104.0,4900,0.0,4900,9506,
03/31/1991,9294,603,440,163,1732,,,1483,,,,,727,,,,,4545,3177,5045,-1868,282,,1290,,,,,1290,4749,,745,745,,,,519,,,,,,1034,,,1034,2298,1395,,,,,674,,,,674,2069,4367,0.0,284,,,-1493.0,,6136.0,4927,0.0,4927,9294,
06/30/1991,9429,682,548,134,1740,,,1593,,,,,586,,,,,4601,3205,5100,-1895,287,,1336,,,,,1336,4828,,638,638,,,,821,,,,,,1066,,,1066,2525,1083,,,,,757,,,,757,1840,4365,0.0,284,,,-1493.0,,6273.0,5064,0.0,5064,9429,
09/29/1991,9853,736,579,157,1845,,,1561,,,,,615,,,,,4757,3368,5381,-2013,336,,1392,,,,,1392,5096,,684,684,,,,560,,,,,,1147,,,1147,2391,1328,,,,,778,,,,778,2106,4497,0.0,284,,,-1493.0,,6565.0,5356,0.0,5356,9853,
12/29/1991,10513,792,589,203,1763,,,1702,,,,,676,,,,,4933,3667,5691,-2024,276,,1637,,,,,1637,5580,,934,934,,,,679,,,,,,1076,,,1076,2689,1301,,,,,897,,,,897,2198,4887,0.0,284,,,-1488.0,,6830.0,5626,0.0,5626,10513,
03/29/1992,10461,564,394,170,1920,,,1782,,,,,683,,,,,4949,3696,5768,-2072,324,,1492,,,,,1492,5512,,783,783,,,,786,,,,,,1192,,,1192,2761,1062,,,,,901,,,,901,1963,4724,0.0,292,,,-1510.0,,6955.0,5737,0.0,5737,10461,
06/28/1992,11239,647,452,195,2158,,,1890,,,,,756,,,,,5451,3868,6078,-2210,366,,1554,,,,,1554,5788,,843,843,,,,1272,,,,,,1238,,,1238,3353,1255,,,,,917,,,,917,2172,5525,0.0,767,,,-2004.0,,6951.0,5714,0.0,5714,11239,
09/27/1992,11811,1013,681,332,2117,,,1923,,,,,850,,,,,5903,3971,6257,-2286,377,,1560,,,,,1560,5908,,849,849,,,,1097,,,,,,1340,,,1340,3286,1522,,,,,1032,,,,1032,2554,5840,0.0,767,,,-2001.0,,7205.0,5971,0.0,5971,11811,
01/03/1993,11884,878,745,133,1855,,,1742,,,,,948,,,,,5423,4115,6303,-2188,355,,1991,,,,,1991,6461,,910,910,,,,1032,,,,,,1485,,,1485,3427,1365,,,,,1921,,,,1921,3286,6713,0.0,767,,,-2006.0,,6410.0,5171,0.0,5171,11884,
04/04/1993,11962,627,488,139,2085,,,1798,,,,,922,,,,,5432,4150,6456,-2306,336,,2044,,,,,2044,6530,,790,790,,,,832,,,,,,1523,,,1523,3145,1357,,,,,1917,,,,1917,3274,6419,0.0,767,,,-2.005,,4778.005,5543,0.0,5543,11962,
07/04/1993,12213,709,595,114,2146,,,1856,,,,,872,,,,,5583,4155,6525,-2370,395,,2080,,,,,2080,6630,,832,832,,,,809,,,,,,1396,,,1396,3037,1424,,,,,2047,,,,2047,3471,6508,0.0,767,,,-2.027,,4940.027,5705,0.0,5705,12213,
10/03/1993,12401,781,644,137,2135,,,1844,,,,,875,,,,,5635,4263,6732,-2469,423,,2080,,,,,2080,6766,,778,778,,,,1044,,,,,,1515,,,1515,3337,1276,,,,,2093,,,,2093,3369,6706,0.0,767,,,-2309.0,,7237.0,5695,0.0,5695,12401,
12/31/1993,12242,476,372,104,2107,,,1717,,,,,917,,,,,5217,4406,6783,-2377,437,,2182,,,,,2182,7025,,901,901,,,,915,,,,,,1396,,,1396,3212,1493,,,,,1969,,,,1969,3462,6674,0.0,767,,,-2504.0,,7305.0,5568,0.0,5568,12242,
04/03/1994,12826,433,334,99,2296,,,1834,,,,,1104,,,,,5667,4418,6985,-2567,437,,2304,,,,,2304,7159,,762,762,,,,696,,,,,,1688,,,1688,3146,1505,,,,,2083,,,,2083,3588,6734,0.0,767,,,-2501.0,,7826.0,6092,0.0,6092,12826,
06/30/1994,13442,687,571,116,2440,,,1901,,,,,1092,,,,,6120,4479,7183,-2704,464,,2379,,,,,2379,7322,,829,829,,,,585,,,,,,1783,,,1783,3197,1510,,,,,2114,,,,2114,3624,6821,0.0,767,,,-2478.0,,8332.0,6621,0.0,6621,13442,
09/30/1994,14833,933,866,67,2546,,,2038,,,,,1143,,,,,6660,4600,7437,-2837,445,,3128,,,,,3128,8173,,858,858,,,,1142,,,,,,2407,,,2407,4407,1258,,,,,2175,,,,2175,3433,7840,0.0,767,,,-2504.0,,8730.0,6993,0.0,6993,14833,
01/01/1995,15668,704,636,68,2601,,,2161,,,,,1214,,,,,6680,4910,7655,-2745,354,,3724,2403.0,,,,1321,8988,,1192,1192,,,,899,,,,,,2175,,,2175,4266,2199,,,,,2081,,,,2081,4280,8546,0.0,767,,,-2503.0,,8858.0,7122,0.0,7122,15668,
04/02/1995,16639,1014,460,554,2837,,,2326,,,,,1386,,,,,7563,4833,7697,-2864,373,,3870,,,,,3870,9076,,1122,1122,,,,526,,,,,,2522,,,2522,4170,2210,,,,,2378,,,,2378,4588,8758,0.0,767,,,-2507.0,,9621.0,7881,0.0,7881,16639,
07/02/1995,17389,1079,1041,38,3106,,,2366,,,,,1285,,,,,7836,4904,7897,-2993,378,,4271,,,,,4271,9553,,1150,1150,,,,649,,,,,,2491,,,2491,4290,2138,,,,,2397,,,,2397,4535,8825,0.0,767,,,-2298.0,,10095.0,8564,0.0,8564,17389,
10/01/1995,17689,1338,1293,45,3073,,,2374,,,,,1299,,,,,8084,4944,8032,-3088,399,,4262,,,,,4262,9605,,1118,1118,,,,409,,,,,,2784,,,2784,4311,2108,,,,,2358,,,,2358,4466,8777,0.0,767,,,-2306.0,,10451.0,8912,0.0,8912,17689,
12/31/1995,17873,1364,1201,163,2903,,,2276,,,,,1395,,,,,7938,5196,8175,-2979,338,,4401,,,,,4401,9935,,1602,1602,,,,321,,,,,,2465,,,2465,4388,2107,,,,,2333,,,,2333,4440,8828,0.0,767,,,-2317.0,,10595.0,9045,0.0,9045,17873,
03/31/1996,18940,1863,1724,139,3223,,,2433,,,,,1484,,,,,9003,5233,8437,-3204,264,,4440,,,,,4440,9937,,1347,1347,,,,267,,,,,,2808,,,2808,4422,2111,,,,,2579,,,,2579,4690,9112,0.0,767,,,-1513.0,,10574.0,9828,0.0,9828,18940,
06/30/1996,19305,1958,1860,98,3380,,,2506,,,,,1400,,,,,9244,5249,8584,-3335,287,,4525,,,,,4525,10061,,1360,1360,,,,260,,,,,,2779,,,2779,4399,2101,,,,,2565,,,,2565,4666,9065,0.0,1535,,,-1497.0,,10202.0,10240,0.0,10240,19305,
09/29/1996,19910,2223,2088,135,3355,,,2631,,,,,1391,,,,,9600,5335,8829,-3494,356,,4619,,,,,4619,10310,,1320,1320,,,,503,,,,,,3110,,,3110,4933,1717,,,,,2582,,,,2582,4299,9232,0.0,1535,,,-1523.0,,10666.0,10678,0.0,10678,19910,
12/31/1996,20010,2136,2011,125,3251,,,2498,,,,,1485,,,,,9370,5651,9023,-3372,351,,4638,,,,,4638,10640,,1743,1743,,,,872,,,,,,2569,,,2569,5184,1410,,,,,2580,,,,2580,3990,9174,0.0,1535,,,-1532.0,,10833.0,10836,0.0,10836,20010,
03/30/1997,20620,2304,2190,114,3499,,,2547,702.0,407.0,1438.0,,1622,,,,,9972,5499,8984,-3485,354,,4795,3119.0,,,,1676,10648,,1451,1451,,,,906,,,,,,3097,,,3097,5454,1296,,,,,2696,,,,2696,3992,9446,0.0,1535,,,-1586.0,,11225.0,11174,0.0,11174,20620,
